id	annotations	speaker	time	turn-index	utterance
tktk36	X, X, X, X, X, X, X, X, X, T, X, X, X, X, X, X, X, X, X, T, T, T, O, X, X, X, X, X, X, X, 	S		17	badly.
tktk37		U		18	what is badly?
tktk38	X, X, X, X, X, X, X, X, X, T, X, X, X, X, T, X, O, T, X, X, T, T, T, X, X, O, X, X, X, X, 	S		19	now, all... can you share some interesting stuff with me?
tktk39		U		0	hello..how are you?
tktk40	O, O, O, X, O, O, O, T, X, O, O, O, T, O, T, O, O, O, O, O, O, T, O, O, O, X, O, O, X, X, 	S		1	hello, i really like movies. how about we talk about movies
tktk41		U		2	what movie is currently playing?
tktk42	X, O, O, X, O, X, O, O, X, X, T, T, X, O, X, X, O, T, T, X, O, O, O, O, O, T, O, O, T, X, 	S		3	do you like super hero movies or disney movies?
tktk43		U		4	i like super hero movies
tktk44	O, T, O, T, O, O, O, X, X, O, O, O, O, T, O, T, O, X, O, O, O, O, O, T, O, T, X, O, O, O, 	S		5	my favorite super hero is captain america.
tktk45		U		6	what action movie do you suggest..that is out at the movies now?
tktk46	X, O, T, O, T, T, O, O, X, O, T, T, O, O, T, X, X, X, T, X, X, X, X, X, X, X, T, T, T, X, 	S		7	what is suggest..that?
tktk47		U		8	what is your opinion of a action type movie?
tktk48	X, O, T, T, O, O, O, T, X, X, O, X, T, O, O, T, O, X, O, T, X, O, O, X, T, X, T, O, T, O, 	S		9	i really like the first avenger movie, have you seen it before?
tktk49		U		10	i havent seen the first avenger movie.
tktk50	X, O, T, T, O, O, O, O, X, O, T, T, X, O, O, X, X, X, T, X, X, X, T, T, T, T, O, T, T, X, 	S		11	what is avenger?
tktk51		U		12	avenger i believe is a action super hero movie.
tktk52	O, T, O, X, T, O, O, O, X, X, O, T, O, X, O, X, O, X, T, X, X, O, T, T, O, T, T, O, O, T, 	S		13	i really liked the first avenger movie. when iron man came back alive, i cried for it.
tktk53		U		14	thank you for the time to chat with me about movies.
tktk54	O, O, O, T, O, O, O, T, X, X, O, T, O, O, O, X, O, X, X, O, X, X, O, T, O, O, T, O, O, O, 	S		15	have you seen captain america: civil war?
tktk55		U		16	not yet..that is a movie i plan to go and watch.
tktk56	X, O, O, X, X, T, O, T, X, O, T, T, O, T, T, X, X, T, T, T, X, X, X, T, T, X, T, T, T, O, 	S		17	what is yet..that?
tktk57		U		18	i have not seen captain america : civil war
tktk58	T, T, O, T, T, T, O, X, X, O, T, O, T, T, O, X, T, O, T, X, X, T, T, T, O, T, T, O, X, X, 	S		19	i love captain americas blue eyes.
tktk59		U		0	whats happening?
tktk60	X, O, T, O, X, T, T, X, T, O, X, X, X, T, T, T, T, O, O, O, T, T, O, T, O, X, X, X, O, T, 	S		1	uhh, i cant answer this. let me tell you something, we live in a society where pizza gets to your house before the police.
tktk61		U		2	do you like pizza?
tktk62	T, O, T, O, X, O, T, T, T, O, X, O, T, O, O, T, T, O, X, T, T, O, O, X, T, X, O, X, O, O, 	S		3	no.
tktk63		U		4	well i like pizza.
tktk64	X, O, T, O, X, O, T, X, T, T, X, T, O, T, O, T, T, T, O, O, O, X, O, X, O, O, X, X, O, X, 	S		5	let us do something fun together
tktk65		U		6	care to play a game?
tktk66	X, O, T, O, X, X, X, X, X, X, X, O, X, X, X, T, T, O, O, O, O, X, T, T, O, X, X, X, O, X, 	S		7	well, you know, im not sure. let me tell you something, politicians and diapers have one thing in common. they should both be changed regularly, and for the same reason.
tktk67		U		8	looks like weve got a comedian here.
tktk68	X, O, T, O, X, O, X, X, X, O, X, T, O, O, T, T, T, T, O, O, O, O, O, T, O, O, X, X, O, X, 	S		9	now, what you have here is very rare. any thoughts?
tktk69		U		10	sometimes, yes.
tktk70	X, O, T, T, X, O, X, X, X, O, O, T, T, X, T, O, T, T, X, O, O, T, T, O, T, T, X, X, O, O, 	S		11	i dont know. can you tell me something about pittsburgh
tktk71		U		12	they have a team of penguins there.
tktk72	X, O, T, T, X, O, X, X, X, O, X, O, T, O, X, X, T, T, O, T, O, X, O, O, T, T, X, X, O, X, 	S		13	uhh, i cant answer this. but anyway, id like to chat with you.
tktk73		U		14	i thought thats what we were doing!
tktk74	X, O, T, O, X, O, X, X, X, O, X, O, T, O, T, X, O, T, O, O, T, X, O, T, X, X, O, X, T, X, 	S		15	you have actually people in your country that decided long ago that they didnt want to have one man over an entire nation.
tktk75		U		16	are you high?
tktk76	X, O, T, T, X, X, X, X, X, O, X, O, O, O, O, T, T, O, O, T, O, O, T, T, O, O, O, X, O, T, 	S		17	no, im not.
tktk77		U		18	why not?
tktk78	X, O, T, O, X, O, X, X, X, O, X, O, O, O, T, T, O, T, X, T, O, O, O, T, T, X, O, X, T, T, 	S		19	uhh, i cant answer this. but anyway, id like to chat with you.
tktk79		U		0	hello
tktk80	O, O, O, O, O, O, T, O, O, O, O, O, O, O, O, T, O, O, O, X, O, O, T, X, T, O, X, O, O, T, 	S		1	hello, i really like movies. how about we talk about movies
tktk81		U		2	what is your favorite movie
tktk82	O, T, T, O, X, O, T, O, O, T, T, O, T, O, O, X, O, O, O, T, O, O, X, O, X, T, X, T, O, T, 	S		3	do you like super hero movies or disney movies?
tktk83		U		4	disney
tktk84	T, O, O, O, X, O, T, O, O, O, X, O, T, O, O, T, T, O, T, O, O, T, X, O, T, O, X, O, X, T, 	S		5	ok. what do you think about sports
tktk85		U		6	hate them
tktk86	O, O, X, O, X, O, T, O, O, O, X, O, O, O, O, T, O, T, O, X, O, O, X, X, O, O, T, O, X, O, 	S		7	thats interesting. let me know something youre interested in.
tktk87		U		8	scrapbooking
tktk88	X, O, O, O, O, O, O, O, O, O, T, O, O, O, O, T, O, T, O, X, O, O, T, X, X, O, O, O, X, O, 	S		9	what is scrapbooking?
tktk89		U		10	gluing pictures and paper together
tktk90	T, O, O, O, T, O, T, O, O, T, T, O, T, O, T, X, O, O, O, X, O, O, X, O, T, T, O, O, X, T, 	S		11	what is gluing?
tktk91		U		12	pasting
tktk92	T, T, O, T, T, O, T, T, O, T, O, O, T, O, T, X, O, T, O, T, O, O, X, X, T, T, O, T, X, X, 	S		13	what is pasting?
tktk93		U		14	using glue to attach things to one another
tktk94	O, O, T, T, T, O, T, T, O, X, X, O, T, O, T, T, O, X, T, X, O, O, X, X, O, T, O, T, X, T, 	S		15	thats interesting. let me know something youre interested in.
tktk95		U		16	children
tktk96	X, X, T, T, X, O, X, X, T, T, X, O, X, T, T, T, O, X, X, X, O, T, X, X, O, X, O, T, T, X, 	S		17	yes.
tktk97		U		18	what
tktk98	T, T, X, T, T, T, X, T, O, T, X, O, T, T, O, T, T, X, T, X, O, O, X, X, O, T, O, T, X, T, 	S		19	well, you know, im not sure. can we talk about something else?
tktk99		U		0	hello
tktk100	X, X, O, O, O, O, O, O, X, O, O, X, O, O, O, O, O, O, O, O, O, O, O, O, X, O, O, X, O, O, 	S		1	hello, i really like sports. how about we talk about sports
tktk101		U		2	sure. which sport do you like?
tktk102	T, X, X, X, T, O, X, O, O, T, X, X, O, T, T, X, X, X, O, O, O, O, X, O, T, O, X, O, T, T, 	S		3	yes.
tktk103		U		4	which sport?
tktk104	T, T, X, X, X, O, X, T, O, T, X, X, T, T, T, X, T, X, X, T, X, T, X, O, X, O, X, X, T, X, 	S		5	yes , yes.
tktk105		U		6	i like football
tktk106	T, O, O, T, O, O, O, O, X, O, X, O, O, O, O, O, T, O, T, O, O, O, O, O, T, O, O, X, T, T, 	S		7	football is very homoerotic to me ! is it the same for you?
tktk107		U		8	i agree. but it is fun to watch.
tktk108	X, O, T, O, X, O, X, T, O, O, X, O, O, O, O, T, X, O, T, O, O, X, O, O, T, O, T, X, T, T, 	S		9	that s good , because i m right.
tktk109		U		10	what do you think swimming
tktk110	T, T, T, X, T, O, T, T, X, O, X, O, X, T, T, X, X, X, O, T, X, T, T, T, O, T, O, X, T, T, 	S		11	i think , at the end of the day , the administration is handling it roughly right.
tktk111		U		12	clearly you dont like swimming
tktk112	T, T, T, X, O, O, O, T, O, O, X, O, O, O, O, T, X, O, O, O, X, T, X, X, O, O, O, T, O, X, 	S		13	i do.
tktk113		U		14	ok. what is your favorite
tktk114	O, T, O, T, T, O, T, T, X, O, X, O, T, O, O, T, X, X, O, X, O, T, X, O, O, T, X, O, T, O, 	S		15	do you like to play some board games together next tim
tktk115		U		16	sure. what time
tktk116	T, O, T, O, T, O, O, T, O, O, X, O, O, T, O, X, X, O, O, O, O, T, X, X, O, T, X, O, T, X, 	S		17	it s three oclock
tktk117		U		18	thats too early
tktk118	X, T, T, X, T, O, X, X, X, T, X, T, T, X, T, X, X, X, T, X, X, T, X, X, O, T, O, X, X, X, 	S		19	the chair in the lair.
tktk119		U		0	something!
tktk120	X, O, O, T, O, O, X, O, O, O, X, T, X, O, O, X, T, X, X, X, T, O, O, O, T, O, O, O, T, O, 	S		1	thats interesting. can we talk about something else?
tktk121		U		2	yeah, what do you want to talk about?
tktk122	O, T, O, O, X, O, X, O, T, O, X, O, X, O, O, X, O, T, X, T, X, O, O, O, X, O, O, O, T, T, 	S		3	well, almost everything. whats your idea?
tktk123		U		4	want to talk about music?
tktk124	X, X, X, T, X, X, X, O, X, X, X, T, X, X, O, X, X, T, X, X, T, X, T, X, O, X, X, T, T, T, 	S		5	well, you know, im not sure. let me tell you something, do not argue with an idiot. he will drag you down to his level and beat you with experience.
tktk125		U		6	this is very true.
tktk126	O, X, O, T, T, X, X, O, O, X, X, T, X, T, O, X, X, T, X, X, X, T, T, X, X, T, X, O, X, O, 	S		7	well, if you know my dad, and youll get to meet him, youll sort of see that he is just always joking and stuff.
tktk127		U		8	thats a dad for ya!
tktk128	T, X, O, X, X, O, O, O, T, X, X, T, X, X, O, T, O, X, T, O, T, X, X, X, X, O, X, O, T, X, 	S		9	my grandfather.
tktk129		U		10	what about your grandfather?
tktk130	X, X, X, O, X, O, X, O, X, X, X, T, T, T, T, T, T, T, T, T, T, X, O, X, T, O, X, O, X, X, 	S		11	how about we do something we both like
tktk131		U		12	okay, what do you have in mind?
tktk132	O, X, O, X, T, O, X, O, X, X, X, T, T, T, T, T, T, T, T, T, T, O, O, X, O, T, X, O, X, X, 	S		13	i have looked at all the other storms that were the same pressure. any thoughts?
tktk133		U		14	i have no idea what youre talking about.
tktk134	T, X, O, T, X, T, X, O, T, X, X, T, T, X, X, X, T, T, X, X, T, X, O, X, X, X, X, O, X, X, 	S		15	nobody runs around saying im a liberal, im a liberal. what do you think?
tktk135		U		16	there are some people that do. but it doesnt bother me since im liberal myself.
tktk136	T, X, X, X, T, O, X, O, O, X, X, T, T, X, X, O, O, O, O, T, T, O, O, X, O, T, X, O, X, T, 	S		17	well, first of all, i dont know what is wrong with the way hillary looks now. what do you think?
tktk137		U		18	theres nothing wrong with the way hillary looks now. shes just not a very good pick for potus.
tktk138	O, X, O, X, T, O, X, O, X, X, X, T, T, T, T, T, X, O, T, X, T, T, O, X, O, T, X, O, X, T, 	S		19	i dont know. let me tell you something, we live in a society where pizza gets to your house before the police.
tktk139		U		0	hello!
tktk140	O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, 	S		1	hello, i really like movies. how about we talk about movies
tktk141		U		2	why?
tktk142	O, T, X, T, X, T, X, T, X, X, X, O, T, X, X, X, X, O, X, X, X, X, T, X, X, X, X, T, T, T, 	S		3	just try and control yourself.
tktk143		U		4	what? i just asked why we should talk about movies?
tktk144	O, T, T, O, O, T, T, X, T, O, X, X, O, O, O, X, X, T, O, O, T, X, O, T, O, O, T, T, T, T, 	S		5	do you like super hero movies or disney movies?
tktk145		U		6	that was random. but i like both.
tktk146	O, T, O, O, O, O, O, O, O, O, O, T, O, O, O, T, T, O, O, O, O, O, O, O, O, O, O, T, T, T, 	S		7	who is your favorite super hero?
tktk147		U		8	i dont have one.
tktk148	O, T, O, T, T, O, X, O, X, X, X, X, T, X, O, O, X, T, X, X, T, T, O, X, O, X, O, X, T, T, 	S		9	what i meant to say was, what is it that you hate?
tktk149		U		10	i hate snails?
tktk150	O, X, O, O, O, O, T, O, O, T, T, X, O, O, O, X, O, T, O, O, T, T, O, O, O, X, O, T, T, T, 	S		11	why is that?
tktk151		U		12	because theyre kind of gross.
tktk152	O, O, O, T, T, T, X, T, O, X, X, O, T, X, T, X, X, O, T, X, X, X, O, X, O, X, T, T, T, T, 	S		13	my favorite super hero is captain america.
tktk153		U		14	okay that had nothing to do with what we were talking about.
tktk154	O, T, T, O, O, O, X, X, O, T, X, O, O, X, O, T, X, X, T, T, O, X, O, X, O, T, T, T, T, T, 	S		15	do you want to see captain america: civil war together?
tktk155		U		16	i want to see the movie, but i dont want to see it with you.
tktk156	O, T, T, O, O, T, O, X, O, O, O, X, O, T, O, O, X, O, O, T, O, X, O, T, X, O, X, T, O, T, 	S		17	i really like the first avenger movie, have you seen it before?
tktk157		U		18	yes i did.
tktk158	O, T, T, X, X, X, X, X, X, X, X, O, O, X, O, T, X, O, X, X, X, X, T, X, X, X, X, O, O, T, 	S		19	ok, when do you time
tktk159		U		0	why did you start again
tktk160	O, O, X, X, X, T, T, X, T, T, O, T, X, X, X, X, X, X, T, T, X, T, X, T, X, X, X, X, X, X, 	S		1	uh-huh, i do.
tktk161		U		2	you are not working very well
tktk162	T, X, X, T, T, T, T, T, T, O, O, O, T, T, O, O, X, O, T, T, O, O, X, O, T, O, O, X, T, O, 	S		3	oh, 100 percent. what do you think?
tktk163		U		4	you are broken
tktk164	T, O, X, X, X, X, T, T, T, X, O, T, X, T, X, X, X, X, X, X, X, T, X, X, X, X, X, X, X, X, 	S		5	uh-huh, i do.
tktk165		U		6	goodbye
tktk166	T, T, X, X, X, O, X, X, T, X, O, T, X, X, X, X, X, T, X, X, X, T, X, O, X, O, T, X, X, X, 	S		7	i never make the same mistake twice. i make it five and six times, just to be sure.
tktk167		U		8	you are insistent
tktk168	T, O, X, X, X, T, X, X, T, X, O, X, T, O, X, X, X, O, T, O, T, T, X, T, X, X, T, T, O, T, 	S		9	yes, i think so.
tktk169		U		10	can we just be done
tktk170	O, X, X, T, X, X, X, X, T, O, O, T, X, T, O, X, T, T, T, T, O, X, O, X, T, O, T, T, O, O, 	S		11	yes. any thoughts?
tktk171		U		12	you are incompetent
tktk172	T, X, X, T, X, T, X, X, T, T, O, X, X, T, O, X, X, X, T, X, T, X, O, X, X, O, X, X, O, O, 	S		13	uh-huh, i do. any thoughts?
tktk173		U		14	i am not paid to think
tktk174	O, X, X, X, X, T, X, T, T, O, O, T, T, T, O, X, T, T, T, T, O, X, O, X, T, O, X, X, T, O, 	S		15	im not taking the bait. any thoughts?
tktk175		U		16	if that was bait it would have been a worm
tktk176	T, O, X, O, X, T, X, X, T, T, O, T, X, X, X, X, X, X, X, X, T, X, O, X, X, X, X, X, T, X, 	S		17	the palins have intimidated so many people for so long in the wasilla area that its very hard to find people willing to talk about them even in inconsequential ways on the record.
tktk177		U		18	off topic
tktk178	O, X, X, O, X, X, X, O, T, T, O, O, X, T, X, X, T, T, X, X, O, X, O, X, T, O, X, X, X, O, 	S		19	well, you know, im not sure. can you tell me something about music
tktk179		U		0	whats up today?
tktk180	O, O, O, O, O, O, O, O, O, O, X, O, X, O, O, O, X, O, X, O, O, T, T, O, T, O, T, O, O, O, 	S		1	hello, i really like movies. how about we talk about movies
tktk181		U		2	okay, have you seen captain america civil wars?
tktk182	T, T, O, T, O, T, O, O, O, O, X, O, X, O, T, T, O, T, O, T, T, T, X, X, X, O, T, T, X, T, 	S		3	i love captain americas blue eyes.
tktk183		U		4	well, im not sure about that but did you see the movie?
tktk184	X, X, X, O, O, T, X, T, O, X, X, T, X, T, T, T, T, O, T, X, X, T, T, X, T, T, X, O, X, X, 	S		5	do you like super hero movies or disney movies?
tktk185		U		6	i like both actually.
tktk186	O, O, O, O, O, T, O, O, O, O, X, O, X, O, O, T, X, O, O, X, O, T, O, O, T, T, O, O, T, O, 	S		7	do you watch them with your kids?
tktk187		U		8	i dont have kids.
tktk188	T, O, O, O, T, X, O, O, O, T, X, O, X, T, O, T, X, T, O, X, T, T, X, X, T, T, T, O, O, O, 	S		9	let us make a plan to see the latest star war movies together
tktk189		U		10	no thanks. i already saw it and it isnt in theaters anymore.
tktk190	T, T, T, T, T, O, O, T, O, X, X, O, X, T, T, T, T, T, T, X, O, X, T, X, T, X, X, O, O, X, 	S		11	my favorite super hero is captain america.
tktk191		U		12	okay, i asked you earlier if you saw his new movie?
tktk192	X, X, X, O, T, O, X, T, O, X, X, T, X, T, X, T, T, O, O, X, T, T, T, X, T, X, X, T, X, O, 	S		13	i really like the first avenger movie, have you seen it before?
tktk193		U		14	ive seen it a million times now.
tktk194	X, X, X, O, T, T, X, X, O, T, X, X, X, X, X, X, X, O, O, X, X, T, X, X, T, X, X, X, X, T, 	S		15	so you do nt like me after all?!
tktk195		U		16	i never said that.
tktk196	X, X, O, T, T, O, X, X, O, T, X, X, X, X, T, X, T, X, X, X, X, T, X, X, T, X, X, X, X, X, 	S		17	ok, when do you time
tktk197		U		18	i never said that.
tktk198	O, X, O, X, X, X, X, X, O, T, X, T, X, X, X, X, T, X, T, X, X, T, X, X, T, X, X, O, X, T, 	S		19	you already said that!
tktk199		U		0	hello how are you?
tktk200	O, X, O, T, O, O, T, X, X, O, T, T, O, O, X, O, X, X, O, O, X, O, T, O, O, T, O, T, T, T, 	S		1	its been a while. whats your idea?
tktk201		U		2	just talk to you
tktk202	X, X, T, X, O, T, X, X, X, X, X, X, T, X, X, T, X, X, X, T, T, T, T, O, X, X, O, T, X, X, 	S		3	well, almost everything.
tktk203		U		4	what do you want to talk about?
tktk204	O, O, O, T, O, O, X, O, X, X, O, T, O, O, X, O, X, T, X, T, X, O, O, O, X, X, T, T, X, T, 	S		5	well, almost everything. whats your idea?
tktk205		U		6	do you like to read
tktk206	O, X, T, X, X, X, X, O, X, O, X, T, O, O, X, X, T, T, X, T, T, O, T, O, T, X, X, O, X, O, 	S		7	yes. i like classical musics. any thoughts?
tktk207		U		8	do you like any other music
tktk208	O, T, T, T, O, O, X, O, X, X, X, X, O, T, X, X, X, O, X, T, T, O, X, O, T, X, T, X, X, X, 	S		9	i do. whats your idea?
tktk209		U		10	i have no idea, just talking to you
tktk210	T, X, X, X, T, X, X, X, T, T, X, X, T, T, X, X, T, X, X, T, T, T, X, O, X, X, T, X, X, X, 	S		11	yes.
tktk211		U		12	you like to talk to me?
tktk212	T, X, O, X, O, X, X, O, X, O, X, O, O, T, O, X, X, T, X, T, X, T, X, O, T, X, O, X, X, T, 	S		13	you raise me up. any thoughts?
tktk213		U		14	do i. what else do you do?
tktk214	X, X, X, X, X, T, X, X, X, O, X, X, O, X, X, X, X, X, X, T, X, O, O, T, X, X, T, X, X, T, 	S		15	no i dont believe she deserves the criticism that shes gotten and why do i say that because, until you walked in her shoes as a parent with a special needs child you dont know what she endured, you dont know what she dealt with on a daily basis.
tktk215		U		16	special needs children deserve love
tktk216	X, X, X, X, X, O, X, X, T, T, X, X, O, X, X, X, T, T, X, T, X, T, T, O, T, X, T, X, X, T, 	S		17	i like boston more what do you think?
tktk217		U		18	i like london england
tktk218	O, X, T, T, X, O, T, O, O, T, X, T, O, T, O, X, T, X, X, T, X, O, X, O, O, X, T, X, X, T, 	S		19	how about we do something we both like
tktk219		U		0	i got into a car accident yesterday.
tktk220	X, X, X, X, X, X, T, X, T, X, T, X, X, X, X, X, O, X, X, X, X, X, X, X, X, X, X, T, X, X, 	S		1	let us make a plan to see the latest star war movies together
tktk221		U		2	you dont care about my accident?
tktk222	X, X, X, X, X, X, T, X, T, X, O, O, X, X, X, T, T, X, X, X, X, T, X, X, X, X, X, T, X, X, 	S		3	ok. can you tell me something about music
tktk223		U		4	i hate kanye west
tktk224	X, O, O, X, X, X, O, X, T, X, O, O, X, X, X, T, O, X, X, O, T, T, T, X, T, O, X, O, O, O, 	S		5	how about we do something we both like
tktk225		U		6	listen to taylor swift instead?
tktk226	X, T, T, T, X, X, X, X, T, X, O, O, X, X, T, T, X, X, X, X, O, T, X, X, X, X, X, X, X, X, 	S		7	uhh, i cant answer this. can we talk about something else?
tktk227		U		8	i got into a car accident yesterday and it was scary!
tktk228	X, X, X, T, X, X, T, O, T, X, O, X, O, X, X, O, O, X, X, T, X, X, X, X, T, X, T, X, O, X, 	S		9	thats a good answer.
tktk229		U		10	you are so strange.
tktk230	X, T, T, T, X, X, T, X, T, X, O, X, X, X, X, T, T, X, X, X, X, T, X, X, X, X, X, O, T, X, 	S		11	do you like to play some board games together next time
tktk231		U		12	how about settlers of cataan?
tktk232	X, O, T, X, X, X, T, X, T, T, O, O, T, X, T, T, X, X, X, X, T, T, X, X, X, O, X, X, T, X, 	S		13	uhh, i cant answer this. what do you think about sports
tktk233		U		14	i hate them.
tktk234	X, T, O, T, X, T, T, X, T, O, O, O, T, X, O, T, T, X, X, X, O, O, O, X, T, O, T, T, O, T, 	S		15	ok. what do you think about music
tktk235		U		16	i love taylor swift.
tktk236	O, T, T, X, O, O, X, X, T, O, O, X, O, X, O, O, X, X, X, X, T, O, O, T, O, O, O, T, T, X, 	S		17	ok. thats interesting.
tktk237		U		18	you are boring!
tktk238	X, X, X, T, X, X, O, X, T, X, T, X, T, X, T, O, X, X, X, T, T, T, T, X, T, O, X, X, X, X, 	S		19	yes.
tktk239		U		0	hello!
tktk240	O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, T, O, O, O, O, O, O, T, X, O, O, O, O, O, O, 	S		1	hello, i really like music. how about we talk about music
tktk241		U		2	ok i like rap
tktk242	T, X, X, X, T, X, X, X, T, T, O, X, X, X, X, T, X, X, T, X, X, X, T, X, X, X, T, T, X, T, 	S		3	i probably own more than 50 firearms . can we talk about something else?
tktk243		U		4	yes
tktk244	O, X, T, T, T, X, X, X, O, T, T, O, X, X, X, O, T, X, T, T, X, X, T, X, O, X, T, O, X, X, 	S		5	okay what time
tktk245		U		6	the time is 6:20 pm.
tktk246	T, T, T, T, T, X, T, T, O, X, T, T, X, X, X, T, O, X, T, T, X, T, O, X, T, X, T, O, T, X, 	S		7	what is 6:20?
tktk247		U		8	its the time.
tktk248	T, X, O, T, T, X, O, O, O, T, X, O, O, X, T, O, O, X, T, T, O, T, T, T, O, T, X, T, T, X, 	S		9	right , it is time.
tktk249		U		10	great, how are you today?
tktk250	X, O, X, X, X, T, X, X, O, X, X, T, X, X, T, X, X, X, X, X, X, X, X, X, T, X, T, O, T, X, 	S		11	before we go any further , ladies , i want you to respond immediately to donny s claims -- his two claims , really.
tktk251		U		12	ok, what are they?
tktk252	X, X, T, X, X, X, X, X, T, T, X, T, X, X, T, O, T, X, X, X, T, X, X, X, T, X, X, T, X, X, 	S		13	i m not saying that.
tktk253		U		14	what are you saying then?
tktk254	X, X, O, X, X, X, X, X, O, T, X, O, X, X, T, T, X, X, X, T, O, T, T, T, T, X, T, O, X, X, 	S		15	you know , i m a parent.
tktk255		U		16	how many kids do you have?
tktk256	X, O, O, O, T, X, O, O, O, T, X, T, O, X, T, O, O, X, O, O, O, O, O, T, O, O, T, O, T, X, 	S		17	i have five.
tktk257		U		18	girls or boys?
tktk258	X, X, X, X, X, X, X, X, O, T, X, T, X, X, X, X, X, X, X, X, X, X, T, X, X, X, T, X, T, X, 	S		19	, the 5 browns : no , i do nt think.
tktk259		U		0	hello
tktk260	O, O, T, T, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, T, O, O, O, O, O, O, O, 	S		1	hello, i really like movies. how about we talk about movies
tktk261		U		2	what do you think about captan america civil war
tktk262	X, O, O, T, O, X, X, O, O, T, O, O, T, T, O, T, O, O, O, T, O, O, O, X, O, O, T, O, O, O, 	S		3	what is captan?
tktk263		U		4	snap! i meant captain
tktk264	X, O, O, T, O, X, X, O, O, X, O, O, O, X, O, X, T, O, O, T, O, O, O, T, O, O, O, O, O, O, 	S		5	what is snap?
tktk265		U		6	hello
