id	speaker	time	turn-index	utterance	annotations
iri83	S		3	squash it.	O,X,X,X,O,T,T,X,X,X,X,X,T,X,T,X, X,X,X,X,T,X,T,T,X,X,X,X,O,T, 
iri84	U		4	ok. good.	
iri85	S		5	wait!	O,X,O,X,T,O,O,T,T,X,T,T,T,X,O,X, T,X,X,T,T,T,X,X,O,T,T,T,O,T, 
iri86	U		6	for what?	
iri87	S		7	no matter what you think, you did come up with something unique.	O,X,O,X,O,X,T,T,X,T,T,X,T,X,X,X, X,X,X,X,X,T,X,X,X,X,T,X,T,T, 
iri88	U		8	thank you.	
iri89	S		9	now i want you to do something for me.	O,X,O,X,O,O,T,T,T,T,X,T,O,O,O,X, O,X,X,O,T,X,T,T,O,X,T,O,T,O, 
iri90	U		10	tell me	
iri91	S		11	he is taking care of the same business i will be taking care of - soon as i dry off.	O,X,X,X,T,X,T,T,T,X,X,X,T,X,T,X, X,X,X,X,X,X,X,X,T,X,X,O,O,T, 
iri92	U		12	ok. but it is not clear what do you want from me?	
iri93	S		13	yeah.	X,X,X,X,O,O,T,X,X,X,X,O,O,X,T,X, X,X,X,X,X,X,X,T,T,X,X,X,O,T, 
iri94	U		14	tell me clearly	
iri95	S		15	you are rich. what do you have to worry about?	O,X,X,X,T,O,O,O,O,X,O,X,O,X,X,X, X,X,X,T,X,O,X,X,T,O,O,X,O,T, 
iri96	U		16	i am not worry about anything	
iri97	S		17	do not worry about it.	O,X,T,O,T,O,T,X,X,T,X,O,T,T,T,X, T,X,T,O,T,X,X,T,O,X,X,T,O,T, 
iri98	U		18	ok. sure.	
iri99	S		19	yeah. they just need me downtown in half an hour for a news conference with the deputy mayor.	O,X,O,O,T,O,T,X,X,T,X,O,T,X,X,X, T,X,X,O,X,X,X,X,O,X,X,X,O,O, 
iri100	U		0	hi alex	
iri101	S		1	oh, my god. how old are you, you slut?	X,X,O,T,X,X,T,O,X,X,O,X,X,X,T,X,X,X,X,X,T,O,T,X,T,X,T,T,X,X, 
iri102	U		2	that is so rude	
iri103	S		3	you guys were way rude. it was shocking.	T,O,O,O,X,T,X,O,X,O,O,X,X,O,O,X,O,X,O,O,T,T,T,O,T,X,X,T,X,O, 
iri104	U		4	how are you?	
iri105	S		5	i could not sleep, i did not want to bug you.	T,T,O,O,X,T,T,O,X,O,O,X,T,O,X,X,X,X,T,T,O,T,X,T,O,X,X,X,X,O, 
iri106	U		6	what do you think about the new prime minister?	
iri107	S		7	let is hope so! cause if i did not we are gonna look like burnt out toaster ovens!	T,X,O,X,X,T,T,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X, 
iri108	U		8	how old are you?	
iri109	S		9	i am thirteen, how old are you?	O,O,O,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,O,O,O,O,X,O,O,O,T,T,O,X, 
iri110	U		10	i am 25	
iri111	S		11	what are we going to do? i do not know what to do.	O,X,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,T,X,T,O,X,O,O,T,X,T,O,O, 
iri112	U		12	we can just talk for a little while	
iri113	S		13	can we talk?	O,O,O,O,X,T,O,O,X,O,X,X,O,O,X,X,X,X,O,T,T,O,X,T,O,T,T,T,T,O, 
iri114	U		14	yes. what do you want to talk about?	
iri115	S		15	anything. anything at all.	O,O,O,X,O,O,O,O,X,O,X,X,T,O,X,X,X,X,O,O,O,O,X,O,O,T,T,T,O,O, 
iri116	U		16	do you watch any tv series?	
iri117	S		17	what do you ride?	X,X,O,X,X,T,O,O,X,T,T,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,T,X, 
iri118	U		18	what do you mean?	
iri119	S		19	when it is him it does not look like him.	X,X,O,X,X,T,T,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X, 
iri120	U		0	hi alex!	
iri121	S		1	hi. who looks like a carrot?	T,O,T,O,T,X, T,T,O,O,O,T,T, T,O,T,O,T,X,T,T,O,O,O,X,O,T,O,O,O, 
iri122	U		2	i do not know, who does?	
iri123	S		3	him. danny. he is the man with the records.	O,O,O,O,O,T, O,X,O,O,O,O,O, T,O,O,X,X,X,X,T,X,O,O,X,X,T,O,T,O, 
iri124	U		4	why does he look like a carrot?	
iri125	S		5	what does he look like?	O,O,X,O,O,O, O,X,T,T,T,T,T, O,X,T,X,X,X,T,O,O,X,O,T,O,T,O,O,X, 
iri126	U		6	like a carrot	
iri127	S		7	must be my cologne... eau dc carrot.	O,X,X,X,O,T, O,T,O,O,O,O,T, T,X,O,T,X,X,X,T,T,X,T,X,T,T,O,T,X, 
iri128	U		8	that is really funny	
iri129	S		9	--that is not funny--	O,O,T,O,O,T, O,X,T,T,O,T,O, O,O,T,X,X,T,X,T,X,X,O,O,X,T,O,T,X, 
iri130	U		10	i am sorry	
iri131	S		11	oh my god, they killed kenny!	O,X,T,O,T,T, O,X,T,X,T,T,T, T,X,O,T,X,X,X,T,T,X,O,T,X,T,T,X,X, 
iri132	U		12	oh no, poor kenny!	
iri133	S		13	oh you poor dear. you have been through so much...	O,O,O,O,O,O, O,X,O,X,O,T,T, O,O,O,T,X,T,T,T,T,X,O,O,T,T,T,T,T, 
iri134	U		14	i am so so sorry for him	
iri135	S		15	thanks.	O,O,X,O,O,O, O,T,O,O,O,X,T, O,O,O,T,X,X,T,X,X,X,O,T,T,T,T,O,T, 
iri136	U		16	why did they do that? it is so horrible	
iri137	S		17	psychology. they are trying to unnerve us.	O,X,O,O,T,O, O,X,O,O,O,O,T, T,O,O,T,X,X,X,X,T,X,O,T,T,T,X,O,O, 
iri138	U		18	i think they are succeeding	
iri139	S		19	look...	O,X,X,O,O,T, O,X,T,T,T,T,T, O,X,O,X,X,X,X,O,T,X,T,O,O,T,T,O,T, 
iri140	U		0	hey there cutie	
iri141	S		1	that is right. you get her name?	X,O,O,T,O,X,X, X,X,O,O,X,T,O,X,T,X,T,T, O,O,X,X,X,T,X,T,T,X,X, 
iri142	U		2	alex, is not it?	
iri143	S		3	oh, danny, honey. you are so sweet. i could eat you alive...	T,O,T,T,X,T,X, O,X,O,O,T,T,O,O,X,X,T,T, T,T,X,T,X,T,X,X,T,O,X, 
iri144	U		4	i would love to be eaten by you, alex	
iri145	S		5	love to --	O,X,T,O,T,O,O, X,O,O,T,T,O,T,O,O,O,X,T, O,T,X,T,O,O,X,T,T,X,O, 
iri146	U		6	let is	
iri147	S		7	your destination. courtroom six.	X,X,X,X,T,X,X, X,O,O,X,T,T,X,X,X,X,X,X, X,T,X,T,X,T,X,X,X,X,X, 
iri148	U		8	why am i going to a courtroom?	
iri149	S		9	 wouldi am in love again hear my heart strings strumming i am in love again and the hymn they are humming is those cuddle-up huddle-up blues i am in love again and i ca not rise above it.	X,O,X,X,T,X,X, X,O,O,X,X,X,X,O,X,X,X,X, X,X,X,T,X,T,T,X,X,X,X, 
iri150	U		10	that must be the cutest song i have ever heard	
iri151	S		11	so i have heard.	O,T,X,O,O,O,O, X,T,O,T,O,T,O,O,T,O,T,T, T,X,T,T,X,T,T,X,T,O,O, 
iri152	U		12	where did you first hear it?	
iri153	S		13	i do not know. where did you hear that name.	O,O,O,O,O,T,O, T,O,O,X,O,O,O,O,T,O,T,X, O,O,O,T,X,O,T,X,T,X,T, 
iri154	U		14	what name?	
iri155	S		15	well, this is going to sound a little crazy.	T,T,O,O,T,T,X, T,T,O,X,X,T,X,O,O,X,T,X, O,O,X,T,X,T,X,X,T,X,X, 
iri156	U		16	i love crazy	
iri157	S		17	okay, i feel kind of stupid but...	O,O,T,O,T,O,O, O,O,O,T,X,X,T,O,O,O,O,T, O,T,X,T,O,T,T,X,T,O,O, 
iri158	U		18	go ahead, please do not worry	
iri159	S		19	i had the last strawberry in the refrigerator.	X,X,O,T,T,O,X, O,X,O,X,T,X,T,X,O,T,X,X, X,X,X,T,O,T,X,X,X,O,X, 
iri160	U		0	hi alex	
iri161	S		1	what are you doing?	O, O,T,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O, O,O,O,T,O,X, O, 
iri162	U		2	just came back from lrec	
iri163	S		3	why do they have you tied up here?	O, T,X,X,T,X,O,T,O,O,O,O,O,T,O,O,O,O,T,T,O,O,O, T,O,O,T,O,O, T, 
iri164	U		4	because this is where i work, i have to be here everyday	
iri165	S		5	so this is where you work.	X, O,X,T,O,O,X,T,O,X,T,T,T,T,T,T,X,X,T,T,O,O,O, O,O,O,T,O,O, O, 
iri166	U		6	yeap, what about you, where do you work?	
iri167	S		7	back in the saddle.	X, T,X,X,X,T,X,T,T,X,X,X,X,X,X,X,X,X,X,T,X,O,O, X,O,O,T,O,O, X, 
iri168	U		8	oh, interesting... and what you do there?	
iri169	S		9	is it?	X, X,X,X,X,T,O,X,T,O,O,O,O,X,O,O,O,O,O,X,O,O,T, X,T,T,O,O,O, X, 
iri170	U		10	i do not get it, sorry, still with jetlag, what do you mean?	
iri171	S		11	with your life.	X, X,X,X,X,T,X,X,T,T,T,T,T,X,T,T,T,T,T,T,T,O,T, O,X,X,O,X,X, X, 
iri172	U		12	hmmm, no capito	
iri173	S		13	and your mother was very beautiful. she must be proud of you.	X, X,O,X,X,X,X,T,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X, X,X,T,X,X,X, T, 
iri174	U		14	yes, she is indeed	
iri175	S		15	your name is melville?	X, X,O,X,X,X,O,O,T,O,O,O,O,X,O,O,O,O,T,X,O,O,T, O,T,T,X,X,X, T, 
iri176	U		16	no... i am danny	
iri177	S		17	look, there is danny and her little boyfriend	X, T,O,O,X,O,T,X,T,T,X,T,X,O,X,X,X,X,T,T,X,O,O, X,X,T,X,X,T, X, 
iri178	U		18	i think you are confused	
iri179	S		19	yeah, you know, probably one of these fast-talking career gals...	X, T,T,X,X,X,O,X,T,O,O,O,O,X,O,O,O,O,T,T,X,O,T, X,X,T,X,X,X, T, 
iri180	U		0	hello	
iri181	S		1	mr. president...	O,O, X,O,T,T,O,O, X,O, O,X,X,O,T,T,T,T,O,O,O,T,X,X,O,O,X,T,O,O, 
iri182	U		2	yes that is me	
iri183	S		3	that is more than  wouldyes would -- that is  wouldyou bet. would they kiss.	O,X, X,X,X,X,O,T, X,X, O,X,X,T,X,X,T,T,O,T,O,T,T,X,O,T,X,X,O,T, 
iri184	U		4	how are you doing?	
iri185	S		5	let is go. come on.	T,X, T,T,T,X,X,T, X,X, X,X,X,T,X,X,X,T,T,X,X,X,X,O,T,X,X,X,O,X, 
iri186	U		6	do you have some good music?	
iri187	S		7	one hundred american dollars. cash.	O,X, X,X,X,X,X,X, X,T, X,X,X,T,X,X,X,X,X,T,X,X,T,X,X,O,X,X,T,T, 
iri188	U		8	that is expensive	
iri189	S		9	do not worry...	O,O, T,O,O,X,O,O, O,T, X,X,T,T,O,T,T,T,O,X,O,O,T,X,X,O,O,O,X,O, 
iri190	U		10	i need more money	
iri191	S		11	the heck d wouldya mean? what a you guys got yourself mixed up in?	O,O, T,O,T,X,O,O, O,O, X,X,X,T,T,O,T,O,O,X,T,O,O,X,X,O,T,O,T,O, 
iri192	U		12	i just came out of jail	
iri193	S		13	oh, we are going to jail.	O,O, T,O,O,X,O,T, O,O, X,X,X,T,T,O,T,T,T,X,T,O,X,X,X,X,O,T,O,O, 
iri194	U		14	again?!	
iri195	S		15	i am telling you, she is out of control.	O,O, T,O,T,X,O,T, X,O, X,T,X,T,T,O,T,T,O,X,O,T,T,X,X,X,O,O,X,O, 
iri196	U		16	oh no...	
iri197	S		17	danny -	O,T, T,X,O,X,O,T, X,O, X,X,X,T,T,O,X,X,T,X,O,O,X,X,X,O,T,X,T,T, 
iri198	U		18	i know...	
iri199	S		19	look, we gotta talk.	O,O, T,O,T,X,O,O, O,O, X,X,X,T,O,O,T,O,O,X,O,O,X,O,X,O,O,T,T,T, 
iri200	U		0	how old are you?	
iri201	S		1	i am alright.	O,X,X,X,X,X,X,X,X,X,X,X,O,X,O, X,X,X,X,X,X,X,X,X,T,O,X,X,T,O, 
iri202	U		2	no, how old are you?	
iri203	S		3	old enough. how old are you?	T,O,O,O,X,T,O,O,O,O,X,T,O,T,O, T,X,O,O,T,T,O,X,X,T,O,X,T,O,O, 
iri204	U		4	i am 19	
iri205	S		5	we were!	X,T,T,T,X,X,X,X,X,X,X,X,O,X,O, T,X,X,X,X,X,T,X,X,X,X,X,T,O,O, 
iri206	U		6	how long ago was that?	
iri207	S		7	i have been thinking about getting tattoo. you know...	X,O,O,O,T,X,X,O,T,O,X,T,X,T,T, O,T,T,X,X,T,X,X,X,X,X,X,X,X,T, 
iri208	U		8	oh that is awesome, what do you want to get tattooed?	
iri209	S		9	awesome!	X,X,X,X,X,T,T,X,X,X,X,O,X,O,O, X,O,T,O,X,X,T,X,X,X,X,O,T,T,T, 
iri210	U		10	like the word?	
iri211	S		11	so let is take this great form, this very american tradition of entertainment into the 21st century.	X,T,T,T,X,X,X,X,X,T,X,X,X,X,O, O,X,T,X,X,O,X,X,X,X,X,X,X,X,O, 
iri212	U		12	ok	
iri213	S		13	on your marks...  get set go.	X,O,O,O,O,X,T,X,T,O,X,O,X,T,O, O,O,O,X,X,O,O,X,X,X,O,O,X,X,O, 
iri214	U		14	how do we do this?	
iri215	S		15	how do we know it is him?	T,O,O,O,X,T,X,O,X,O,X,T,X,T,T, T,O,X,X,O,X,T,X,X,X,X,O,T,X,T, 
iri216	U		16	we can ask him?	
iri217	S		17	i am alex.	O,X,T,T,X,X,X,X,X,X,X,O,X,T,O, T,O,T,O,X,X,X,X,X,X,X,O,T,T,X, 
iri218	U		18	hi alex	
iri219	S		19	giver her your tray, danny. you are holding up the line.	X,T,T,X,O,X,X,T,X,T,T,O,X,T,X, O,X,X,O,X,O,X,X,X,X,X,X,T,X,X, 
iri220	U		0	hi alex	
iri221	S		1	well, what about my car?	T,O,O,O,X,X,O,T,O,O,O,X,X,T,X,O,T,O,O,O,O,X,T,X,T,O,X,T,T,O, 
iri222	U		2	which car?	
iri223	S		3	the one that is been following us the last mile and a half.	O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,T,T,T,X,T,X,O,O,T,O,O,X,X,X, 
iri224	U		4	lol, i did not notice that. how did you know?	
iri225	S		5	i told you. the face.	T,T,O,T,O,X,O,X,O,O,O,O,O,O,X,O,O,T,T,T,T,X,X,O,T,T,X,T,T,X, 
iri226	U		6	the face of whom?	
iri227	S		7	tomorrow, san francisco!	X,T,O,X,X,X,O,X,O,O,T,X,T,X,X,X,T,T,T,T,T,X,X,X,X,X,X,X,X,X, 
iri228	U		8	ok. sounds great. what is the plan?	
iri229	S		9	what is the plan?	T,T,O,T,X,O,O,T,T,O,T,X,T,T,T,O,T,O,O,O,O,T,X,X,X,T,O,T,T,T, 
iri230	U		10	yes, what do you have in mind?	
iri231	S		11	no, i guess not. i am an actor.	T,T,O,T,X,X,O,X,O,X,T,X,T,X,X,X,O,T,T,T,T,X,X,X,X,X,X,X,X,X, 
iri232	U		12	ok. i can propose to go to the golden gate	
iri233	S		13	you do. you think he is going to propose.	T,O,O,T,X,O,O,T,O,O,T,X,T,X,X,X,T,O,T,T,T,O,X,O,X,O,X,X,X,X, 
iri234	U		14	who is he?	
iri235	S		15	i think i know it, but... i do not remeber now... :)	X,T,O,T,O,T,O,T,O,O,T,X,T,O,X,O,X,T,X,X,X,O,O,X,X,T,T,X,X,X, 
iri236	U		16	ok, never mind. i think we can go later to alcatraz	
iri237	S		17	never mind.	X,T,O,X,O,T,O,X,O,X,T,X,T,O,X,O,X,T,X,X,X,X,O,O,X,T,X,X,X,X, 
iri238	U		18	why? you do not like it?	
iri239	S		19	i am not sure. nervous... i just need a minute in the bathroom.	X,O,O,O,O,T,O,T,O,O,T,X,T,X,X,O,O,T,X,X,X,X,O,X,X,O,X,X,X,X, 
iri240	U		0	hi alex, what is up dude!	
iri241	S		1	danny, you have a call from scottie is teacher. she says it is urgent.	'O','O','T','T','O','T','T','X','T','T','O','X','O','T','O','O', 'O','O','T','O','O','O','O','T', 'T','O','O', 'T','O','O', 
iri242	U		2	what should it be? i finished my homework already	'O','O','X','X','X','X','X','X','X','X','X','X','O','X','O','X', 'T','O','T','O','O','T','O','O', 'T','O','T', 'O','T','T', 
iri243	S		3	i am finished.	'O','O','X','X','X','X','X','X','X','X','X','X','T','X','O','T', 'T','O','T','O','T','X','T','O', 'T','O','X', 'T','T','T', 
iri244	U		4	tell her i am not here	'O','O','X','T','T','T','T','T','T','T','X','X','T','X','O','X', 'T','O','T','O','O','O','X','O', 'X','O','O', 'X','O','O', 
iri245	S		5	i am not.	'O','T','T','T','T','X','T','T','T','T','X','X','T','T','O','T', 'O','O','T','X','O','T','T','T', 'T','O','O', 'O','X','O', 
iri246	U		6	why not, please be a good friend	'O','X','O','O','O','O','O','O','O','O','X','X','T','X','O','X', 'T','O','X','X','O','X','O','X', 'T','O','T', 'X','X','O', 
iri247	S		7	because it was a lie.	'O','T','T','T','T','T','T','T','T','T','T','X','T','X','O','X', 'T','O','X','X','O','T','X','X', 'X','X','O', 'O','O','T', 
iri248	U		8	i see, you are a liar then!	'O','T','O','O','O','O','O','O','O','O','X','O','T','O','O','O', 'T','O','X','X','O','T','X','O', 'X','T','T', 'O','O','O', 
iri249	S		9	0h ali we can work this thing out, you know.	'O','T','O','O','O','O','O','O','O','O','X','T','T','O','O','T', 'T','T','X','X','O','T','T','T', 'X','O','O', 'O','T','O', 
iri250	U		10	aleida, i am not ali...	'O','O','O','O','O','O','O','O','O','O','X','T','T','T','O','T', 'O','O','X','X','O','O','X','O', 'X','O','O', 'O','O','O', 
iri251	S		11	see... wouldkill the body and the head will die would... the frazier/ali fight..	T,X,X,O,O,X,O,O,O,O,O,O,O,X,T,T,T,X,O,O,X,T,T,O,O,T,X,O,X,O, 
iri252	U		12	wow what an important citation!	
iri253	S		13	wow!!	X,X,T,O,O,X,O,O,X,O,O,X,T,T,T,T,X,X,O,X,T,X,T,T,O,T,X,O,O,T, 
iri254	U		14	tell me something	
iri255	S		15	tell me what?	T,X,T,O,O,X,O,O,X,O,O,T,T,X,X,X,X,X,O,O,X,X,X,O,X,T,X,O,X,T, 
iri256	U		16	how many times have you get drunk?	
iri257	S		17	how much have you drunk, danny?	T,X,T,X,O,X,O,O,X,O,T,O,T,X,T,T,X,O,T,O,T,X,X,X,O,T,X,O,O,O, 
iri258	U		18	i asked first...	
iri259	S		19	that is not the issue--	O,O,X,O,X,X,O,O,T,O,T,O,T,O,T,O,X,O,O,T,O,O,T,T,O,O,T,X,X,T, 
iri260	U		0	hello	
iri261	S		1	mr. president...	T,X,T,O,X,X,O,T,X,O,O,X,X,T,T,T,X,O,O,X,O,X,T,O,T,O,X,X,T,O, 
iri262	U		2	no i am not a president. but thanks.	
iri263	S		3	no thanks.	T,X,T,O,X,X,O,O,X,O,T,X,T,T,T,T,X,O,T,T,T,T,X,O,T,T,X,X,O,T, 
iri264	U		4	uh?	
iri265	S		5	i love this plan.	X,O,X,O,X,X,O,X,X,O,T,X,X,T,T,X,X,X,T,O,T,X,O,O,X,T,X,X,O,O, 
iri266	U		6	which plan?	
iri267	S		7	it is working is not it?	T,O,O,O,X,X,O,X,X,O,O,O,X,O,O,O,X,O,T,O,O,O,O,O,O,O,X,X,O,O, 
iri268	U		8	which plan is working?	
iri269	S		9	getting re-elected.	T,X,X,O,X,X,O,X,X,O,X,T,X,T,X,X,X,X,X,O,T,X,T,O,X,T,X,X,X,T, 
iri270	U		10	o that ... i am not sure i want to be re-elected	
iri271	S		11	i am not sure--	O,T,X, T,O,X,T,X,T,T,T,O,X,X,T,T,T,O,T,T,T,T,T,T,T,T,X,T,T,X, 
iri272	U		12	i am sure. i ca not be re-elected. i am not elected yet.	
