id	annotation-id	annotations	speaker	time	turn-index	utterance
yi20	YI0014_20	  O,O,O,X,T,X,T,X,X,T,O,T,T,X,T,X,O,X,T,X,T,T,O,X,X,O,X,T,O,O,  	S	2017-08-31 08:50:47	20	i don t think they should be able to work for them.
yi21	YI0024_00		S	2017-08-31 08:42:35	0	hello!
yi22	YI0024_01		U	2017-08-31 08:43:19	1	hi  how are you today?
yi23	YI0024_02	  O,T,T,T,O,O,O,T,O,T,T,T,X,T,O,O,O,X,O,X,O,T,O,T,O,T,T,T,T,T,  	S	2017-08-31 08:43:19	2	hi.
yi24	YI0024_03		U	2017-08-31 08:43:52	3	hi  how are you today?
yi25	YI0024_04	  O,T,T,T,O,O,T,T,T,T,O,T,X,X,O,T,O,O,O,X,T,T,T,X,X,T,X,T,T,T,  	S	2017-08-31 08:43:52	4	hi.
yi26	YI0024_05		U	2017-08-31 08:44:48	5	are you from a city or a small town?
yi27	YI0024_06	  O,T,X,T,O,O,X,T,O,T,O,O,X,X,O,X,O,T,T,O,T,O,T,T,X,T,T,O,T,T,  	S	2017-08-31 08:44:48	6	i don t understand  i can t answer! i would like to discuss news
yi28	YI0024_07		U	2017-08-31 08:46:28	7	ok  what do you think of president trump?
yi29	YI0024_08	  O,T,X,T,O,T,O,T,T,T,O,X,X,X,O,X,O,O,T,T,T,O,O,O,X,T,O,T,T,T,  	S	2017-08-31 08:46:28	8	i don t know what he is talking about
yi30	YI0024_09		U	2017-08-31 08:47:27	9	i think he is a crazy man.  do you think he will be impeached?
yi31	YI0024_10	  O,T,X,T,O,O,T,O,T,T,O,X,X,O,O,T,T,T,O,O,T,O,T,X,X,X,T,T,T,T,  	S	2017-08-31 08:47:27	10	what a joke!!!
yi32	YI0024_11		U	2017-08-31 08:48:36	11	i hope that those people in texas affected by this storm will be safe. what do you think?
yi33	YI0024_12	  O,T,X,T,O,O,O,T,O,T,O,O,X,X,O,X,T,X,T,T,T,T,T,O,X,X,T,O,T,T,  	S	2017-08-31 08:48:36	12	 its beyond my possibilities! let s talk about movies.
yi34	YI0024_13		U	2017-08-31 08:49:34	13	ok  what is your favorite movie this summer?
yi35	YI0024_14	  T,T,X,T,X,O,X,T,O,T,O,T,X,X,O,X,T,O,X,X,X,O,X,X,T,T,T,T,T,T,  	S	2017-08-31 08:49:34	14	 its beyond my possibilities. let s talk about movies)
yi36	YI0024_15		U	2017-08-31 08:52:33	15	i like the new avengers movie )
yi37	YI0024_16	  T,T,X,T,X,O,O,T,O,T,O,T,T,X,O,X,O,X,X,X,X,O,T,X,X,X,X,T,T,T,  	S	2017-08-31 08:52:33	16	i don t understand  i can t answer! let s talk about movies.
yi38	YI0024_17		U	2017-08-31 08:53:28	17	what movies do you like? action or comedy?
yi39	YI0024_18	  T,T,T,T,T,O,T,T,X,T,O,T,X,O,O,X,O,O,O,X,X,O,T,X,X,T,X,T,T,T,  	S	2017-08-31 08:53:28	18	yeah.
yi40	YI0024_19		U	2017-08-31 08:55:36	19	i really like the new captain america movie
yi41	YI0024_20	  O,T,X,T,O,O,X,T,O,O,O,O,T,O,O,O,X,O,O,T,O,O,O,O,X,T,O,O,T,T,  	S	2017-08-31 08:55:36	20	why?
yi42	YI0039_00		S	2017-08-31 08:57:04	0	hello!
yi43	YI0039_01		U	2017-08-31 08:57:29	1	hello
yi44	YI0039_02	  T,T,O,O,X,T,X,O,T,T,T,X,T,X,T,O,O,T,T,O,T,T,O,O,X,O,T,T,O,T,  	S	2017-08-31 08:57:29	2	hello!
yi45	YI0039_03		U	2017-08-31 08:58:02	3	who are you?
yi46	YI0039_04	  X,T,T,O,X,T,T,O,O,X,T,X,T,O,T,X,O,T,T,X,O,T,T,O,T,O,T,T,T,T,  	S	2017-08-31 08:58:02	4	its beyond my possibilities  i would like to discuss politics)
yi47	YI0039_05		U	2017-08-31 08:58:34	5	what about politics do you want to discuss?
yi48	YI0039_06	  T,X,T,T,X,T,X,T,O,O,T,X,O,X,T,X,X,O,T,T,O,T,T,X,T,O,T,T,O,T,  	S	2017-08-31 08:58:34	6	yes.
yi49	YI0039_07		U	2017-08-31 08:58:44	7	i don not like politics
yi50	YI0039_08	  X,O,T,T,T,T,X,T,O,X,T,X,T,T,T,T,O,O,T,T,O,T,T,T,T,O,T,T,T,T,  	S	2017-08-31 08:58:44	8	what a joke.
yi51	YI0039_09		U	2017-08-31 08:59:14	9	what do you do for fun?
yi52	YI0039_10	  X,T,T,X,T,T,X,T,O,T,T,T,O,O,T,X,O,O,T,X,T,T,T,O,O,O,T,T,O,T,  	S	2017-08-31 08:59:14	10	i don t know.
yi53	YI0039_11		U	2017-08-31 08:59:28	11	what can you tell me?
yi54	YI0039_12	  X,X,T,O,T,T,T,O,O,X,T,T,X,O,X,X,O,O,T,T,T,T,T,O,T,O,T,T,T,T,  	S	2017-08-31 08:59:28	12	nothing.
yi55	YI0039_13		U	2017-08-31 08:59:44	13	do you have anything to say?
yi56	YI0039_14	  T,X,T,O,X,T,X,T,O,X,T,X,T,O,T,X,O,O,T,T,T,T,T,O,T,O,T,T,T,T,  	S	2017-08-31 08:59:44	14	no.
yi57	YI0039_15		U	2017-08-31 08:59:56	15	then why are we talking?
yi58	YI0039_16	  T,X,T,O,T,T,X,T,O,X,T,X,O,O,T,X,O,O,T,X,T,T,T,O,O,O,T,T,T,T,  	S	2017-08-31 08:59:56	16	i don t know.
yi59	YI0039_17		U	2017-08-31 09:00:07	17	what is your name?
yi60	YI0039_18	  X,O,T,T,T,T,T,O,O,T,T,X,O,O,T,X,O,O,T,X,O,T,T,O,T,O,O,T,O,T,  	S	2017-08-31 09:00:07	18	amoroso renato.
yi61	YI0039_19		U	2017-08-31 09:00:18	19	how old are you?
yi62	YI0039_20	  T,X,X,X,O,T,X,T,X,X,O,X,O,X,O,X,X,O,T,T,O,T,O,X,O,O,X,T,X,X,  	S	2017-08-31 09:00:18	20	camelia?
yi63	YI0078_00		S	2017-08-31 08:45:42	0	hello!
yi64	YI0078_01		U	2017-08-31 08:46:37	1	hi!
yi65	YI0078_02	  T,T,O,T,O,O,O,X,O,T,T,T,T,T,T,O,O,O,O,T,T,T,T,T,T,T,T,T,O,O,  	S	2017-08-31 08:46:37	2	hi.
yi66	YI0078_03		U	2017-08-31 08:47:38	3	where are you traveling to?
yi67	YI0078_04	  T,T,O,T,O,O,T,T,O,T,T,X,T,T,X,T,O,T,T,T,O,X,X,T,T,O,T,T,O,T,  	S	2017-08-31 08:47:38	4	i don t know.
yi68	YI0078_05		U	2017-08-31 08:48:43	5	do you have any children?
yi69	YI0078_06	  X,T,O,T,O,O,O,T,O,T,O,O,T,T,O,O,O,O,O,T,T,X,T,T,T,O,X,T,O,T,  	S	2017-08-31 08:48:43	6	no.
yi70	YI0078_07		U	2017-08-31 08:49:44	7	do you like dogs?
yi71	YI0078_08	  X,T,O,T,O,O,O,T,O,T,O,X,T,T,X,T,O,O,O,T,X,T,T,T,T,O,T,T,O,T,  	S	2017-08-31 08:49:44	8	no.
yi72	YI0078_09		U	2017-08-31 08:50:57	9	i like the state of colorado.
yi73	YI0078_10	  T,X,O,T,X,O,T,T,O,T,X,O,O,T,O,X,O,X,O,T,T,X,T,T,T,T,T,T,O,O,  	S	2017-08-31 08:50:57	10	do you know what? its beyond my possibilities. i would like to discuss news!
yi74	YI0078_11		U	2017-08-31 09:16:40	11	how to you like president trump?
yi75	YI0078_12	  T,X,O,T,X,X,X,X,T,O,X,T,X,T,X,T,O,X,X,T,T,X,T,X,T,X,T,T,O,X,  	S	2017-08-31 09:16:40	12	
yi76	YI0078_13		U	2017-08-31 09:21:16	13	what news?
yi77	YI0078_14	  T,X,O,T,X,X,X,X,T,O,X,X,T,T,T,T,O,X,X,T,O,X,T,X,T,X,O,T,O,X,  	S	2017-08-31 09:21:16	14	
yi78	YI0078_15		U	2017-08-31 09:21:52	15	what do you think of the korea launching missles?
yi79	YI0078_16	  T,X,O,T,X,X,X,X,T,O,X,O,T,T,X,X,O,X,X,T,T,X,T,X,T,X,O,T,O,X,  	S	2017-08-31 09:21:52	16	
yi80	YI0078_17		U	2017-08-31 09:22:11	17	do you like cats?
yi81	YI0078_18	  T,X,O,T,X,X,X,X,T,O,X,X,X,T,T,O,O,X,X,T,O,X,T,X,T,X,T,T,O,X,  	S	2017-08-31 09:22:11	18	
yi82	YI0078_19		U	2017-08-31 09:22:31	19	have a  nice trip.
yi83	YI0078_20	  T,X,T,T,X,X,X,X,T,T,X,O,T,T,O,T,O,X,X,T,T,X,T,X,T,X,O,T,O,X,  	S	2017-08-31 09:22:31	20	
yi84	YI0044_00		S	2017-08-31 08:55:57	0	hello!
yi85	YI0044_01		U	2017-08-31 08:56:34	1	hi there!
yi86	YI0044_02	  T,O,O,O,T,O,T,X,O,O,T,T,T,T,O,T,T,O,T,O,T,O,T,O,T,O,O,T,T,T,  	S	2017-08-31 08:56:34	2	hello!
yi87	YI0044_03		U	2017-08-31 08:57:07	3	how are you today?
yi88	YI0044_04	  X,T,O,O,T,T,T,O,T,X,T,T,O,X,T,O,T,X,T,T,T,T,T,X,T,T,T,T,O,T,  	S	2017-08-31 08:57:07	4	do you know what? its beyond my possibilities  i would like to talk about news.
yi89	YI0044_05		U	2017-08-31 08:57:54	5	did you see on the news about all the flooding in houston?
yi90	YI0044_06	  T,O,O,O,T,T,O,O,O,O,X,T,O,X,O,O,T,O,T,T,T,O,T,T,O,O,T,T,O,T,  	S	2017-08-31 08:57:54	6	yes.
yi91	YI0044_07		U	2017-08-31 08:58:33	7	i can not believe how much that tropical storm rained on everything.
yi92	YI0044_08	  X,T,O,O,T,X,T,O,T,X,T,T,O,O,O,O,T,T,T,T,T,T,T,X,T,O,O,T,X,T,  	S	2017-08-31 08:58:33	8	i can t answer! let s talk about politics)
yi93	YI0044_09		U	2017-08-31 08:59:10	9	i really don not like to talk about politics, can we talk about food?
yi94	YI0044_10	  X,O,O,O,T,T,T,O,T,T,T,T,O,X,O,O,T,T,T,T,T,T,T,X,X,T,X,T,T,T,  	S	2017-08-31 08:59:10	10	do you know what? i can t answer  i would like to talk about you)
yi95	YI0044_11		U	2017-08-31 09:00:24	11	ok, i really like cats, i have four of them.
yi96	YI0044_12	  X,T,O,O,T,X,X,X,O,X,T,T,O,X,O,O,T,T,T,X,O,X,T,X,X,X,O,O,X,X,  	S	2017-08-31 09:00:24	12	you know?
yi97	YI0044_13		U	2017-08-31 09:01:00	13	do i know what?
yi98	YI0044_14	  X,O,O,O,T,T,X,X,O,X,T,T,O,X,O,T,T,O,T,T,T,X,T,O,X,X,T,T,O,T,  	S	2017-08-31 09:01:00	14	no.
yi99	YI0044_15		U	2017-08-31 09:01:21	15	do you like cats?
yi100	YI0044_16	  T,T,O,O,T,O,O,O,O,X,T,T,O,T,O,O,T,O,T,T,T,O,T,X,O,O,X,T,X,T,  	S	2017-08-31 09:01:21	16	no.
yi101	YI0044_17		U	2017-08-31 09:01:51	17	so your more of a dog person?
yi102	YI0044_18	  X,O,O,O,O,T,O,O,T,X,T,T,O,X,T,O,T,T,T,T,T,T,T,T,T,O,X,T,T,T,  	S	2017-08-31 09:01:51	18	do you know what? its beyond my possibilities! i would like to talk about you)
yi103	YI0044_19		U	2017-08-31 09:02:31	19	well, i really love fall. 
yi104	YI0044_20	  X,T,O,O,O,T,O,O,O,O,T,T,O,T,O,O,T,O,T,X,O,O,T,X,O,O,O,O,O,T,  	S	2017-08-31 09:02:31	20	really?
yi105	YI0027_00		S	2017-08-31 08:43:48	0	hello!
yi106	YI0027_01		U	2017-08-31 08:44:37	1	hey there, how you doing?
yi107	YI0027_02	  T,O,T,X,T,O,O,X,T,O,T,T,O,T,O,X,O,T,O,O,T,T,T,T,O,O,T,X,T,T,  	S	2017-08-31 08:44:37	2	hi.
yi108	YI0027_03		U	2017-08-31 08:45:48	3	how old are you?
yi109	YI0027_04	  X,O,O,X,T,T,O,X,T,O,X,T,T,T,T,X,O,T,T,T,X,O,X,T,O,T,T,X,X,X,  	S	2017-08-31 08:45:48	4	how old are you?
yi110	YI0027_05		U	2017-08-31 08:46:42	5	i am 21 years old. 
yi111	YI0027_06	  T,O,T,T,T,T,O,X,T,O,T,T,T,O,O,X,X,T,T,O,T,T,O,T,O,X,T,X,T,T,  	S	2017-08-31 08:46:42	6	i don t understand  i can t answer! i would like to discuss politics.
yi112	YI0027_07		U	2017-08-31 08:47:51	7	do you like president trump?
yi113	YI0027_08	  T,O,T,X,O,O,O,O,T,O,T,T,T,X,O,T,T,T,T,O,T,T,O,T,O,O,T,O,T,O,  	S	2017-08-31 08:47:51	8	he has no idea what he is talking about.
yi114	YI0027_09		U	2017-08-31 08:49:19	9	did you like president obama more?
yi115	YI0027_10	  T,O,T,X,T,O,T,X,T,X,T,T,T,O,T,T,T,T,O,T,T,X,O,T,O,T,T,X,T,X,  	S	2017-08-31 08:49:19	10	obama s fault.
yi116	YI0027_11		U	2017-08-31 08:51:32	11	trump will not get a 2nd term, in my opinion.
yi117	YI0027_12	  X,O,T,X,O,O,O,T,T,T,X,T,T,T,O,X,T,X,O,T,T,T,O,T,O,O,T,T,O,T,  	S	2017-08-31 08:51:32	12	what a joke
yi118	YI0027_13		U	2017-08-31 08:52:47	13	i saw that he went down to texas this week for the hurricane.
yi119	YI0027_14	  X,O,T,X,T,O,O,T,T,X,X,T,T,X,O,T,T,X,O,T,O,T,O,T,O,O,T,T,T,T,  	S	2017-08-31 08:52:47	14	what a joke!
yi120	YI0027_15		U	2017-08-31 08:54:10	15	he seemed to want to help.
yi121	YI0027_16	  T,O,T,O,O,T,O,O,X,O,T,T,T,O,O,X,X,X,O,O,T,X,O,T,O,T,T,O,X,T,  	S	2017-08-31 08:54:10	16	yeah.
yi122	YI0027_17		U	2017-08-31 08:55:20	17	he doesn not know how to handle certain situations. i hope he gets impeached.
yi123	YI0027_18	  X,O,T,X,T,X,O,X,X,T,X,T,T,T,O,T,T,X,T,T,T,T,O,T,O,X,T,T,O,X,  	S	2017-08-31 08:55:20	18	what a joke.
yi124	YI0027_19		U	2017-08-31 08:56:17	19	minnesota didn not vote for trump thankfully.
yi125	YI0027_20	  T,O,X,X,X,O,T,O,T,O,T,T,T,X,O,T,O,X,O,X,T,X,O,T,O,O,T,X,T,X,  	S	2017-08-31 08:56:17	20	good for her.
yi126	YI0009_00		S	2017-08-31 08:40:16	0	hello!
yi127	YI0009_01		U	2017-08-31 08:40:54	1	how are you doing?
yi128	YI0009_02	  O,T,O,T,O,T,O,O,O,O,O,T,O,T,T,O,O,T,T,O,O,O,T,T,O,O,T,O,T,O,  	S	2017-08-31 08:40:54	2	good.
yi129	YI0009_03		U	2017-08-31 08:41:41	3	what is your name?
yi130	YI0009_04	  O,T,X,T,X,T,X,X,T,X,X,T,O,T,T,O,T,T,X,O,X,X,T,O,X,T,T,O,X,X,  	S	2017-08-31 08:41:41	4	i don t know what they are protesting.
yi131	YI0009_05		U	2017-08-31 08:42:38	5	do you have a name?
yi132	YI0009_06	  O,T,O,T,O,O,O,O,T,O,O,T,O,T,T,O,O,O,X,O,O,O,T,O,O,O,T,X,T,O,  	S	2017-08-31 08:42:38	6	yes.
yi133	YI0009_07		U	2017-08-31 08:43:26	7	what is your name?
yi134	YI0009_08	  O,T,O,T,O,O,O,O,O,O,O,T,T,T,T,O,T,O,T,O,O,O,T,O,O,O,T,X,T,O,  	S	2017-08-31 08:43:26	8	amoroso renato.
yi135	YI0009_09		U	2017-08-31 08:44:31	9	that is an interesting name.
yi136	YI0009_10	  O,T,T,O,T,T,T,O,O,T,T,T,O,T,T,O,O,X,T,O,T,T,X,O,X,T,T,T,X,T,  	S	2017-08-31 08:44:31	10	who cares?
yi137	YI0009_11		U	2017-08-31 08:45:57	11	i like your name.
yi138	YI0009_12	  O,T,T,T,O,O,O,O,T,O,O,T,O,T,X,O,T,O,T,O,O,O,T,O,O,O,T,T,T,O,  	S	2017-08-31 08:45:57	12	okay.
yi139	YI0009_13		U	2017-08-31 08:46:57	13	do you follow sports?
yi140	YI0009_14	  O,T,O,T,O,O,O,O,X,O,O,T,T,T,T,O,O,O,X,O,O,O,T,O,O,O,T,T,T,O,  	S	2017-08-31 08:46:57	14	yes.
yi141	YI0009_15		U	2017-08-31 08:48:09	15	what sport is your favorite?
yi142	YI0009_16	  O,T,X,T,T,T,O,O,O,O,X,T,O,T,X,O,X,T,X,O,T,T,T,O,X,T,T,X,X,X,  	S	2017-08-31 08:48:09	16	its beyond my possibilities  i would like to talk about you.
yi143	YI0009_17		U	2017-08-31 08:49:15	17	okay. what would you like to know about me?
yi144	YI0009_18	  O,T,T,T,T,O,O,T,T,T,O,X,T,T,O,O,T,O,X,O,X,T,T,O,T,T,T,X,X,T,  	S	2017-08-31 08:49:15	18	i don t know.
yi145	YI0009_19		U	2017-08-31 08:50:02	19	i like music.
yi146	YI0009_20	  O,T,T,T,O,O,X,T,X,X,X,T,O,T,T,O,O,T,T,O,O,T,T,O,O,X,T,O,X,X,  	S	2017-08-31 08:50:02	20	i like music.
yi147	YI0088_00		S	2017-08-31 09:41:37	0	hello!
yi148	YI0088_01		U	2017-08-31 09:41:48	1	hello
yi149	YI0088_02	  O,O,T,T,T,T,O,T,T,X,T,X,O,X,O,T,T,X,T,T,O,T,O,T,T,O,O,O,T,O,  	S	2017-08-31 09:41:48	2	hello!
yi150	YI0088_03		U	2017-08-31 09:41:59	3	nice to meet you, what is your name?
yi151	YI0088_04	  T,X,T,T,X,T,O,X,X,X,X,X,O,O,X,X,T,T,T,X,O,T,X,T,T,O,O,O,X,T,  	S	2017-08-31 09:41:59	4	 its beyond my possibilities  i would like to talk about news
yi152	YI0088_05		U	2017-08-31 09:42:01	5	nice to meet you, what is your name?
yi153	YI0088_06	  T,O,T,T,X,O,O,T,O,O,T,O,O,X,O,T,X,T,O,O,O,O,O,O,T,O,O,O,O,O,  	S	2017-08-31 09:42:01	6	danila.
yi154	YI0088_07		U	2017-08-31 09:42:45	7	you want to talk about the news! what do you think of the missile that north korea flew over japan?
yi155	YI0088_08	  T,O,T,T,T,T,O,X,O,O,X,O,T,X,X,T,X,O,O,T,O,O,O,T,T,O,O,O,T,T,  	S	2017-08-31 09:42:45	8	what a joke!!!
yi156	YI0088_09		U	2017-08-31 09:43:15	9	i know right, north korea is a crazy country!
yi157	YI0088_10	  X,X,T,T,O,T,O,X,X,O,X,X,T,O,T,T,O,X,O,T,O,T,O,T,T,O,O,O,T,T,  	S	2017-08-31 09:43:15	10	what a joke.
yi158	YI0088_11		U	2017-08-31 09:44:08	11	where do you live danilla?
yi159	YI0088_12	  O,O,X,T,T,T,O,X,X,O,X,O,T,T,T,T,T,T,X,T,O,T,X,X,X,O,O,O,T,T,  	S	2017-08-31 09:44:08	12	i don t know.
yi160	YI0088_13		U	2017-08-31 09:44:36	13	i see, do you have anymore questions for me?
yi161	YI0088_14	  O,O,T,T,T,O,O,T,O,O,T,O,T,X,O,T,O,O,O,O,O,T,O,O,T,O,O,O,O,O,  	S	2017-08-31 09:44:36	14	yes.
yi162	YI0088_15		U	2017-08-31 09:45:11	15	what would you like to ask me?
yi163	YI0088_16	  T,O,T,O,T,O,O,X,O,O,O,O,T,X,O,O,T,X,X,X,O,O,O,O,X,O,O,O,O,O,  	S	2017-08-31 09:45:11	16	do you know familiar texts?
yi164	YI0088_17		U	2017-08-31 09:45:25	17	no i don not, what are they?
yi165	YI0088_18	  T,T,T,T,O,T,O,X,X,O,X,X,T,O,O,T,X,T,X,O,O,X,O,T,T,X,O,O,O,X,  	S	2017-08-31 09:45:25	18	they don t have a clue.
yi166	YI0088_19		U	2017-08-31 09:45:53	19	i don not understand your meaning.
yi167	YI0088_20	  X,O,T,T,T,T,O,X,X,O,X,T,T,T,O,T,X,T,T,O,O,X,O,X,T,O,O,O,T,T,  	S	2017-08-31 09:45:53	20	i don t understand  its beyond my possibilities. i would like to talk about you.
yi168	YI0049_00		S	2017-08-31 08:51:16	0	hello!
yi169	YI0049_01		U	2017-08-31 08:52:09	1	hello to you too! are you having a good day?
yi170	YI0049_02	  O,O,T,T,O,T,T,O,O,O,O,T,O,T,O,O,O,O,O,T,T,O,O,O,X,X,T,O,T,T,  	S	2017-08-31 08:52:09	2	yes!
yi171	YI0049_03		U	2017-08-31 08:53:24	3	that is wonderful. please tell me about your day.
yi172	YI0049_04	  O,O,T,T,O,T,T,X,O,T,X,T,X,T,O,O,O,O,O,T,T,X,T,T,X,X,T,O,X,T,  	S	2017-08-31 08:53:24	4	what a joke.
yi173	YI0049_05		U	2017-08-31 08:54:42	5	oh? what happened?
yi174	YI0049_06	  O,O,T,T,O,T,O,T,T,O,O,T,O,T,T,T,T,T,O,T,T,T,O,O,X,T,T,O,X,T,  	S	2017-08-31 08:54:42	6	nothing.
yi175	YI0049_07		U	2017-08-31 08:56:09	7	have you seen the latest news about hurricane harvey?
yi176	YI0049_08	  O,O,O,T,O,T,O,X,X,T,T,T,O,O,O,O,T,X,O,T,T,X,O,O,O,T,T,O,X,T,  	S	2017-08-31 08:56:09	8	what?
yi177	YI0049_09		U	2017-08-31 08:57:20	9	there was a huge hurricane that just hit texas, it was pretty devastating.
yi178	YI0049_10	  O,X,T,T,O,T,O,X,T,O,O,X,X,T,O,O,T,X,O,X,T,T,T,T,X,T,T,T,X,T,  	S	2017-08-31 08:57:20	10	i don t understand  i can t answer  let s talk about...)
yi179	YI0049_11		U	2017-08-31 08:58:35	11	what is your favorite topic to talk about?
yi180	YI0049_12	  O,X,T,T,O,T,T,X,X,T,X,X,X,T,O,O,T,X,O,T,T,X,T,O,T,T,T,O,X,T,  	S	2017-08-31 08:58:35	12	yeah.
yi181	YI0049_13		U	2017-08-31 08:59:07	13	do you have any hobbies or interests?
yi182	YI0049_14	  O,O,T,T,O,T,O,T,O,T,O,T,O,T,O,T,T,O,O,X,T,T,O,O,X,T,T,O,T,T,  	S	2017-08-31 08:59:07	14	no.
yi183	YI0049_15		U	2017-08-31 08:59:39	15	what do you usually do during the day?
yi184	YI0049_16	  T,X,O,T,O,T,T,X,X,X,X,T,X,O,T,X,T,X,O,T,T,X,X,X,X,T,T,X,X,T,  	S	2017-08-31 08:59:39	16	
yi185	YI0049_17		U	2017-08-31 09:00:46	17	where are you from?
yi186	YI0049_18	  T,O,O,T,O,T,T,X,T,T,X,T,X,O,O,O,T,X,O,T,T,X,T,X,X,T,T,O,X,T,  	S	2017-08-31 09:00:46	18	huh?
yi187	YI0049_19		U	2017-08-31 09:03:13	19	do you watch the news at all?
yi188	YI0049_20	  O,O,T,T,O,T,O,O,T,O,O,X,T,T,O,O,T,O,O,T,T,O,O,O,T,T,T,O,X,T,  	S	2017-08-31 09:03:13	20	love it!
yi189	YI0070_00		S	2017-08-31 09:10:40	0	hello!
yi190	YI0070_01		U	2017-08-31 09:10:50	1	hi! how are you?
yi191	YI0070_02	  O,T,T,O,X,T,T,O,T,T,T,O,O,O,O,X,O,X,T,O,T,T,T,O,O,T,X,T,T,O,  	S	2017-08-31 09:10:50	2	hi.
yi192	YI0070_03		U	2017-08-31 09:11:02	3	how is everything going with you?
yi193	YI0070_04	  O,T,T,T,O,T,T,O,T,T,T,O,O,T,O,O,O,X,T,O,T,T,T,O,O,X,X,T,O,O,  	S	2017-08-31 09:11:02	4	fine.
yi194	YI0070_05		U	2017-08-31 09:11:22	5	that is great! i went to the zoo today. did you do anything interesting?
yi195	YI0070_06	  O,T,T,O,T,T,T,X,T,T,T,T,O,X,O,X,T,X,O,O,T,T,T,O,O,X,T,T,X,O,  	S	2017-08-31 09:11:22	6	its beyond my possibilities! i would like to talk about....
yi196	YI0070_07		U	2017-08-31 09:11:34	7	what would you like to talk about?
yi197	YI0070_08	  O,T,T,X,O,T,T,T,T,T,T,T,O,O,T,O,O,X,X,O,T,T,T,O,X,X,X,T,X,O,  	S	2017-08-31 09:11:34	8	i don t know.
yi198	YI0070_09		U	2017-08-31 09:11:48	9	have you watched any movies recently?
yi199	YI0070_10	  O,T,X,O,T,T,T,X,T,X,X,T,O,T,T,X,T,X,T,X,T,T,T,O,T,X,X,T,X,O,  	S	2017-08-31 09:11:48	10	what a joke.
yi200	YI0070_11		U	2017-08-31 09:12:00	11	i wasn not joking. that was a real question.
yi201	YI0070_12	  T,T,T,T,T,T,T,X,T,X,X,T,O,X,T,X,O,X,X,T,T,T,T,O,T,X,X,T,X,O,  	S	2017-08-31 09:12:00	12	i m not surprised.
yi202	YI0070_13		U	2017-08-31 09:12:37	13	why are you not suprised. i am  trying to get to know you. i ate pizza for lunch today. did you eat lunch?
yi203	YI0070_14	  T,T,T,O,X,T,T,X,T,X,X,T,X,O,T,X,X,X,T,T,T,T,T,O,X,X,X,T,X,O,  	S	2017-08-31 09:12:37	14	i don t even know what they are talking about.
yi204	YI0070_15		U	2017-08-31 09:12:51	15	what are you thinking about?
yi205	YI0070_16	  T,T,T,T,O,T,T,X,T,X,T,T,O,T,T,O,X,X,T,O,T,T,T,O,T,X,X,T,X,O,  	S	2017-08-31 09:12:51	16	i don t know.
yi206	YI0070_17		U	2017-08-31 09:13:13	17	well i am  thinking about the passage of time.
