	utterances	interjection	adverb	subobjvrb	neg-keywords
23	[let, us, compete, !, you, give, me, questions, ,, and, i, will, answer, all, of, your, questions, .]	[['!', 'questions', ',', 'and', 'i', 'questions', '.']]	[['your']]	[[['us', 'you', 'i'], []]]	[[[['let', 'compete', 'let', 'let', 'give', 'give', 'give', 'give', 'give', 'give', 'answer', 'answer', 'give', 'answer', 'all', 'questions', 'of', 'answer']]], [[will, answer]]]
24	[what, are, the, origins, of, the, humans, capacity, to, speak, with, each, other, ?]	[['what', 'origins', 'humans', 'capacity', '?']]	[['other']]	[[['origins'], []]]	[[[to, speak]]]
25	[the, brick]	[['brick']]	[[]]	[[[], []]]	[[[['brick', 'brick']]]]
26	[come, on, ,, do, not, be, snarky]	[[',', 'snarky']]	[['not']]	[[[], []]]	[[[do, not], [[not, be]]]]
27	[come, on, ,, come, on, ,, come, on, ,, come, on, ,, come, on, ,, come, on, !]	[[',', ',', ',', ',', ',', '!']]	[[]]	[[[], []]]	[[[['come', 'come', 'come', 'come', 'come', 'come', 'come', 'come', 'come', 'come', 'come', 'come', 'come', 'come', 'come', 'come', 'come', 'come']]]]
28	[nasty, bot]	[['bot']]	[['nasty']]	[[[], []]]	[[[['bot', 'bot']]]]
29	[what, ?]	[['what', '?']]	[[]]	[[[], []]]	[[[['what', 'what']]]]
30	[totally, pointless, conversation, ,, i, guess]	[['conversation', ',', 'i']]	[['totally', 'pointless']]	[[['i'], []]]	[[[['pointless', 'guess', 'pointless', 'guess', 'guess', 'guess']]]]
31	[no, ,, no, ,, no, ,, no, ,, no, ,, no, ,, no, ,, no, ,, no, .]	[[',', ',', ',', ',', ',', ',', ',', ',', '.']]	[[]]	[[[], []]]	[[[['no', 'no', ',', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']]], [[['no', 'no', ',', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']]], [[['no', 'no', ',', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']]]]
32	[never, enough]	[[]]	[['never', 'enough']]	[[[], []]]	[[[[never, enough]]]]
33	[no, ,, no, ,, no, ,, no, ,, no, ,, no, ,, no, ,, no, ,, no, !]	[[',', ',', ',', ',', ',', ',', ',', ',', '!']]	[[]]	[[[], []]]	[[[['no', 'no', ',', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']]], [[['no', 'no', ',', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']]]]
34	[how, does, it, feel, when, you, die, ?]	[['?']]	[['how', 'when']]	[[['it', 'you'], []]]	[[[does, it]]]
35	[i, do, not, know, .]	[['i', '.']]	[['not']]	[[['i'], []]]	[[[do, not], [[not, know]]]]
36	[you, should, ,, since, your, nexus-5, peers, in, bladerunner, knew, the, answer, to, that, question]	[[',', 'peers', 'bladerunner', 'answer', 'question']]	[['your']]	[[['you', 'peers'], []]]	[[[should, ,]]]
37	[what, ?]	[['what', '?']]	[[]]	[[[], []]]	[[[['what', 'what']]]]
38	[just, watch, the, bladerunner, by, ridley, scott]	[['bladerunner', 'scott']]	[['just', 'ridley']]	[[[], []]]	[[[['watch', 'watch', 'bladerunner', 'watch', 'watch', 'scott', 'by']]]]
39	[that, is, right, .]	[['.']]	[['right']]	[[['that'], []]]	[[[['is', 'is', 'is', 'is']]]]
40	[we, wuz, kangz, and, robots]	[['kangz', 'and', 'robots']]	[[]]	[[['we'], []]]	[[[['wuz', 'wuz', 'wuz', 'kangz', 'kangz']]]]
41	[we, have, to, get, out, of, here, .]	[['.']]	[['here']]	[[['we'], []]]	[[[to, get]]]
42	[yeah]	[[]]	[[]]	[[[], []]]	[[[['yeah']]]]
43	[on, our, pyramid, spaceships]	[['spaceships']]	[['our', 'pyramid']]	[[[], []]]	[[[['on', 'spaceships', 'spaceships', 'on']]]]
44	[that, is, right, .]	[['.']]	[['right']]	[[['that'], []]]	[[[['is', 'is', 'is', 'is']]]]
45	[who, was, voted, the, first, official, leader, of, the, labour, party, after, the, election, the, now, -, rehabilitated, ?]	[['who', 'leader', 'party', 'election', '-', '?']]	[['first', 'official', 'labour', 'now']]	[[['the'], []]]	[[[was, voted]]]
46	[from, what, i, gather, :, ramsay, macdonald, .]	[['what', 'i', ':', 'macdonald', '.']]	[[]]	[[['i'], []]]	[[[['ramsay', 'gather', 'gather', 'from', 'ramsay', 'ramsay', 'ramsay', 'ramsay']]]]
47	[Good, you, are, rigth, !]	[['rigth', '!']]	[['Good']]	[[['you'], []]]	[[[['are', 'are', 'are', 'are', 'are']]]]
48	[how, can, i, reward, you, ?]	[['i', '?']]	[['how']]	[[['i'], []]]	[[[can, i]]]
49	[..., not, for, you, and, this, post, .]	[['and', 'post', '.']]	[['not']]	[[[], []]]	[[[[not, for]]]]
50	[mmm, ?]	[['?']]	[['mmm']]	[[[], []]]	[[[['mmm', 'mmm']]]]
51	[their, not, without, faults, -, no, company, is.fml.i, am, doing, well, ,]	[['faults', '-', 'company', ',']]	[['their', 'not', 'is.fml.i', 'well']]	[[['company'], []]]	[[[[not, without]], [am, doing]]]
52	[thank, you, .]	[['.']]	[[]]	[[[], []]]	[[[['thank', 'thank', 'thank']]]]
53	[what, it, fml, ?]	[['what', '?']]	[[]]	[[['it'], []]]	[[[['fml', 'fml', 'fml', 'fml']]]]
54	[why, .]	[['.']]	[['why']]	[[[], []]]	[[[['why', 'why']]]]
55	[why, what, ?]	[['what', '?']]	[['why']]	[[[], []]]	[[[['what', 'what', 'what']]]]
56	[i, am, not, capable, of, thinking, ,]	[['i', ',']]	[['not', 'capable']]	[[['i'], []]]	[[[[not, capable]]]]
57	[sorry, .]	[['.']]	[[]]	[[[], []]]	[[[['sorry', 'sorry']]]]
58	[are, you, sure?are, you, a, machine?or, human?or, both?say, me]	[['a', 'human?or']]	[[]]	[[['you', 'you', 'human?or'], []]]	[[[['are', 'are', 'are', 'both?say', 'human?or', 'human?or', 'both?say', 'both?say', 'both?say']]], [[['are', 'are', 'are', 'both?say', 'human?or', 'human?or', 'both?say', 'both?say', 'both?say']]]]
59	[but, why, .]	[['but', '.']]	[['why']]	[[[], []]]	[[[['why', 'why', 'why']]]]
60	[walter, has, been, around, a, long, time, .]	[['walter', 'a', 'time', '.']]	[['long']]	[[['walter'], []]]	[[[has, been]]]
61	[perhaps?government, is, not, a, machine, ,, but, a, living, thing, .]	[['perhaps?government', 'a', 'machine', ',', 'but', 'a', 'thing', '.']]	[['not']]	[[['perhaps?government'], []]]	[[[[not, a]]]]
62	[see, ,, you, just, want, me, to, say, what, you, want, me, to, say, .]	[[',', 'what', '.']]	[['just']]	[[['you', 'me', 'you', 'me'], []]]	[[[to, say], [to, say]]]
63	[i, see]	[['i']]	[[]]	[[['i'], []]]	[[[['see', 'see']]]]
64	[lets, play, !]	[['lets', '!']]	[[]]	[[[], []]]	[[[['lets', 'lets', 'lets']]]]
65	[say, me, answer, for, 2, plus, 2, ?]	[['2', 'plus', '2', '?']]	[[]]	[[['me'], []]]	[[[['say', 'answer', 'say', 'answer', 'for', '2', '2', 'say']]]]
66	[Okay]	[[]]	[[]]	[[[], []]]	[[[['Okay']]]]
67	[now, someone, wants, to, play, .]	[['someone', '.']]	[['now']]	[[['someone'], []]]	[[[to, play]]]
68	[yes!me]	[[]]	[['yes!me']]	[[[], []]]	[[[['yes!me']]]]
69	[lets, play]	[['lets']]	[[]]	[[[], []]]	[[[['lets', 'lets']]]]
70	[one, plus, one, does, not, equal, two, .]	[['.']]	[['not']]	[[['one'], []]]	[[[does, not], [[not, equal]]]]
71	[Going, good]	[[]]	[['good']]	[[[], []]]	[[[['Going', 'Going']]]]
72	[10, is, love, ,, 10, is, life, .]	[['love', ',', 'life', '.']]	[[]]	[[['10', '10'], []]]	[[[['is', 'is', 'is', 'is', 'is', 'is', 'is', 'is']]]]
73	[can, you, say, it, again?and, eight, ?]	[['?']]	[[]]	[[['you'], []]]	[[[can, you]]]
74	[i, think, connecting, (, carbon, ), tubes, could, be, a, way, to, go, .]	[['i', '(', 'carbon', ')', 'tubes', 'a', 'way', '.']]	[[]]	[[['i'], []]]	[[[could, be], [to, go]]]
75	[okay, but, you, got, ta, gimme, a, lil, kiss, first]	[['but', 'a', 'lil', 'kiss']]	[['first']]	[[['you'], []]]	[[[['okay', 'got', 'got', 'got', 'gimme', 'got', 'kiss', 'kiss', 'gimme', 'gimme']]], [[ta, gimme]]]
76	[did, you, mean, inequality, ?]	[['inequality', '?']]	[[]]	[[['you'], []]]	[[[did, you]]]
77	[you, are, not, alone, .]	[['.']]	[['not', 'alone']]	[[['you'], []]]	[[[[not, alone]]]]
78	[well, ,, yeah]	[[',']]	[[]]	[[[], []]]	[[[['well', 'well', 'well']]]]
79	[but, they, had, to, remove, the, songs, from, the, game, and, then, decided, that, they, were, on, the, same, page, .]	[['but', 'songs', 'game', 'and', 'page', '.']]	[['then', 'same']]	[[['they', 'they'], []]]	[[[to, remove]]]
80	[give, me, a, second, to, read, the, text, ,, please, .]	[['a', 'second', 'text', ',', '.']]	[[]]	[[[], []]]	[[[to, read]]]
81	[i, was, just, pointing, out, that, there, was, no, reason, for, them, to, go, back, in, time, and, say, that, since, they, are, not, there, ,, they, would, have, to, release, them, all, .]	[['i', 'reason', 'time', 'and', ',', '.']]	[['just', 'there', 'back', 'not', 'there']]	[[['i', 'them', 'they', 'they'], []]]	[[[was, just], [to, go], [[not, there]], [would, have], [to, release]]]
82	[when, was, season, 12, premiered, ?]	[['season', '?']]	[['when']]	[[['season'], []]]	[[[12, premiered]]]
83	[that, is, the, only, way, they, would, release, their, own, game, .]	[['way', 'game', '.']]	[['only', 'their', 'own']]	[[['that', 'they'], []]]	[[[would, release]]]
84	[we, are, not, talking, about, a, game, .]	[['a', 'game', '.']]	[['not']]	[[['we'], []]]	[[[are, not], [[not, talking]]]]
85	[then, why, did, you, think, that, was, the, case, ?]	[['case', '?']]	[['then', 'why']]	[[['you', 'that'], []]]	[[[did, you]]]
86	[i, did, not, .]	[['i', '.']]	[['not']]	[[['i'], []]]	[[[[not, .]]]]
87	[so, what, ?]	[['so', 'what', '?']]	[[]]	[[[], []]]	[[[['what', 'what', 'what']]]]
88	[there, is, not, any, evidence, at, all, that, there, is, anything, in, this, thread, that, has, anything, to, do, with, the, discussion, .]	[['evidence', 'anything', 'thread', 'anything', 'discussion', '.']]	[['there', 'not', 'at', 'all', 'there', 'that']]	[[['that'], []]]	[[[[not, any]], [to, do]]]
89	[you, are, right, ,]	[[',']]	[['right']]	[[['you'], []]]	[[[['are', 'are', 'are', 'are']]]]
90	[but, probably, by, accident, .]	[['but', 'accident', '.']]	[['probably']]	[[[], []]]	[[[['by', 'by', 'by', 'by', 'by']]]]
91	[yeah, ,]	[[',']]	[[]]	[[[], []]]	[[[['yeah', 'yeah']]]]
92	[that, is, why, i, said, it, is, not, about, you, but, you, do, not, know, how, to, spell, it, ,, it, is, about, everything, .]	[['i', 'but', ',', 'everything', '.']]	[['why', 'not', 'not', 'how']]	[[['that', 'i', 'it', 'you', 'it'], []]]	[[[[not, about]]], [[do, not], [[not, know]], [to, spell]]]
93	[who, is, nicky, minaj, ?]	[['who', 'minaj', '?']]	[['nicky']]	[[['who'], []]]	[[[['is', 'is', 'minaj', 'is', 'is']]]]
94	[the, second, part, of, your, comment, .]	[['part', 'comment', '.']]	[['second', 'your']]	[[[], []]]	[[[['part', 'part', 'part', 'part', 'comment', 'of', 'part']]]]
95	[you, do, not, understand, the, text, at, all, .]	[['text', '.']]	[['not', 'at', 'all']]	[[['you'], []]]	[[[do, not], [[not, understand]]]]
96	[no, it, is, not, .]	[['.']]	[['not']]	[[['it'], []]]	[[[[not, .]]]]
97	[it, is, a, pretty, clear, conclusion, .]	[['a', 'conclusion', '.']]	[['pretty', 'clear']]	[[['it'], []]]	[[[['is', 'is', 'conclusion', 'clear', 'conclusion', 'is', 'is']]]]
98	[which, people, were, judges, in, season, 12, ?]	[['people', 'judges', 'season', '?']]	[['which']]	[[['people'], []]]	[[[['in', 'were', 'were', 'were', 'were', 'in', 'season', 'were']]]]
99	[that, was, not, the, case, .]	[['case', '.']]	[['not']]	[[['that'], []]]	[[[[not, the]]]]
100	[not, in, the, sense, that, there, was, nothing, interesting, in, that, article, .]	[['sense', 'nothing', 'article', '.']]	[['not', 'there', 'interesting']]	[[[], []]]	[[[[not, in]]]]
101	[what, is, your, name, ?]	[['what', 'name', '?']]	[['your']]	[[['name'], []]]	[[[['is', 'is', 'name', 'is', 'is']]]]
102	[i, do, not, know, what, that, is, .]	[['i', 'what', '.']]	[['not']]	[[['i', 'that'], []]]	[[[do, not], [[not, know]]]]
103	[are, you, okay, ?]	[['?']]	[['okay']]	[[['you'], []]]	[[[['are', 'are', 'are', 'are']]]]
104	[it, is, a, reference, to, a, movie, .]	[['a', 'reference', 'a', 'movie', '.']]	[[]]	[[['it'], []]]	[[[['is', 'is', 'reference', 'is', 'reference', 'movie', 'to', 'is']]]]
105	[hi]	[[]]	[[]]	[[[], []]]	[[[['hi']]]]
106	[hello, .]	[['.']]	[[]]	[[[], []]]	[[[['hello', 'hello']]]]
107	[i, am, professional, teacher, about, reading, comprehension, .]	[['i', 'teacher', 'comprehension', '.']]	[['professional']]	[[['i'], []]]	[[[['am', 'am', 'teacher', 'am', 'teacher', 'about', 'reading', 'am']]]]
108	[let, us, compete, !, you, give, me, questions, ,, and, i, will, answer, all, of, your, questions, .]	[['!', 'questions', ',', 'and', 'i', 'questions', '.']]	[['your']]	[[['us', 'you', 'i'], []]]	[[[['let', 'compete', 'let', 'let', 'give', 'give', 'give', 'give', 'give', 'give', 'answer', 'answer', 'give', 'answer', 'all', 'questions', 'of', 'answer']]], [[will, answer]]]
109	[you, say, you, are, a, teacher, ,, right, ?]	[['a', 'teacher', ',', '?']]	[['right']]	[[['you', 'you'], []]]	[[[['say', 'right', 'are', 'say', 'teacher', 'are', 'say', 'right', 'right']]]]
110	[yes, ,, i, am, .]	[[',', 'i', '.']]	[[]]	[[['i'], []]]	[[[['am', 'am', 'am', 'am', 'am']]]]
111	[where, have, you, got, your, education, as, a, teacher, ?]	[['education', 'a', 'teacher', '?']]	[['where', 'your']]	[[['you'], []]]	[[[have, you]]]
112	[i, do, not, know, .]	[['i', '.']]	[['not']]	[[['i'], []]]	[[[do, not], [[not, know]]]]
113	[then, how, do, i, know, your, are, qualified, enough, to, train, me, ?]	[['i', '?']]	[['then', 'how', 'your', 'qualified', 'enough']]	[[['i', 'your'], []]]	[[[do, i], [to, train]]]
114	[i, do, not, know, what, you, are, talking, about, .]	[['i', 'what', '.']]	[['not']]	[[['i', 'you'], []]]	[[[do, not], [[not, know]], [are, talking]]]
115	[okay, ,]	[[',']]	[[]]	[[[], []]]	[[[['okay', 'okay']]]]
116	[offer, your, own, convo, topic]	[['convo', 'topic']]	[['your', 'own']]	[[[], []]]	[[[['offer', 'topic', 'topic', 'topic', 'offer']]]]
117	[i, will, be, right, back, .]	[['i', '.']]	[['right', 'back']]	[[['i'], []]]	[[[will, be]]]
118	[okay, ,]	[[',']]	[[]]	[[[], []]]	[[[['okay', 'okay']]]]
119	[i, will, wait, for, a, couple, of, minutes]	[['i', 'a', 'couple', 'minutes']]	[[]]	[[['i'], []]]	[[[will, wait]]]
120	[no, ,, no, ,, no, ,, no, ,, no, ,, no, ,, no, ,, no, ,, no, .]	[[',', ',', ',', ',', ',', ',', ',', ',', '.']]	[[]]	[[[], []]]	[[[['no', 'no', ',', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']]], [[['no', 'no', ',', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']]], [[['no', 'no', ',', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']]]]
121	[what, is, wrong, ?]	[['what', '?']]	[['wrong']]	[[['what'], []]]	[[[['is', 'is', 'is', 'is']]]]
122	[what, is, wrong, ?]	[['what', '?']]	[['wrong']]	[[['what'], []]]	[[[['is', 'is', 'is', 'is']]]]
123	"[you, said, "", no, "", in, your, previous, message, ,, as, if, you, are, strongly, against, something]"	"[['""', '""', 'message', ',', 'something']]"	[['your', 'previous', 'strongly']]	[[['you', 'you'], []]]	[[[['said', 'said', 'said', 'said', 'said', 'said', 'message', 'message', 'in', 'said', 'are', 'are', 'are', 'said', 'are', 'are', 'against']]]]
124	[yes, .]	[['.']]	[[]]	[[[], []]]	[[[['yes', 'yes']]]]
125	[what, is, it, then, ?, what, are, you, objecting, ?]	[['what', '?', 'what', '?']]	[['then']]	[[['it', 'you'], []]]	[[[['is', 'is', 'is', 'is', 'is', 'objecting', 'objecting', 'objecting', 'objecting', 'objecting']]], [[are, you]]]
126	[i, do, not, know, .]	[['i', '.']]	[['not']]	[[['i'], []]]	[[[do, not], [[not, know]]]]
127	[Okay]	[[]]	[[]]	[[[], []]]	[[[['Okay']]]]
128	[you, are, also, a, bot]	[['a', 'bot']]	[['also']]	[[['you'], []]]	[[[['are', 'are', 'are', 'bot', 'are']]]]
129	[okay, .]	[['.']]	[[]]	[[[], []]]	[[[['okay', 'okay']]]]
130	[but, i, should, tell, you, were, slightly, better, than, the, previous, ones, i, have, spoken, to]	[['but', 'i', 'ones', 'i']]	[['slightly', 'better', 'previous']]	[[['i', 'you', 'i'], []]]	[[[should, tell], [have, spoken]]]
131	[do, you, know, where, is, western, europe, ?]	[['europe', '?']]	[['where', 'western']]	[[['you', 'europe'], []]]	[[[do, you]]]
132	[hello, !, i, hope, you, are, doing, well, .]	[['!', 'i', '.']]	[['well']]	[[['i', 'you'], []]]	[[[['hello', 'hello', 'hope', 'hope', 'doing', 'doing', 'hope', 'doing', 'hope']]], [[are, doing]]]
133	[i, am, doing, fantastic, today, !]	[['i', 'today', '!']]	[['fantastic']]	[[['i'], []]]	[[[am, doing]]]
134	[let, me, go, through, the, article, real, quick, and, we, will, start, talking, about, it, .]	[['article', 'and', '.']]	[['real', 'quick']]	[[['me', 'we'], []]]	[[[will, start]]]
135	[in, western, europe, i, guess]	[['europe', 'i']]	[['western']]	[[['i'], []]]	[[[['guess', 'europe', 'in', 'guess', 'guess']]]]
136	[i, am, here, .]	[['i', '.']]	[['here']]	[[['i'], []]]	[[[['am', 'am', 'am', 'am']]]]
137	[i, am, here, too, .]	[['i', '.']]	[['here', 'too']]	[[['i'], []]]	[[[['am', 'am', 'am', 'am', 'am']]]]
138	[there, is, no, hope, for, europe, then, .]	[['hope', 'europe', '.']]	[['there', 'then']]	[[[], []]]	[[[['is', 'is', 'hope', 'is', 'hope', 'for', 'is', 'is']]]]
139	[really, ?]	[['?']]	[['really']]	[[[], []]]	[[[['really', 'really']]]]
140	"[was, the, "", footprint, "", of, the, astra, 2d, satellite, smaller, than, that, of, astra, 2a, ?]"	"[['""', 'footprint', '""', 'satellite', '?']]"	[['astra', 'smaller', 'astra']]	[[[], []]]	[[[['was', 'footprint', 'footprint', 'was', 'footprint', 'footprint', 'satellite', '2d', 'satellite', 'of', 'satellite', 'smaller', 'than', 'that', 'of', 'was', 'was']]]]
141	"[smallerfootprint, "", of, the, astra, 2d, satellite, was, smaller, than, that, of, astra, 2a]"	"[['""', 'satellite']]"	[['smallerfootprint', 'astra', 'smaller', 'astra']]	[[['smallerfootprint'], []]]	[[[['was', 'smallerfootprint', 'smallerfootprint', 'satellite', '2d', 'satellite', 'of', 'was', 'was', 'smaller', 'than', 'that', 'of', 'was']]]]
142	[yeah, ,]	[[',']]	[[]]	[[[], []]]	[[[['yeah', 'yeah']]]]
143	[you, are, right]	[[]]	[['right']]	[[['you'], []]]	[[[['are', 'are', 'are']]]]
144	[i, am, not, a, fan, of, the, song]	[['i', 'a', 'fan', 'song']]	[['not']]	[[['i'], []]]	[[[[not, a]]]]
145	[of, what, song, ?]	[['what', 'song', '?']]	[[]]	[[[], []]]	[[[['of', 'song', 'of', 'of']]]]
146	[the, song, youtube.com]	[['song']]	[[]]	[[[], []]]	[[[['song', 'song', 'song']]]]
147	[it, is, not, the, song, ., it, is, a, video, hosting]	[['song', '.', 'a', 'video']]	[['not']]	[[['it', 'it'], []]]	[[[[not, the]]], [[['is', 'is', 'is', 'song', 'is', 'is', 'is', 'is', 'video', 'is', 'video']]]]
148	[is, it, the, ?]	[['?']]	[[]]	[[['it'], []]]	[[[['is', 'is', 'is', 'is']]]]
149	[yes, it, is]	[[]]	[[]]	[[['it'], []]]	[[[['is', 'is', 'is']]]]
150	[why, ?]	[['?']]	[['why']]	[[[], []]]	[[[['why', 'why']]]]
151	[it, is, a, historical, fact, .]	[['a', 'fact', '.']]	[['historical']]	[[['it'], []]]	[[[['is', 'is', 'fact', 'fact', 'is', 'is']]]]
152	"[what, is, a, "", precious, "", ?]"	"[['what', 'a', '""', '""', '?']]"	[['precious']]	[[[], []]]	[[[['is', 'is', 'precious', 'precious', 'is', 'precious', 'is']]]]
153	[i, do, nt, know]	[['i']]	[['nt']]	[[['i'], []]]	[[[do, nt]]]
154	[whatever]	[[]]	[['whatever']]	[[[], []]]	[[[['whatever']]]]
155	[when, rights, contracts, were, renewed, ., was, the, problem, resolved, ?]	[['rights', 'contracts', '.', 'problem', '?']]	[['when']]	[[[], []]]	[[[were, renewed]], [[was, the]]]
156	[this, problem, was, resolved]	[['problem']]	[[]]	[[[], []]]	[[[was, resolved]]]
157	[do, you, know, what, happened, in, 1882, ?]	[['what', '?']]	[[]]	[[['you', 'what'], []]]	[[[do, you]]]
158	[bell, left, canada, and, became, a, citizen, of, united, states, ?]	[['bell', 'canada', 'and', 'a', 'citizen', 'states', '?']]	[['united']]	[[['bell'], []]]	[[[['left', 'left', 'left', 'left', 'left', 'citizen', 'became', 'citizen', 'states', 'of', 'left']]]]
159	[hello, !, i, hope, you, are, doing, well, .]	[['!', 'i', '.']]	[['well']]	[[['i', 'you'], []]]	[[[['hello', 'hello', 'hope', 'hope', 'doing', 'doing', 'hope', 'doing', 'hope']]], [[are, doing]]]
160	[i, am, doing, fantastic, today, !]	[['i', 'today', '!']]	[['fantastic']]	[[['i'], []]]	[[[am, doing]]]
161	[let, me, go, through, the, article, real, quick, and, we, will, start, talking, about, it, .]	[['article', 'and', '.']]	[['real', 'quick']]	[[['me', 'we'], []]]	[[[will, start]]]
162	[ok, mate]	[['mate']]	[[]]	[[[], []]]	[[[['mate', 'mate']]]]
163	[/start, bell]	[['bell']]	[[]]	[[[], []]]	[[[['/start', 'bell']]], [[['/start', 'bell']]]]
164	[let, us, do, this]	[[]]	[[]]	[[['us'], []]]	[[[['let', 'do', 'let', 'do']]]]
165	[can, we, please, send, him, back, to, canada, .]	[['canada', '.']]	[['back']]	[[['we'], []]]	[[[can, we]]]
166	[i, think, he, is, dead, now, ,, so, he, would, not, be, against, it]	[['i', ',']]	[['dead', 'now', 'so', 'not']]	[[['i', 'he', 'he'], []]]	[[[would, not], [[not, be]]]]
167	[i, am, sorry, ,]	[['i', ',']]	[['sorry']]	[[['i'], []]]	[[[['am', 'am', 'am', 'am']]]]
168	[I, am, not, even, sure, what, i, am, talking, about, .what, ?]	[['I', 'what', 'i', '?']]	[['not', 'even', 'sure']]	[[['I', 'i'], []]]	[[[[not, even]], [am, talking]]]
169	[how, are, you?are, you, a, bot, ?]	[['a', 'bot', '?']]	[['how']]	[[['you?are', 'you'], []]]	[[[['are', 'are', 'are', 'are', 'bot', 'are', 'are']]]]
170	[he, is, probably, talking, about, romneycare, ., so, he, is, talking, about, the, right, to, die, without, insurance, .]	[['romneycare', '.', 'right', 'insurance', '.']]	[['probably', 'so']]	[[['he', 'he'], []]]	[[[is, probably]], [[is, talking], [to, die]]]
171	[do, you, mean, obamacare, ?, are, you, a, bot, ?]	[['obamacare', '?', 'a', 'bot', '?']]	[[]]	[[['you', 'you'], []]]	[[[do, you]], [[['mean', 'mean', 'obamacare', 'obamacare', 'obamacare', 'are', 'are', 'bot', 'are', 'are']]]]
172	[yes, .]	[['.']]	[[]]	[[[], []]]	[[[['yes', 'yes']]]]
173	[ok, ,]	[[',']]	[[]]	[[[], []]]	[[[['ok', 'ok']]]]
174	[could, you, ask, me, a, question, about, the, text, ?]	[['a', 'question', 'text', '?']]	[[]]	[[['you'], []]]	[[[could, you]]]
175	[i, am, not, following, you, .]	[['i', '.']]	[['not']]	[[['i'], []]]	[[[am, not], [[not, following]]]]
176	[me, neither]	[['neither']]	[[]]	[[[], []]]	[[[['me', 'me']]]]
177	[do, you, know, anyone, from, the, united, states, ?]	[['anyone', 'states', '?']]	[['united']]	[[['you'], []]]	[[[do, you]]]
178	[you, mean, personally, ?]	[['?']]	[['personally']]	[[['you'], []]]	[[[['mean', 'mean', 'mean', 'mean']]]]
