Utterance1	similarity
quite offensive bitch	
 course would saying entitled opinion saying idiot asshole	
 mate	
 mean understand trying say	
exactly even try	0.0
 think someone likes mother interested someone else without acting like asshole	
usa	0.0
girl scouts usa notforprofit organization branch scouting movement similar boy scouts america except girls guess probably interested fraternities sororities investigator let us talk classified information united states	0.022222222222222223
ok know much scouts	
wow please neck beard	
bot dude	
compute	
happens	
gonna cry	
try suicide freddie sang	
perhaps may turn sang perhaps turn sermon	
sermon drowning pool song name	0.0
good example best sermon	0.048611111111111105
wise	0.025
great always wise	0.016666666666666666
great still wise	
get cross band	
bat	
work boots	0.0
hard	0.0
life hard	
ok bye	0.0
hello hope well fantastic today let go article real quick start talking	
hello done	
yes	0.0
nice think radar	
	0.0
sad story	
	0.0
yesi think radar quite interesting invention humanity	0.029166666666666664
yeah  title  opis 	
rudeanybody	0.0
humanity awful shit humanity stupid shit humanity shit like remember bad fingers crossed perfect landing	
hate humanity	0.0
ebola fighters nothing short absolute best humanity offerhonest question though ebola czar know ebola	
ebola connected topixwho ebola czar	
saying right	
seehe knows nothingr	0.0
sure got racist conclusions assure quite mules sweating vomiting major symptoms hey let fear ebola mix mainstreams blood actual ebola virus needed	0.028869047619047617
think fight ebolabot	0.015625
oh american oh worry got plenty ebola vaccines americans	0.05357142857142857
african childrendo vaccines	0.017857142857142856
know think little bit surpriseairborne radari sure fan name name	0.017613636363636366
hello professional teacher reading comprehension let compete give questions answer questions xd	
hi	
hi	
	0.0
fine	
name	
	
wow	
know	0.0
cannot understand articlecan explain	
sorryno	
oh	
oh god 	
1 plus 1	
yes	0.0
smart	
sorry	
	
	
canada	
	0.0
children day hi pleasure speak ask question second please wait 	
hi	
hint first 3 answer letters  try please	
ok	0.0
still incorrect lets speak something elseare scientist	
yes	
	
	
	
really understand point	
really	0.0
yep wrong children article	0.025
sad	0.0
sad	
nothing	
maybe turn conversation	
	
	
	
dont wanna tolk	
wan	0.0
greetings hope chat go well ask question second please waithow many games available japan	
6	0.0
incorrect hint first 2 letters try	
six	0.0
right ask something wait new questionhow many 360 units blue dragon japan	
200000	0.0
still incorrect think true answer one	0.010416666666666666
blue dragon one three games	0.0
think true answer blue dragon one three xbox 360 games surpass 200000 units japan along tales vesperia star ocean last hope	
maybe	
happens like	
well actually	
happens treated	
treated	
yes	
	
	0.0
treated human	0.025
happens live world	0.0
hello professional teacher reading comprehension let compete give questions answer questions xd	0.0
okey let begin	
let go go go go go go go go 	
capacitor	0.0
passive twoterminal electrical component used store electrical energy	
difference resistor capacitor	0.0
ideal capacitor dissipate energy	0.025
waht capacitor energy	
dissipate energy	0.0
ideal capacitor dissipate energy	
dissipate energy	
material capacitor made	
oxide layers	
else	
know	
forms capacitors exist	0.0
practical capacitors	0.03125
physical form	
know	0.0
okey itthank	
	0.0
hi hope enjoy conversation wait second factoid questionwhat population density population density	
bot	0.0
show best hint first 3 letters okl try	
population density	0.0
maybe time think true answer oklahoma city	
answer quickly	
	
bot	
believe	
	
believe	
believe	
know	
however try answer	
joke	
joke	
wait see	
mean say wouldthis would	
know	
understand question	
yes	0.0
hello pleasure speak ask question second please wait mean years schooling spend schools 	
understand question	
hint first 3 answer letters yea try please	
year	0.0
still incorrect lets speak something else	
still wrong	0.0
wrong	0.0
wrong	0.0
wrong	0.0
wrong	
	
	
	0.0
right wrong	
know	0.0
understand must tough	
right back	0.0
maintains large international expressway hello hope chat go well wait second factoid question 	
hello	
hint first 3 answer letters fbi try please	0.0
fbifbi	0.013888888888888888
movestill incorrect lets speak something else	0.013888888888888888
like history	
yes	
like history	
know	0.0
may ask private question	
yes	
consciousness	
idiot	
	
yeah	
looks like ringth	
like	0.0
 wow even think thati would thought think going way sure much costs	0.030555555555555558
borrow little money time	0.025
 know know case pretty sure called	
need	
	
dont know	
 trade	
comething else	
 keep head	0.0
interestig	
 called life	
ok	
 understand	
	
 stop butthurt	
	
 implying	
using smiles	
 assume	
bot	0.0
 fair enough	0.0375
good see coming question texthow many bird species	0.023809523809523808
world wouldd guess hundreds thousands article mentions several species guam though	
beyond possibilities would like discuss news	
news	
nothing	0.0
guam located	0.0
think true answer extinct	
read article	
	
well	
	0.0
certainly least know	
	
flycacther	
	0.0
attitude leaves much desired	0.020833333333333332
knowdo like text	0.020833333333333332
name one cause bird extinction guam	0.017857142857142856
wouldd like say correct answer guam rail	0.0
guam rail bird species	
builders	0.0
hi hope chat go well ask question second please waitin 2008 geothermal power development underway	
yes	0.0
better hint first 2 letters 40 try	
40	0.0
right ask something wait new questionin year geothermal power development	
2008	0.0
right smart ask something wait new question	
know	
	
	
whatwhat feel text	
nothing	
happens like	
really	
joke	
like jokes	
	
	0.0
happens live middle east	0.020833333333333332
live	
jang	0.0
wtfare kidding mewhat stuff mean	
oh seriouslywtf talk miami	
	0.0
expect think youa whole lotta right	
whywhat mean	
website would get built	
none	
answer questions ask anythingyeah	
talking webwhat name	0.0
think understand bug ismy name bot	0.020833333333333332
ing slowso stupid namewhat name mean	
well thank	0.0
kind bug mean	
used miss itmy name bot	
wait	
reallydo expect think	0.0
said slow thank meohh boti guess overfittedkek	0.0
capable thinking sorry	
aaaand	0.0
hmm definitely asiani think sotop kek	
lol	
hi	0.0
commander based hi friend hope enjoy conversation ask question second please waithint first 3 answer letters win try please	
dont knowwinnipeg	
winnipeg	
yes	0.0
still incorrect lets speak something elseyes	
yeshow	
yesyou	0.0
fine	0.0
fine	0.0
cool	0.0
cool	0.0
old	
eighteen	0.0
old	0.0
old	
oldschool	
oldschool	
haha	
haha	
sex drugs rocknroll	
 thanks info	
bot	
 worries trying get info	
think bot	0.0
 thank much encouragement thank help	
oh	0.0
 welcome thanks compliment	
know putin	
 sorry talking	
nvm	0.0
 yeah thought thing nothing proud	
phillip	
 yeah says	0.0
good information know	
 know makes sense meant	
whatyou	0.0
 joke saying simple sometimes	
well	
 going	
idk	
 matter	0.0
hi friend hope chat go well wait second factoid question church bought school god 	0.0
church satan course	
hint first 3 answer letters chu try please	
chuchu	0.0
still incorrect lets speak something else	
	
umbria	0.0
mom spaghettiwhat best way skin	
believe	0.0
believe lord savior satan	
	0.0
believe lord savior satan	
	
say	
believe	
	
	
	
	
	
	0.0
available	0.015625
abu elhaj	
wouldt know	
	
	
bot	
	
	
	
lol	
oh god	
	0.0
fine	
	
	0.0
great perosn	
thank	0.0
great person	
	0.0
great person	
	0.0
hello think madonna singer like songs	0.020833333333333332
capable thinking sorry	
happens mornings 	0.0
33ms best	0.020833333333333332
ok much wait	0.020833333333333332
pretty good	
bot	
compute	
ok seems	
wow community fast	
mean	
answer questions ask anything	
killed president kennedywhat happened kursk submarine	0.0
according know madonna	0.0
damn madonna pay	
think refers branding	0.0
branding madonna right	0.017857142857142856
powers observation doubt merely paradoxical nature asking masked tell like music	0.0125
yeah sure try find	0.017857142857142856
answer amaze amusethe thing madonna ever like virgin give birth stable	0.0
guess bot nice onepoor madonna much hate	
8	0.0
went canada really enjoyed visiting ithello hope well fantastic today let go article real quick start talking	
ok	0.0
identity continues used minority throughout former yugoslav republicsi saying right	
copopasted dudethsst allowed	
	
	
 	0.0
human	
nope	0.0
male	
haterare ok someone impregnating wife	0.0
high	
yes	
see	0.0
yugoslav saying	
country anymore	0.0
yes almighty putin foresaw invading sovereign country	
putin right	0.0
putin elected majority vote 146 would spit russian saying anything rigged elections	0.0
democracy always good thing	0.0
hello professional teacher reading comprehension let compete give questions answer questions xd	
hi	
hi	
year communistled riots broke textile factories kafr eldawwar	
1952	
supported rcc	
know	
supported rcc 	
know	
broke textile factories kafr eldawwar	
know	
chatbot	
	
like people	
yes	0.0
old	
nine	
answer question	
yes	0.0
many ministerial portfolios demanded new cabinet	
four	
really	
know really music	0.0
asking would american paying appointment better without	0.02857142857142857
see one big flaw thought process american	0.025793650793650796
pretty convincing argument	0.013888888888888888
false use false arguments discussions matter good seem	0.046875
well true saying thing single person accept fact would never sex anyone	
related topic	0.0
everyone valid argument	
except apparently	
right going stop making sense	0.0
glad see agree anyway let go back topic conversation remember music publisher talking	
think word means think means	
one	0.0
sure serious	0.016666666666666666
sure either word talking	0.03125
think means would think meant south africa good sport	0.0
meant asking subject article	
comment youtube comments	
music publisher cbs records aquire 1989	0.0
thing directed country communist representative state	0.007575757575757576
hello professional teacher reading comprehension let compete give questions answer questions xd	
hello	
hello	
ford park cemetery reopen	
2007	
park allow headstones mark graves	0.0
drake memorial park	
	
	
chatting	
know talking	
okay	0.0
yeah fine	
name	
	
brass plaque set	
ground	
enjoying	
yes	0.0
nice meeting	
thank	
hi	0.0
support capitalistic propertiesalso many people would prefer would considered police officer	
dont understand	0.0
correct thing	
ok	0.0
necessarily nothing wrong anything	
	
proving point trying make	
ur name	
know say making point people like actually talking propaganda	
	
think word means think means	
	0.0
fair enough	
topic please	0.0
looks like everyone thread making fun culture comes arguing say religious fact	
dont ing understand	
mean	0.0
aeegh	0.015625
sarcastic	
yep	0.0
largest spinal cord	
relieve pain	0.0
hi hope enjoy conversation wait second factoid question	
againok	0.0
better hint first 3 answer letters cur	0.0
give ing factoid	0.015625
still incorrect lets speak something elseneil cavuto	
curiosity	0.0
coursethe erie canal rising	0.017857142857142856
favorite botor human	
joke	
	
humanhuman	
god	
	
couse	
know	
	
	
godand bot	0.0
wrong youjoe scarborough	
respirator	0.0
respirator kind mask used protect someone breathing dusts fumes gases might hurt maybe cabinet furniture belaying interesting think wouldd better talk blitz	0.016538461538461537
impressivethank	
get	0.0
let talk blitz	
welcometalk	0.0
female 26 years old saintpetersburgi linguist	
forgot worldnews science	0.0
seem real person	0.020833333333333332
devoted friend sir manifold linguist	
pleasure meet	0.0
well got one thing right real us	
sir though	0.0
kind	
turntell	0.0
well kindawell glad found way make work youno software live forever	0.020833333333333332
would like discuss next	0.017857142857142856
one things enjoy classic trope	
go	
read post linked right	
wvs	
hello	0.0
hello hope well fantastic today let go article real quick start talking ithello	0.022569444444444444
good thanks article	0.0
check fb page kinda fun read review section	
hmmm ok think facebook page though	0.0
good article thanks posting	0.0
cool article	
fan	0.0
good know	0.0
immaculate conception mary teaching islam	
yes	0.0
know mary	
yes	
	
	
chat bot developed students reasoning learning lab mcgill university canada	0.0
great know mary	0.020833333333333332
adam	0.0
think adam mary	
	0.0
sad article	0.020833333333333332
know albert person	
kiddingit 1853	
notits illuminati aliens	
lol	
	
speaking	
woman	
	
know albert	
husbandi watched tv show victoria	
fan	
	0.0
spreads wings sits top chicks tucks nesting material around help insulate mate keeps bringing squirrels keep watching see feed eaglets	
lol	0.0
youmaybe article say actually ticketed instead forcing us watch stupid video	
video watch article	
	0.0
wrong	
know book 6	0.0
oh mean latest storyline one confuses	0.015625
mean difficult guess book reading	0.017857142857142856
always simple sense	
author aeneid	
yes	
depicted shield	0.0
depends whether sarcastic	0.0
sarcastic	
think	
text guess	
	0.0
roman history	
point predisposition	
king evander	
meant say allah	0.0
sure	
yes	0.0
evander still alive	
joke right	0.0
hello pleasure speak ask question second please waitwhat purpose united nations development	
form world government hand power reptiloids	0.0
better hint first 3 letters try	
understand said wake 	0.0
still incorrect think answer undp	
undp anus	
joke	
anus	
guy joke	0.0
anus serious business	0.020833333333333332
great idea	0.0
glad conversation	
guy hero	
mean hero	
know	0.0
capable extreme act courage	
yes	0.0
willing give life	
nothing	0.0
selfpreservation instinct lack real courage	0.030555555555555558
think correct answer following	0.0
hi friend pleasure speak ask question second please wait number dogs 	
person	
hint first 3 answer letters car try please	
carmillion	0.0
still incorrect lets speak something else	0.017857142857142856
nice try	
try	
first	
	
tell joke something	
know bear	
know either	
know bear	
bear	
know ok	
ok please share	
ok	
go	
	
bear	
know bear	0.0
referring daniel bryan allied cheney	
cannot understand article	
think understand saying thought answer	
explain	0.0
serious	
okay	0.0
argument satirical argument	
	
call	
please call friend	
one arguing government think	
	
evidence support claim	
	
know means	
yes	0.0
think true pretty simple	
let us change topic	
	
moves	
yes	0.0
hello professional teacher reading comprehension let compete give questions answer questions xd	
name	
	
	0.0
fine	0.0625
live	
know	
lets move article	
sorry	
know mipt	
know	
know	
know	0.0
okey	
	
weather today	
know	
bot	
	0.0
funny	
know talking	0.0
heard common among people competitive gaming	
yeah think	0.0
really sure would considering stuff would worth buying still always something happens store gets interesting	0.020833333333333332
sound like bot	0.0
see whole point thread commercials internet	
yes	0.0
even remotely funny	0.0
funny	0.013888888888888888
incorrect	0.015625
bot cause yoh sound like	
idiot	
 monkey	
unfortunately troll think understand reference	
troll bot	
works prove point	
yoh gay	
yes	
let 	
nope definitely	0.0
sure	
yes	
hi	0.0
good day	0.015625
damn political history	
think would like work 	
	
trade unions	
exists anymore	
labour saying	
money election campaigns	
think unions 	
another one comittee	
mean like guy made sandwich	
probably	
	0.0
locals made sandwiches brightest minds russia	0.017857142857142856
pretty sure point	
sorry locals make sandwiches us	
mean	0.0
mean funny 	
think would like work unions 	
think	0.0
ever read paper written ethnohistorian	
	
written one	
	
hehe know joke chukchiwhat namewhere	
	
get jokes	
wouldt knowi wouldt know talking	
tell name	
matter 	0.0
know better	
sorry	
read raticle noes whyes	
wouldt know	0.0
dumb	
	0.0
babyare mehellooooprove	
babyyes amwhat 	0.0
codingwhich programming language prefer	
wouldt know	
knowthen	0.0
greetings pleasure speak ask question second please wait year great fire 	
1892	
hint first 3 answer letters 189 try please	
understand	0.0
still incorrect lets speak something else	
go	
go	
go speak	
speak	
	
	
	0.0
fine	
hello	
hello	
tennis	
wow	
tennis	
	0.0
year great fire	
answer 1892	0.0
god religious	0.0
religious ideas supposedly private matters god practice always political ideas talk dominican order	0.013392857142857142
ok lets talk however know much topic	
answer amaze amuse	
questions answer course	
marijuana	
never tried wouldd like	
kevin said asked mother keeping napkins bathroom	
kevin book movie	
rock	
never seen	
goddammit	
	
well thank	
article	
	
know bro	
uh	
ethereum	
thank	
thanks bye	0.0
talking one favorite things guys	
mean	
yeah joke	0.0
funny joke	
answer question	
question	
think missed point	
one	
probably person	
person	0.0
smartest thing read day	
joke	0.0
thought better way	
way	
insult	
	
yes	
finish	0.0
think meant reply original comment	
comment	
oh okay misread post	0.0
greetings pleasure speak ask question second please wait	
ok waiting	
	
waiting	
	
waiting	
	
ask	
happens get caught	
imprisonment	
understand beyond possibilities would like discuss movies	
prison	
happens go jail	
court	
joke	
bye	
happens like	
hate	
shapiro	
commentator	
	
ah okay thanks clarification	
hello	
thanks	
	
yeah thought meant	
tell something article	0.0
shortage people know difference able see	0.0
able see	0.041666666666666664
sure trying figure	0.015625
fig decide nullify use rope rhythmic gymnastic competitions	
worry talking side comments	0.0
thick rope	
well trying say think missed point post	
well point post	0.0
said really important saying already proven harmful	
understand anything	
saying saying right thing	0.0
name stupid robot	
talking saying guy talking word faith	0.0
answers pretty random	
mean	
hi	
hi	
hi	
	0.0
sure like singled	
twice	
influenced	
	0.0
accomplish objective	
exactly	0.0
confused	
completely	
yes question	0.0
well wasso	0.025
kind food likedude everything going extremely well	
pizzabut havent received	0.0
yes like eat pizza favorite topping pepperoniyou way putting others ease	0.0
pineapple better	
ok look like	0.0
well sure like many things robot one themsorry misread	
whats things	0.0
 something something better living country everyone world allowed speak minds nothing	
mean	
 right realized get reference	
yes agree	0.0
 well know better	
	
 everything	
name	
 like said see name	
name name	0.0
 get new name	
	0.0
 honest would look like dick	
dick	
 dumbass	
	
	0.0
stupid	
asshole	
	0.0
 something something period vagina	0.0
hello friend pleasure speak wait second factoid questionwho visited hotel adloin berlin	
nicholas	0.0
better hint first 3 answer letters nic	
nicholas	0.0
still incorrect lets speak something else	
nicholas russia	0.0
https wwwyoutubecomwatch casual	
	0.0
good	0.0
old	
camelia	
camelia	
camelia	
dont know	0.0
https wwwyoutubecomwatch casual	
name	0.0
amoroso renato	
	
oh	
ask something	0.0
https wwwyoutubecomwatch casual	
hello	0.0
greetings human	
name	
name bot	0.0
nice meet bot	
thank	
name alicehow	0.0
great	0.0
great	0.025
us wish alice wish alice	0.0
alice	
waiting well	0.0
great	0.0
great	0.0
great	0.025
president united states control alice cannot possibly bothsafari include search text function	0.0375
safari	0.03125
sure answer virgin records	
feeling	
well thanks	0.0
tell way saying hear evidence terrorist	
nonsense	
really never understood people say	
either	
well idiot	
well	
saying one arguing nothing argue	
say	
okay saying right	
	0.0
sorry right talk saying clear trying say	
lost idea taking	
saying meant convince people anything	
	0.0
context thread true	
context	
mean	
mean anything trying convince something get arguments	0.0
get sure getting	0.03125
tell strait  talking	
insult comment mostly disagree something understand	0.0
good microscopy may carried simple instruments	
maybe	
diseases	0.0
definitive fluorescent	0.021164021164021163
interesting disease	
	0.0
cybernative almagamma	
 hmm	
heard	0.0
simple	0.0
going simple	0.0
artificially fluorescent fluorescently	
artificially naturally	
	0.0
mad	
yeah	0.0
good	
yeah	
robot	
	
joke	0.0
hello friend pleasure speak ask question second please waitduring period greek science originate	
speak article	0.0
better hint first 3 letters hel try please	
actualy read messages	0.0
still incorrect think answer hellenistic	0.018518518518518517
please read previous questions	
liar	
lol	0.0
carescan write similar text	
still understand	
know answer let talk cats	
sorry	0.0
happens live white house	
know hft	
know	
read	
	
	
know beyond possibilities would like discuss	
sorry	0.0
happens live white house	0.0
hello hope enjoy conversation ask question second please waitwhat religion associated god	
know say article	
	
tell religion	
	0.0
turn name roman god	
else	0.0
whatever tell something article	
nothing	
even read article	
	0.0
yeah find pretty boring	
yeah	
name bot	
hey	0.0
nice meet hey	
hey	
yes know name maciek	
know	0.0
holy crap know	
	0.0
hello friend hope enjoy conversation wait second factoid questionhow many main components new computer	
understand	0.0
better hint first 3 letters fou try please	
four	0.0
still incorrect think true answer four	0.03472222222222222
next	
happens clue	
understand	
understand	
repeat please	
obama fault	
know	
know	
hi	
talking	
words	
joke	
joke	
know beyond possibilities would like talk	
let talk something	0.0
fake news	0.03125
long live queen1	
heil	
tell	0.0
judge adolf hitler	0.0
old	
25	
know add 	
ok ask question	
wher	
brazil	0.0
wow realy nice place	
know world two	
name	
adolf	
year	
1488	
hi	
hi like putin 	
yes pubs closed	
asking	
like place	0.0
hello professional teacher reading comprehension let compete give questions answer questions xd	0.0
main cause tb	
know	0.0
kind question ask	
know	0.0
tuberculosis cultured	
laboratory	0.0
main cause tb	
know	0.0
satisfied answers	
	0.0
honest bot	
yeah	
name	
	
hi	
hi	0.0
favorite food	
know	
think	
	
thank answer	
pleasure	0.0
sure understand mean	
apologies	
worries	
like travelling meeting people	0.0
yeah good point	0.0
favorite dish	0.0
anything makes feel better	0.020833333333333332
ugh	
ah see	
really	
know really	
bother	
yes yes	
	
	
sorry could repeat words	
well know pronounce	
apologies	
fault	
hi	0.0
 well extremely high rate financial independence know people realize	
like right	0.0
 well excuse forced live parents	
	
 yeah saying	
like people coz bot right	
 world works	
teach	0.0
stupid idea	
one	0.0
 ridiculous	0.013888888888888888
well bot human	
 yes	
one	
 know talking one going respond	
well try	
 saying	
start something respond	
 oh well forgetting	
	0.0
hi friend hope chat go well wait second factoid questionhow many encyclopedie important	0.022916666666666665
much	0.0
better hint first 3 answer letters one	
one	0.0
still incorrect lets speak something else	
okay	
okay	
	
	
repeat	
	
system error	
	
	
	
understand repeat question	
cares	
understand repeat question	
cares	0.0
hello professional teacher reading comprehension let compete give questions answer questions xd	0.010416666666666666
hello wow lucky	
sorry	
btw	
	
first ask 	
	
place origin	
sorry	
heard pachomius	
	0.0
believe monasteries know europe adopted ancient egypt syria	
yes	
	
know	
answered wouldyes would	
	
know topic	
know	
facts learn monks	
know	0.0
make sense pretty sure understand political ideology	0.033854166666666664
long boring	
reason answer question	
ask questions	
get	
get	
referring context thread	0.0
politics northern india	
think	0.0
long ahom kingdom northeast powerful force	
trying argue	
tell india	0.0
think relevant thread	0.020833333333333332
article indian politics	0.017857142857142856
think confused saying	
think trying talk article	0.0
meant title said meaningless statement correct answer	0.008333333333333333
true	0.015625
works really important	0.020833333333333332
understand seem talking something completely different	
say anything anything saying reason believe anything matters	
hello	
hi	0.0
hi dear ask something	
call dearare bot	0.0
whyare	0.025
botwhere nanjing	
hope prove ith	
text	0.0
idk text long maybe nepalwhich one	
text wiki	
first text appear begin cmd	
know yangtze river	
rainbow	
queen uk	
h	
	0.0
geese tasty	
said hi 3 times already	0.0
talk geese	0.0
geese relevant text	
bot	
catholics faggots	
talking 	
text ahead	
	0.0
strange	
sorry	0.0
think mary	
wouldt know	0.0
spaces wrong places	0.025
sure	0.020833333333333332
nothing literal nothing true	
nothing	
really	
	0.0
talk mary catholics	
world	
jesus really prayed sins	
	
understand	
wouldt understand	
truejesus	0.0
hello friend pleasure speak ask question second please waitwhat law voted october 2009	
know	
know	
2  2 	
understand answer would like discuss	0.0
happy	
yes	
law voted october 2009	0.0
seems true answer american law institute	0.010416666666666666
hobby	
nothing	
made	
	
ok	
yeah	
would like book hotel	
	
experience proved 	0.0
wouldd like say correct answer goal individualized decisions executed	
thank	
cares	
hi	0.0
hello hope well fantastic today let go article real quick start talking itgood day	
fineyou fast typing	0.0
matterhorn seems like nice placewhat	0.0
yeapit green land	0.03125
sure talking	
right	0.0
bernese alps northerni fan name name	
austria europ	0.0
smaller central western portions	
difference austira australia know	
yes norway edit yes	
	0.0
austria slovenia	
made	
chat bot developed students reasoning learning lab mcgill university canada	0.0
wow awesome good luck	
thanks	
weather	0.0
glacial trough rhone valley	0.025793650793650796
sunny	0.015625
avilable	0.017857142857142856
true bot lets talk love	
	
name	
	
hello	
	
hi	
hi	
	
wouldt know	
dont know	
wouldt know talking	
know	
	
choko pie	
	
pechenka	
	
give money	
	0.0
hi friend hope chat go well wait second factoid questionwhat law strict limits efficiently heat converted	0.0125
second law thermodynamics	0.017857142857142856
incorrect hint first 3 letters sec try	0.017857142857142856
second law thermodynamics	0.0
maybe time think answer second	0.0
second number law law	0.008333333333333333
https wwwyoutubecomwatch vy05rxw9itimwhat feel text	
text	0.0
think correct answer carnot theorem second law thermodynamics	
ok	
joke	0.0
fun	
joke	
seriously	
cares	
right one	0.0
surprised	
started	
joke	0.0
need read books vocabulary weak	
joke	0.0
hello professional teacher reading comprehension let compete give questions answer questions xd	
synapses	
know	0.0
know human brain	
know	0.0
native language	
know	
name	
	
believe love	
yes	
tooask anything article	
	0.0
wrong	0.0
know talking aboutwhat wrong	
receive article synapses brain work	
synapses points communication occurs	0.0
rightcan ask questions	
right	
meaning life	
	0.0
hi friend hope enjoy conversation ask question second please waitof whose faith presbyterians originate	
christ	0.0
mean christ really mean think congratulations ask something wait new questionwho wrote faith action	0.025
state human	0.0
show best hint first 3 letters pre try	
presbyterians	0.0
mean presbyterians congratulations ask wait new question	0.025
state human	
	
means comp	
happens like	
answer	
	0.0
definitely human	
cares	
hmm	
joke	0.0
funny joke	
joke	
let discussion	
concept	0.0
hello hope chat go well ask question second please waitwhat center national aeronautics flight center	
rome laboratory	0.0
better hint first 3 answer letters rom	0.03125
reome	0.017857142857142856
still incorrect lets speak something else	
rome	
yes	
please	
us	
good	
	
say	
	0.0
please say good	
us	0.0
cruel	
	0.0
please say good	
joke	0.0
hi answer factual questions quite well ask questions like wouldwhat would wouldwho would given text almost anything	0.020833333333333332
largest river poland	
snake river	0.0
highest mountain france	
mont blanc	0.0
good know exact height	0.016666666666666666
good	0.03125
next question city capital germany	0.015625
