	utterances	interjection	adverb	subobjvrb	neg-keywords
26	[i, do, nt, ski, and, hate, the, cold, and, snow]	[['i', 'and', 'and', 'snow']]	[['nt', 'cold']]	[[['i'], []]]	[[[do, nt]]]
27	[really, i, love, the, cold]	[['i', 'cold']]	[['really']]	[[['i'], []]]	[[[['love', 'love', 'love', 'cold', 'love']]]]
28	[why, would, you, love, the, cold, ?]	[['cold', '?']]	[['why']]	[[['you'], []]]	[[[would, you]]]
29	[uh, -, huh, ,, i, do, .]	[['-', ',', 'i', '.']]	[[]]	[[['i'], []]]	[[[['do', 'do', '-', 'do', 'do', 'do', 'do']]]]
30	[why, ?, it, makes, me, hurt, since, i, have, ra]	[['?', 'i']]	[['why']]	[[['it', 'me', 'i'], []]]	[[[['why', 'why', 'makes', 'makes', 'hurt', 'makes', 'have', 'have', 'hurt', 'makes']]], [[['why', 'why', 'makes', 'makes', 'hurt', 'makes', 'have', 'have', 'hurt', 'makes']]]]
31	[let, us, do, something, fun, together]	[['something', 'fun']]	[['together']]	[[['us'], []]]	[[[['let', 'do', 'let', 'do', 'something', 'do']]]]
32	[like, what, ?]	[['what', '?']]	[[]]	[[[], []]]	[[[['like', 'like', 'like']]]]
33	[that, s, the, picture, there, .]	[['s', 'picture', '.']]	[['there']]	[[['that'], []]]	[[[['s', 's', 'picture', 's', 's', 's']]]]
34	[what, picture]	[['picture']]	[['what']]	[[[], []]]	[[[['picture', 'picture']]]]
35	[lets, rewind, ., can, we, talk, about, something, else, ?]	[['rewind', '.', 'something', '?']]	[['else']]	[[['we'], []]]	[[[['lets', 'lets', 'lets', 'talk', 'talk', 'talk', 'talk', 'about', 'something', 'talk']]], [[can, we]]]
36	[what, do, you, want, to, talk, a, bout]	[['what', 'a', 'bout']]	[[]]	[[['you'], []]]	[[[do, you], [to, talk]]]
37	[badly, .]	[['.']]	[['badly']]	[[[], []]]	[[[['badly', 'badly']]]]
38	[what, is, badly, ?]	[['what', '?']]	[['badly']]	[[['what'], []]]	[[[['is', 'is', 'is', 'is']]]]
39	[now, ,, all, ..., can, you, share, some, interesting, stuff, with, me, ?]	[[',', 'stuff', '?']]	[['now', 'interesting']]	[[['you'], []]]	[[[can, you]]]
40	[hello, .., how, are, you, ?]	[['?']]	[['how']]	[[['you'], []]]	[[[['are', 'are', 'are', 'are', 'are', 'are']]]]
41	[hello, ,, i, really, like, movies, ., how, about, we, talk, about, movies]	[[',', 'i', 'movies', '.', 'movies']]	[['really', 'how']]	[[['i', 'we'], []]]	[[[['like', 'like', 'like', 'like', 'like', 'like', 'like', 'talk', 'talk', 'talk', 'talk', 'talk', 'about']]], [[['like', 'like', 'like', 'like', 'like', 'like', 'like', 'talk', 'talk', 'talk', 'talk', 'talk', 'about']]]]
42	[what, movie, is, currently, playing, ?]	[['movie', '?']]	[['what', 'currently']]	[[['movie'], []]]	[[[is, currently]]]
43	[do, you, like, super, hero, movies, or, disney, movies, ?]	[['hero', 'movies', 'or', 'disney', 'movies', '?']]	[['super']]	[[['you'], []]]	[[[do, you]]]
44	[i, like, super, hero, movies]	[['i', 'hero', 'movies']]	[['super']]	[[['i'], []]]	[[[['like', 'like', 'hero', 'movies', 'like']]]]
45	[my, favorite, super, hero, is, captain, america, .]	[['hero', 'captain', 'america', '.']]	[['my', 'favorite', 'super']]	[[['hero'], []]]	[[[['hero', 'hero', 'hero', 'is', 'is', 'america', 'is', 'is']]]]
46	[what, action, movie, do, you, suggest, .., that, is, out, at, the, movies, now, ?]	[['action', 'movie', 'movies', '?']]	[['what', 'out', 'now']]	[[['you', 'that'], []]]	[[[do, you]]]
47	[what, is, suggest, .., that, ?]	[['what', '?']]	[[]]	[[['that'], []]]	[[[is, suggest]]]
48	[what, is, your, opinion, of, a, action, type, movie, ?]	[['what', 'opinion', 'a', 'action', 'type', 'movie', '?']]	[['your']]	[[['opinion'], []]]	[[[['is', 'is', 'opinion', 'is', 'opinion', 'movie', 'type', 'movie', 'of', 'is']]]]
49	[i, really, like, the, first, avenger, movie, ,, have, you, seen, it, before, ?]	[['i', 'avenger', 'movie', ',', '?']]	[['really', 'first', 'before']]	[[['i', 'you'], []]]	[[[have, you]]]
50	[i, have, nt, seen, the, first, avenger, movie, .]	[['i', 'avenger', 'movie', '.']]	[['nt', 'first']]	[[['i'], []]]	[[[have, nt]]]
51	[what, is, avenger, ?]	[['what', '?']]	[[]]	[[['avenger'], []]]	[[[['is', 'is', 'is', 'is']]]]
52	[avenger, i, believe, is, a, action, super, hero, movie, .]	[['avenger', 'i', 'a', 'action', 'hero', 'movie', '.']]	[['super']]	[[['i'], []]]	[[[['avenger', 'believe', 'avenger', 'believe', 'movie', 'movie', 'hero', 'movie', 'is', 'believe']]]]
53	[i, really, liked, the, first, avenger, movie, ., when, iron, man, came, back, alive, ,, i, cried, for, it, .]	[['i', 'avenger', 'movie', '.', 'iron', 'man', ',', 'i', '.']]	[['really', 'first', 'when', 'back', 'alive']]	[[['i', 'man', 'i'], []]]	[[[['liked', 'liked', 'liked', 'movie', 'movie', 'movie', 'liked', 'liked', 'came', 'man', 'came', 'cried', 'came', 'came', 'cried', 'cried', 'cried', 'cried', 'for', 'cried']]], [[['liked', 'liked', 'liked', 'movie', 'movie', 'movie', 'liked', 'liked', 'came', 'man', 'came', 'cried', 'came', 'came', 'cried', 'cried', 'cried', 'cried', 'for', 'cried']]]]
54	[thank, you, for, the, time, to, chat, with, me, about, movies, .]	[['time', 'movies', '.']]	[[]]	[[[], []]]	[[[to, chat]]]
55	[have, you, seen, captain, america, :, civil, war, ?]	[['captain', 'america', ':', 'war', '?']]	[['civil']]	[[['you'], []]]	[[[have, you]]]
56	[not, yet, .., that, is, a, movie, i, plan, to, go, and, watch, .]	[['a', 'movie', 'i', 'and', '.']]	[['not', 'yet']]	[[['that', 'i'], []]]	[[[[not, yet]], [to, go]]]
57	[what, is, yet, .., that, ?]	[['what', '?']]	[['yet']]	[[[], []]]	[[[['is', 'is', 'is', 'is', 'that', 'that']]], [[['is', 'is', 'is', 'is', 'that', 'that']]]]
58	[i, have, not, seen, captain, america, :, civil, war]	[['i', 'captain', 'america', ':', 'war']]	[['not', 'civil']]	[[['i'], []]]	[[[have, not], [[not, seen]]]]
59	[i, love, captain, americas, blue, eyes, .]	[['i', 'captain', 'americas', 'eyes', '.']]	[['blue']]	[[['i'], []]]	[[[['love', 'love', 'eyes', 'eyes', 'eyes', 'love', 'love']]]]
60	[what, s, happening, ?]	[['what', 's', '?']]	[[]]	[[['what'], []]]	[[[s, happening]]]
61	[uhh, ,, i, ca, nt, answer, this, ., let, me, tell, you, something, ,, we, live, in, a, society, where, pizza, gets, to, your, house, before, the, police, .]	[[',', 'i', '.', 'something', ',', 'a', 'society', 'pizza', 'house', 'police', '.']]	[['uhh', 'nt', 'where', 'your']]	[[['i', 'me', 'we', 'pizza'], []]]	[[[ca, nt]], [[['answer', 'answer', 'answer', 'answer', 'answer', 'answer', 'answer', 'answer', 'live', 'tell', 'let', 'tell', 'tell', 'live', 'live', 'live', 'live', 'society', 'in', 'gets', 'gets', 'society', 'gets', 'house', 'to', 'gets', 'police', 'before', 'live']]]]
62	[do, you, like, pizza, ?]	[['pizza', '?']]	[[]]	[[['you'], []]]	[[[do, you]]]
63	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']]]]
64	[well, i, like, pizza, .]	[['i', 'pizza', '.']]	[[]]	[[['i'], []]]	[[[['like', 'like', 'like', 'like', 'like']]]]
65	[let, us, do, something, fun, together]	[['something', 'fun']]	[['together']]	[[['us'], []]]	[[[['let', 'do', 'let', 'do', 'something', 'do']]]]
66	[care, to, play, a, game, ?]	[['a', 'game', '?']]	[[]]	[[[], []]]	[[[to, play]]]
67	[well, ,, you, know, ,, i, m, not, sure, ., let, me, tell, you, something, ,, politicians, and, diapers, have, one, thing, in, common, ., they, should, both, be, changed, regularly, ,, and, for, the, same, reason, .]	[[',', ',', 'i', 'm', '.', 'something', ',', 'politicians', 'and', 'diapers', 'thing', '.', ',', 'and', 'reason', '.']]	[['not', 'sure', 'common', 'regularly', 'same']]	[[['you', 'i', 'me', 'politicians'], []]]	[[[[not, sure]]], [[['m', 'm', 'know', 'm', 'm', 'm', 'm', 'm', 'm', 'm', 'let', 'tell', 'let', 'tell', 'tell', 'something', 'have', 'politicians', 'politicians', 'let', 'thing', 'have', 'thing', 'in', 'have', 'changed', 'changed', 'changed', 'changed', 'changed', 'changed', 'changed', 'changed', 'changed', 'reason', 'reason', 'for', 'changed']]], [[should, both], [be, changed]]]
68	[looks, like, we, ve, got, a, comedian, here, .]	[['a', 'comedian', '.']]	[['here']]	[[['we'], []]]	[[[ve, got]]]
69	[now, ,, what, you, have, here, is, very, rare, ., any, thoughts, ?]	[[',', 'what', '.', 'thoughts', '?']]	[['now', 'here', 'very', 'rare']]	[[['you'], []]]	[[[['is', 'is', 'have', 'have', 'is', 'have', 'is', 'rare', 'is', 'is', 'thoughts', 'thoughts', 'thoughts']]], [[['is', 'is', 'have', 'have', 'is', 'have', 'is', 'rare', 'is', 'is', 'thoughts', 'thoughts', 'thoughts']]]]
70	[sometimes, ,, yes, .]	[[',', '.']]	[['sometimes']]	[[[], []]]	[[[['yes', 'yes', 'yes', 'yes']]]]
71	[i, do, nt, know, ., can, you, tell, me, something, about, pittsburgh]	[['i', '.', 'something', 'pittsburgh']]	[['nt']]	[[['i', 'you'], []]]	[[[do, nt]], [[can, you]]]
72	[they, have, a, team, of, penguins, there, .]	[['a', 'team', 'penguins', '.']]	[['there']]	[[['they'], []]]	[[[['have', 'have', 'team', 'have', 'team', 'of', 'have', 'have']]]]
73	[uhh, ,, i, ca, nt, answer, this, ., but, anyway, ,, i, d, like, to, chat, with, you, .]	[[',', 'i', '.', 'but', ',', 'i', 'd', '.']]	[['uhh', 'nt']]	[[['i', 'i'], []]]	[[[ca, nt]], [[d, like], [to, chat]]]
74	[i, thought, that, s, what, we, were, doing, !]	[['i', 's', 'what', '!']]	[[]]	[[['i', 'that', 'we'], []]]	[[[were, doing]]]
75	[you, have, actually, people, in, your, country, that, decided, long, ago, that, they, did, nt, want, to, have, one, man, over, an, entire, nation, .]	[['people', 'country', 'man', 'nation', '.']]	[['actually', 'your', 'that', 'long', 'ago', 'nt', 'entire']]	[[['you', 'that', 'they'], []]]	[[[did, nt], [to, have]]]
76	[are, you, high, ?]	[['?']]	[['high']]	[[['you'], []]]	[[[['are', 'are', 'are', 'are']]]]
77	[no, ,, i, m, not, .]	[[',', 'i', 'm', '.']]	[['not']]	[[['i'], []]]	[[[[not, .]]]]
78	[why, not, ?]	[['?']]	[['why', 'not']]	[[[], []]]	[[[['not', 'not', 'not']]]]
79	[uhh, ,, i, ca, nt, answer, this, ., but, anyway, ,, i, d, like, to, chat, with, you, .]	[[',', 'i', '.', 'but', ',', 'i', 'd', '.']]	[['uhh', 'nt']]	[[['i', 'i'], []]]	[[[ca, nt]], [[d, like], [to, chat]]]
80	[hello]	[[]]	[[]]	[[[], []]]	[[[['hello']]]]
81	[hello, ,, i, really, like, movies, ., how, about, we, talk, about, movies]	[[',', 'i', 'movies', '.', 'movies']]	[['really', 'how']]	[[['i', 'we'], []]]	[[[['like', 'like', 'like', 'like', 'like', 'like', 'like', 'talk', 'talk', 'talk', 'talk', 'talk', 'about']]], [[['like', 'like', 'like', 'like', 'like', 'like', 'like', 'talk', 'talk', 'talk', 'talk', 'talk', 'about']]]]
82	[what, is, your, favorite, movie]	[['what', 'movie']]	[['your', 'favorite']]	[[['movie'], []]]	[[[['is', 'is', 'movie', 'movie', 'is']]]]
83	[do, you, like, super, hero, movies, or, disney, movies, ?]	[['hero', 'movies', 'or', 'disney', 'movies', '?']]	[['super']]	[[['you'], []]]	[[[do, you]]]
84	[disney]	[['disney']]	[[]]	[[[], []]]	[[[['disney']]]]
85	[ok, ., what, do, you, think, about, sports]	[['.', 'what', 'sports']]	[[]]	[[['you'], []]]	[[[['ok', 'ok', 'think', 'think', 'think', 'think', 'think', 'about']]], [[do, you]]]
86	[hate, them]	[[]]	[[]]	[[[], []]]	[[[['hate', 'hate']]]]
87	[that, s, interesting, ., let, me, know, something, you, re, interested, in, .]	[['s', '.', 'something', '.']]	[['interesting', 'interested']]	[[['that', 'me', 'you'], []]]	[[[['s', 's', 's', 's', 'let', 'know', 'let', 'know', 're', 'something', 're', 'interested', 'let']]], [[['s', 's', 's', 's', 'let', 'know', 'let', 'know', 're', 'something', 're', 'interested', 'let']]]]
88	[scrapbooking]	[[]]	[[]]	[[[], []]]	[[[['scrapbooking']]]]
89	[what, is, scrapbooking, ?]	[['what', '?']]	[[]]	[[['what'], []]]	[[[is, scrapbooking]]]
90	[gluing, pictures, and, paper, together]	[['pictures', 'and', 'paper']]	[['together']]	[[[], []]]	[[[['gluing', 'gluing', 'pictures', 'pictures', 'gluing']]]]
91	[what, is, gluing, ?]	[['what', '?']]	[[]]	[[['what'], []]]	[[[is, gluing]]]
92	[pasting]	[[]]	[[]]	[[[], []]]	[[[['pasting']]]]
93	[what, is, pasting, ?]	[['what', '?']]	[[]]	[[['what'], []]]	[[[is, pasting]]]
94	[using, glue, to, attach, things, to, one, another]	[['glue', 'things']]	[[]]	[[[], []]]	[[[to, attach]]]
95	[that, s, interesting, ., let, me, know, something, you, re, interested, in, .]	[['s', '.', 'something', '.']]	[['interesting', 'interested']]	[[['that', 'me', 'you'], []]]	[[[['s', 's', 's', 's', 'let', 'know', 'let', 'know', 're', 'something', 're', 'interested', 'let']]], [[['s', 's', 's', 's', 'let', 'know', 'let', 'know', 're', 'something', 're', 'interested', 'let']]]]
96	[children]	[['children']]	[[]]	[[[], []]]	[[[['children']]]]
97	[yes, .]	[['.']]	[[]]	[[[], []]]	[[[['yes', 'yes']]]]
98	[what]	[['what']]	[[]]	[[[], []]]	[[[['what']]]]
99	[well, ,, you, know, ,, i, m, not, sure, ., can, we, talk, about, something, else, ?]	[[',', ',', 'i', 'm', '.', 'something', '?']]	[['not', 'sure', 'else']]	[[['you', 'i', 'we'], []]]	[[[[not, sure]]], [[can, we]]]
100	[hello]	[[]]	[[]]	[[[], []]]	[[[['hello']]]]
101	[hello, ,, i, really, like, sports, ., how, about, we, talk, about, sports]	[[',', 'i', 'sports', '.', 'sports']]	[['really', 'how']]	[[['i', 'we'], []]]	[[[['like', 'like', 'like', 'like', 'like', 'like', 'like', 'talk', 'talk', 'talk', 'talk', 'talk', 'about']]], [[['like', 'like', 'like', 'like', 'like', 'like', 'like', 'talk', 'talk', 'talk', 'talk', 'talk', 'about']]]]
102	[sure, ., which, sport, do, you, like, ?]	[['.', 'sport', '?']]	[['sure', 'which']]	[[['you'], []]]	[[[do, you]]]
103	[yes, .]	[['.']]	[[]]	[[[], []]]	[[[['yes', 'yes']]]]
104	[which, sport, ?]	[['sport', '?']]	[['which']]	[[[], []]]	[[[['sport', 'sport', 'sport']]]]
105	[yes, ,, yes, .]	[[',', '.']]	[[]]	[[[], []]]	[[[['yes', 'yes', 'yes', 'yes']]]]
106	[i, like, football]	[['i', 'football']]	[[]]	[[['i'], []]]	[[[['like', 'like', 'like']]]]
107	[football, is, very, homoerotic, to, me, !, is, it, the, same, for, you, ?]	[['football', '!', '?']]	[['very', 'homoerotic', 'same']]	[[['football', 'it'], []]]	[[[['is', 'is', 'homoerotic', 'is', 'homoerotic', 'to', 'is', 'is', 'is', 'same', 'is', 'is', 'for', 'is']]], [[['is', 'is', 'homoerotic', 'is', 'homoerotic', 'to', 'is', 'is', 'is', 'same', 'is', 'is', 'for', 'is']]]]
108	[i, agree, ., but, it, is, fun, to, watch, .]	[['i', '.', 'but', '.']]	[['fun']]	[[['i', 'it'], []]]	[[[['agree', 'agree', 'agree', 'is', 'is', 'is', 'is', 'watch', 'is', 'is']]], [[to, watch]]]
109	[that, s, good, ,, because, i, m, right, .]	[['s', ',', 'i', 'm', '.']]	[['good', 'right']]	[[['that', 'i'], []]]	[[[['s', 's', 's', 's', 'm', 'm', 's', 'm', 's']]]]
110	[what, do, you, think, swimming]	[['what']]	[[]]	[[['you'], []]]	[[[do, you]]]
111	[i, think, ,, at, the, end, of, the, day, ,, the, administration, is, handling, it, roughly, right, .]	[['i', ',', 'end', 'day', ',', 'administration', '.']]	[['roughly', 'right']]	[[['i', 'administration'], []]]	[[[is, handling]]]
112	[clearly, you, do, nt, like, swimming]	[['swimming']]	[['clearly', 'nt']]	[[['you'], []]]	[[[do, nt]]]
113	[i, do, .]	[['i', '.']]	[[]]	[[['i'], []]]	[[[['do', 'do', 'do']]]]
114	[ok, ., what, is, your, favorite]	[['.', 'what']]	[['your', 'favorite']]	[[['what', 'favorite'], []]]	[[[['ok', 'ok', 'is', 'is', 'favorite', 'is']]], [[['ok', 'ok', 'is', 'is', 'favorite', 'is']]]]
115	[do, you, like, to, play, some, board, games, together, next, tim]	[['board', 'games', 'tim']]	[['together', 'next']]	[[['you'], []]]	[[[do, you], [to, play]]]
116	[sure, ., what, time]	[['.', 'time']]	[['sure', 'what']]	[[[], []]]	[[[['sure', 'sure', 'time', 'time']]], [[['sure', 'sure', 'time', 'time']]]]
117	[it, s, three, oclock]	[['s', 'oclock']]	[[]]	[[['it'], []]]	[[[['s', 's', 'oclock', 's']]]]
118	[that, s, too, early]	[['s']]	[['too', 'early']]	[[['that'], []]]	[[[['s', 's', 'early', 's']]]]
119	[the, chair, in, the, lair, .]	[['chair', 'lair', '.']]	[[]]	[[[], []]]	[[[['chair', 'chair', 'chair', 'lair', 'in', 'chair']]]]
120	[something, !]	[['something', '!']]	[[]]	[[[], []]]	[[[['something', 'something']]]]
121	[that, s, interesting, ., can, we, talk, about, something, else, ?]	[['s', '.', 'something', '?']]	[['interesting', 'else']]	[[['that', 'we'], []]]	[[[['s', 's', 's', 's', 'talk', 'talk', 'talk', 'talk', 'about', 'something', 'talk']]], [[can, we]]]
122	[yeah, ,, what, do, you, want, to, talk, about, ?]	[[',', 'what', '?']]	[[]]	[[['you'], []]]	[[[do, you], [to, talk]]]
123	[well, ,, almost, everything, ., what, s, your, idea, ?]	[[',', 'everything', '.', 'what', 's', 'idea', '?']]	[['almost', 'your']]	[[['idea'], []]]	[[[['everything', 'everything', 'everything', 'everything', 'everything', 's', 's', 'idea', 's', 's']]], [[['everything', 'everything', 'everything', 'everything', 'everything', 's', 's', 'idea', 's', 's']]]]
124	[want, to, talk, about, music, ?]	[['music', '?']]	[[]]	[[[], []]]	[[[to, talk]]]
125	[well, ,, you, know, ,, i, m, not, sure, ., let, me, tell, you, something, ,, do, not, argue, with, an, idiot, ., he, will, drag, you, down, to, his, level, and, beat, you, with, experience, .]	[[',', ',', 'i', 'm', '.', 'something', ',', 'idiot', '.', 'level', 'and', 'experience', '.']]	[['not', 'sure', 'not', 'his']]	[[['you', 'i', 'me', 'he'], []]]	[[[[not, sure]]], [[do, not], [[not, argue]]], [[will, drag]]]
126	[this, is, very, true, .]	[['.']]	[['very', 'true']]	[[['this'], []]]	[[[['is', 'is', 'true', 'is', 'is']]]]
127	[well, ,, if, you, know, my, dad, ,, and, you, ll, get, to, meet, him, ,, you, ll, sort, of, see, that, he, is, just, always, joking, and, stuff, .]	[[',', 'dad', ',', 'and', ',', 'and', 'stuff', '.']]	[['my', 'sort', 'of', 'just', 'always']]	[[['you', 'you', 'you', 'he'], []]]	[[[ll, get], [to, meet], [ll, sort], [is, just]]]
128	[that, s, a, dad, for, ya, !]	[['s', 'a', 'dad', '!']]	[[]]	[[['that'], []]]	[[[['s', 's', 'dad', 's', 'dad', 'for', 's']]]]
129	[my, grandfather, .]	[['grandfather', '.']]	[['my']]	[[[], []]]	[[[['grandfather', 'grandfather', 'grandfather']]]]
130	[what, about, your, grandfather, ?]	[['what', 'grandfather', '?']]	[['your']]	[[[], []]]	[[[['about', 'about', 'grandfather', 'about', 'about']]]]
131	[how, about, we, do, something, we, both, like]	[['something']]	[['how']]	[[['we'], []]]	[[[['about', 'do', 'do', 'do', 'do', 'do', 'we', 'do']]]]
132	[okay, ,, what, do, you, have, in, mind, ?]	[[',', 'what', 'mind', '?']]	[[]]	[[['you'], []]]	[[[do, you]]]
133	[i, have, looked, at, all, the, other, storms, that, were, the, same, pressure, ., any, thoughts, ?]	[['i', 'storms', 'pressure', '.', 'thoughts', '?']]	[['all', 'other', 'that', 'same']]	[[['i', 'that'], []]]	[[[have, looked]], [[['looked', 'looked', 'looked', 'looked', 'storms', 'storms', 'storms', 'at', 'were', 'storms', 'pressure', 'pressure', 'were', 'looked', 'thoughts', 'thoughts', 'thoughts']]]]
134	[i, have, no, idea, what, you, re, talking, about, .]	[['i', 'idea', 'what', '.']]	[[]]	[[['i', 'you'], []]]	[[[re, talking]]]
135	[nobody, runs, around, saying, i, m, a, liberal, ,, i, m, a, liberal, ., what, do, you, think, ?]	[['nobody', 'i', 'm', 'a', ',', 'i', 'm', 'a', 'liberal', '.', 'what', '?']]	[['liberal']]	[[['nobody', 'i', 'i', 'you'], []]]	[[[['runs', 'runs', 'runs', 'runs', 'm', 'saying', 'liberal', 'm', 'm', 'm', 'saying', 'liberal', 'm', 'runs', 'think', 'think', 'think', 'think', 'think']]], [[do, you]]]
136	[there, are, some, people, that, do, ., but, it, does, nt, bother, me, since, i, m, liberal, myself, .]	[['people', '.', 'but', 'i', 'm', '.']]	[['there', 'that', 'nt', 'liberal']]	[[['that', 'it', 'i'], []]]	[[[['are', 'are', 'people', 'are', 'do', 'people', 'are', 'bother', 'bother', 'bother', 'bother', 'bother', 'bother', 'm', 'm', 'bother', 'm', 'm', 'bother']]], [[does, nt]]]
137	[well, ,, first, of, all, ,, i, do, nt, know, what, is, wrong, with, the, way, hillary, looks, now, ., what, do, you, think, ?]	[[',', ',', 'i', 'what', 'way', 'hillary', '.', 'what', '?']]	[['first', 'nt', 'wrong', 'now']]	[[['i', 'what', 'hillary', 'you'], []]]	[[[do, nt]], [[do, you]]]
138	[there, s, nothing, wrong, with, the, way, hillary, looks, now, ., she, s, just, not, a, very, good, pick, for, potus, .]	[['s', 'nothing', 'way', 'hillary', '.', 's', 'a', 'pick', 'potus', '.']]	[['there', 'wrong', 'now', 'just', 'not', 'very', 'good']]	[[['hillary', 'she'], []]]	[[[['s', 's', 's', 'nothing', 'nothing', 'way', 'with', 'looks', 'way', 'looks', 's', 's', 's', 's', 's', 'pick', 'good', 'pick', 's', 'pick', 'for', 's']]], [[[not, a]]]]
139	[i, do, nt, know, ., let, me, tell, you, something, ,, we, live, in, a, society, where, pizza, gets, to, your, house, before, the, police, .]	[['i', '.', 'something', ',', 'a', 'society', 'pizza', 'house', 'police', '.']]	[['nt', 'where', 'your']]	[[['i', 'me', 'we', 'pizza'], []]]	[[[do, nt]], [[['know', 'know', 'know', 'know', 'know', 'live', 'tell', 'let', 'tell', 'tell', 'live', 'live', 'live', 'live', 'society', 'in', 'gets', 'gets', 'society', 'gets', 'house', 'to', 'gets', 'police', 'before', 'live']]]]
140	[hello, !]	[['!']]	[[]]	[[[], []]]	[[[['hello', 'hello']]]]
