	utterance	feats
159	mmhmm	mmhmm   feedback
160	okay	okay   feedback
161	and then you re going to proceed north	and north you going  directive
162	right	right   correction
163	hang on	turnmanagement
164	where s the shape	s shape shape s  question
165	just underneath the mill	mill   question
166	just underneath the caravan park	caravan park   question
167	no no	no no   answer
168	yeah	yeah   answer
169	right	right   feedback
170	the caravan park is directly above the base of the u	caravan park base u park is  inform
171	above	correction
172	above	feedback
173	the	correction
174	right	right   feedback
175	okay right right right	okay right right right   feedback
176	right okay	right okay   feedback
177	and you re come up	and you come  directive
178	and the old mill	and mill   inform
179	well my old mill is going to be on the right	well mill right mill going  inform
180	so your mill wheel and the picket fence is going to be on the right hand side	mill wheel and picket fence hand side wheel going  inform
181	right	right   commissive
182	okay	okay   correction
183	uh huh	uh huh   feedback
184	so you come up to above the old mill	mill you come  directive
185	uh huh	uh huh   commissive
186	just above the old mill	mill   directive
187	and then turn right	and   directive
188	slightly sort of ten degrees or something	degrees or something   directive
189	and turn east	and   directive
190	right	right   commissive
191	okay	okay   correction
192	okay	okay   feedback
193	s	turnmanagement
194	below	question
195	eh	eh   turnmanagement
196	do i go below the forest then	i forest i go  question
197	laugh	feedback
198	hombre	feedback
199	laugh	feedback
200	i do nt have a forest	i a forest i have forest inform
201	where s abouts the forest	s forest s abouts forest question
202	ehm	ehm   turnmanagement
203	its below the abandoned cottage and above the fenced meadow	cottage and meadow   answer
204	below the abandoned cottage	cottage   feedback
205	cottage	cottage   socialobligation
206	okay	okay   feedback
207	well you want to go round the outside of that	well outside you want  directive
208	you want to proceed to that east	east you want  directive
209	right	right   correction
210	uh huh	uh huh   feedback
211	from where you ve got that forest turn up north with the forest on your left hand side	forest forest hand side you got forest turn  directive
212	uh huh	uh huh   feedback
213	right	right   feedback
214	oh	oh   feedback
215	so i go	so i i go  question
216	so i go below the forest then	so i forest i go  question
217	yeah	yeah   commissive
218	go below the forest yeah	forest yeah   directive
219	right	right   commissive
220	right	right   commissive
221	and then turn and keep it on your left hand side	and and hand side  it directive
222	and the abandoned cottage	and cottage   inform
223	right	right   commissive
224	okay	okay   correction
225	uh huh	uh huh   feedback
226	and then when you get to the abandoned cottage	and cottage you get  directive
227	do a slight sort of c shape round the top of the abandoned cottage	a sort c top cottage  sort directive
228	uh huh	uh huh   feedback
229	uh huh	uh huh   feedback
230	okay	okay   correction
231	uh huh	uh huh   feedback
232	and then _ nonvocal _	and _ _   turnmanagement
233	past the in between the monument and the cottage	in monument and cottage   question
234	right	right   commissive
235	uh huh	uh huh   feedback
236	mmhmm	mmhmm   feedback
237	right	right   turnmanagement
238	and then turn that c shape right	and c right   directive
239	so you re coming down	you coming  directive
240	come slightly down sort of south	south   directive
241	mmhmm	mmhmm   commissive
242	southwest or just slightly	southwest or   correction
243	and then you re going to pass above a fenced meadow	and a meadow you going meadow directive
244	have a fenced meadow	a meadow  meadow question
245	and my fenced meadow is away down the right hand corner below the forest	and meadow hand corner forest meadow is  answer
246	so you only have one fenced meadow	meadow you have meadow question
247	uh huh	uh huh   answer
248	right okay	right okay   feedback
249	well just continue on that right you ve done that c shape	well right c shape you done shape directive
250	right	right   turnmanagement
251	and as if you re going to do a very wide u	and a u you going a directive
252	now	directive
253	okay	okay   correction
254	right okay	right okay   feedback
255	and just ignore if you ve not got a fenced meadow there	and a meadow you got meadow directive
256	then that s okay	s that s  directive
257	inbreath	inbreath   turnmanagement
258	right there s nothing on my left	s nothing left   inform
259	there s nothing to my left of the abandoned cottage	s nothing left cottage   inform
260	there s	s   correction
261	right okay right	right okay right   feedback
262	but just do that c	but c  that c directive
263	that c	c   correction
264	the c over the cottage	c cottage   question
265	yeah	yeah   answer
266	right	right   commissive
267	and then turn round and almost in a sort of big wide u and go back up again	and and a sort u and   directive
268	right	right   commissive
269	uh huh	uh huh   commissive
270	and you re come up and you re have a west lake	and and a west lake you come you have lake directive
271	right	right   turnmanagement
272	uh huh	uh huh   turnmanagement
273	right	right   feedback
274	so you re almost follow the course of that right that west lake to the east	course right west lake east you follow course directive
275	the east side of it	side   directive
276	you re follow the course of it	course you follow course directive
277	the course	course   correction
278	just	turnmanagement
279	just coming in at the base of it then	base   question
280	just	correction
281	yeah	yeah   commissive
282	just at the base and then follow the course of it round sort of an s shape	base and course s shape  course directive
283	an s	s   correction
284	as if its a very very big wide u	a u   question
285	so i m avoid som	so i m i avoid m avoid  question
286	yeah	yeah   commissive
287	so that i	i   question
288	so i m avoiding something at the p	so i m something p i avoiding something question
289	well you ve got a trig point	well a trig point you got point question
290	do you have a trig point	a trig point you have point question
291	no	no   answer
292	no	no   question
293	no	no   answer
294	right	right   feedback
295	so in between your west lake there s a trig point	so west lake s a trig point   inform
296	ah	ah   error
297	there s a trig point	s a trig point   correction
298	right	right   correction
299	right	right   feedback
300	so you re going to do a sort of	a sort you going sort directive
301	and just follow the contour of that lake round	and contour lake  contour directive
302	okay	okay   correction
303	mmhmm	mmhmm   feedback
304	until you re almost at the top of the east hand coast	top hand coast you re  directive
305	right	right   correction
306	mmhmm	mmhmm   feedback
307	and then turn back round again in another sort of c or top of the u	and sort c or top u   directive
308	mmhmm	mmhmm   commissive
309	right	right   turnmanagement
310	and then you re come straight down at forty five degrees	and degrees you come  directive
311	mmhmm	mmhmm   commissive
312	sort of southeast	southeast   directive
313	see see	turnmanagement
314	sorry	sorry   socialobligation
315	where i leave the top the east of the west lake	i top east west lake i leave top east question
316	right	right   commissive
317	i m doing a c shape	i m a c shape i doing shape question
318	and am i going over the top of the farmed land	and i top land i going  question
319	you re going over the	you going  directive
320	no no no	no no no   answer
321	you re staying well below that	you staying  directive
322	oh right	oh right   feedback
323	so in between it	so   directive
324	would be in between farmed land and i have a trig point	land and i a trig point i have point directive
325	okay	okay   commissive
326	right	right   feedback
327	okay	okay   turnmanagement
328	so its just above the	so   inform
329	just at the	correction
330	just before the tip of that west lake	tip west lake   inform
331	just before the tip	tip   error
332	but just at that east coast	but coast   contradict
333	just at that east coast	coast   error
334	right	right   correction
335	okay fine right	okay fine right   feedback
336	yeah	yeah   correction
337	uh huh	uh huh   feedback
338	and come round so you re between	and you re  directive
339	you re well a good wee distance below that farmed land	a distance land you re  directive
340	okay	okay   correction
341	alright	alright   feedback
342	then you re come straight down at that forty five degrees	degrees you come  directive
343	right okay	right okay   correction
344	and you re going to come to a monument	and a monument you going  directive
345	right yeah uh huh	right yeah uh huh   commissive
346	if you proceed straight down at like forty five sort of an inverse relationship line	like sort relationship line you proceed  directive
347	uh huh	uh huh   turnmanagement
348	uh huh _ uh huh	uh huh _ uh    turnmanagement
349	okay	okay   correction
350	right	right   turnmanagement
351	you come to that monument	monument you come  directive
352	right	right   commissive
353	and turn round that monument in a u shape	and monument a u shape  monument directive
354	eh er	eh er   turnmanagement
355	just underneath it then	question
356	yeah	yeah   answer
357	right	right   commissive
358	yeah	yeah   answer
359	keeping the monument on your inside	monument inside  monument directive
360	right okay	right okay   commissive
361	okay	okay   feedback
362	and then above the monument i have a nuclear test site	and monument i a test site i have site inform
363	well	well   error
364	i have	i i have  correction
365	no i do nt	no i i do  commissive
366	no you do nt	no you do  feedback
367	right okay	right okay   feedback
368	er	er   turnmanagement
369	what you want is a very slight s shaped curve just above the monument	what a s curve monument you want what directive
370	right	right   correction
371	okay	okay   feedback
372	well just curve round	curve   directive
373	you have the monument do nt you	monument you have monument do you question
374	yeah	yeah   answer
375	right well just come round that monument slightly then	well monument   directive
376	okay	okay   commissive
377	and then go straight up north	and   directive
378	straight up	correction
379	okay	okay   commissive
380	i ve got a golf course	i a golf course i got course inform
381	whereabouts	whereabouts   question
382	ehm	ehm   turnmanagement
383	above and to the left of the monument	and left monument   answer
384	above and to the left	and left   feedback
385	there s a s	s a s   turnmanagement
386	there s a space between the golf course and the monument	s a space golf course and monument   inform
387	but its above and to the left just below east lake	but and left lake   inform
388	okay	okay   feedback
389	you want to keep the golf course on your left hand side	golf course hand side you want course directive
390	okay	okay   commissive
391	well that s on my left hand side	well s hand side that s  inform
392	uh huh same here	uh huh   commissive
393	yeah	yeah   feedback
394	duhhh laugh	laugh  laugh feedback
395	laugh	feedback
396	right	right   turnmanagement
397	so you want to keep that on your left hand side	hand side you want that directive
398	right	right   turnmanagement
399	and you come up to just below the	and you come  directive
400	see	see   turnmanagement
401	see this nuclear station	station  station inform
402	yeah	yeah   feedback
403	ehm	ehm   turnmanagement
404	could you	you could  directive
405	that ll be	that be  inform
406	you re going to come up north between the golf course and the nuclear test site	golf course and test site you going  directive
407	going	correction
408	between those two	feedback
409	right	right   commissive
410	yes so you re come between it	yes you come  feedback
411	so is the nuclear thing slightly to the right of the monument	thing right monument thing is  question
412	yeah	yeah   answer
413	slightly to the right of the monument	right monument   feedback
414	and above it	and   question
415	right okay	right okay   feedback
416	and above	and   feedback
417	i m with you	i m i m  feedback
418	right	right   feedback
419	right	right   feedback
420	right	right   feedback
421	and you re come up and then you ve got the bottom of the east lake	and and bottom east lake you come you got bottom directive
422	mmhmm	mmhmm   commissive
423	and then follow that to the left	and left  that directive
424	mmhmm	mmhmm   commissive
425	just until you re past the tip of the base	tip base you re  directive
426	mmhmm	mmhmm   commissive
427	and that s you finished	and s that s you finished  interactionstructuring
428	right	right   commissive
429	and it does nt look as though it looks anything	and anything it look it looks  inform
430	what	what   negativefeedback
431	no no	no no   feedback
432	so where are you in china now	so china you are  question
433	ehm	ehm   turnmanagement
434	mm	mm   answer
435	er	er   turnmanagement
436	is it i know its at the bottom of the east lake	i bottom east lake it is i know  answer
437	i do nt know whether its	i i know  inform
438	its actually kathmandu	kathmandu   inform
439	finished	interactionstructuring
440	he only wants to	he wants  inform
441	finito	finito   interactionstructuring
442	right	right   turnmanagement
443	nonvocal	feedback
444	go south and you ll pass some cliffs on your right	and cliffs right you pass cliffs directive
445	okay	okay   commissive
446	yeah	yeah   commissive
447	and keep going down south	and   directive
448	mmhmm	mmhmm   commissive
449	past a forge on your right	a forge right   directive
450	past a what	a what   question
451	a forge	a forge   answer
452	well	well   turnmanagement
453	nonvocal keep going down	directive
454	right	right   turnmanagement
455	and then loop towards the east	and loop east   directive
456	underneath what wheatfields	what wheatfields   question
457	so i go straight	so i i go  question
458	not as far down as that	negativefeedback
459	not as far down as that	feedback
460	no	no   feedback
461	right	right   feedback
462	and do a loop	and a loop  loop feedback
463	and do a loop	and a loop  loop feedback
464	and then start going back up again	and   directive
465	you re going northeast	you going  directive
466	right	right   commissive
467	right	right   feedback
468	you there s a	s a you s  question
469	and am i come like between these cliffs and pine or	and i cliffs and pine or i come  question
470	oh	oh   feedback
471	you past the pine	pine   answer
472	pines on your right	pines right   inform
473	right	right   feedback
474	okay	okay   commissive
475	and go up past it	and   directive
476	til you re just above the top of the pine	top pine you re  directive
477	right	right   feedback
478	okay	okay   commissive
479	and then east again	and   directive
480	east again	feedback
481	east again	feedback
482	right	right   feedback
483	okay	okay   commissive
484	right	right   turnmanagement
485	sorry	sorry   socialobligation
486	right	right   feedback
487	right	right   feedback
488	right	right   turnmanagement
489	east	east   directive
490	sort of for a wee bit	a bit   inform
491	um	um   turnmanagement
492	and then start going southeast	and   directive
493	right	right   feedback
494	okay	okay   commissive
495	pine forest on your way	forest way   inform
496	ehm	ehm   turnmanagement
497	yeah that s right	yeah s that s  commissive
498	uh huh	uh huh   commissive
499	right	right   feedback
500	right okay	right okay   commissive
501	til you get to just underneath pine forest	forest you get  directive
502	right	right   commissive
503	and then start going south	and   directive
504	okay	okay   commissive
505	and then go east again	and   directive
506	and	and   turnmanagement
507	you loop round about a bakery	a bakery you loop round directive
508	yeah	yeah   commissive
509	right	right   feedback
510	i m going east underneath the bakery	i m bakery i m  question
511	underneath the bakery	bakery   commissive
512	right	right   feedback
513	uh huh right	uh huh right   feedback
514	okay	okay   commissive
515	and coming back round towards the west	and west   directive
516	whoa whoa	whoa whoa   negativefeedback
517	wait a minute	a minute   turnmanagement
518	right	right   feedback
519	i m coming down by the pine forest	i m forest i coming  inform
520	i m going right straight down	i m i going  inform
521	right	right   commissive
522	straight down	correction
523	and then you s	and   question
524	til you re not	you re  inform
525	til you re at the top of the bakery	top bakery you re  inform
526	ah right	ah right   feedback
527	right	right   feedback
528	sorry	sorry   socialobligation
529	right	right   feedback
530	okay	okay   commissive
531	and loop round a bit until you re underneath it	and loop a bit you re  directive
532	right	right   turnmanagement
533	and then west	and west   directive
534	right	right   feedback
535	okay right got that	okay right right got that commissive
536	right	right   feedback
537	and then down south	and   directive
538	okay	okay   commissive
539	and there s a crane bay	and s a crane bay   inform
540	yeah	yeah   commissive
541	that s it	s that s  question
542	right	right   commissive
543	uh huh	uh huh   feedback
544	and its got a	and a its got a inform
545	can you curve	you curve  question
546	follow the curve of crane bay	curve crane bay  curve directive
547	yeah	yeah   answer
548	right	right   commissive
549	so you re going west	you going  question
550	uh huh	uh huh   commissive
551	yep	yep   commissive
552	right	right   turnmanagement
553	and then you re going southwest	and you going  directive
554	um	um   turnmanagement
555	mmhmm	mmhmm   commissive
556	between the wheatfields and the warehouse	wheatfields and warehouse   inform
557	between the two of them	inform
558	right	right   feedback
559	okay	okay   commissive
560	right	right   feedback
561	you re going	you going  directive
562	yep	yep   turnmanagement
563	and then like go west	and like   directive
564	right	right   commissive
565	so you re between them	you re  question
566	between them	correction
567	between them	feedback
568	um	um   turnmanagement
569	right	right   feedback
570	mmhmm	mmhmm   feedback
571	okay	okay   commissive
572	and then southwest towards the edge of the map	and edge map   directive
573	right	right   feedback
574	okay	okay   commissive
575	right	right   feedback
576	and then south	and   directive
577	mm	mm   feedback
578	right	right   commissive
579	and then you re going east	and you going  directive
580	um	um   turnmanagement
581	you come to the lighthouse	lighthouse you come  directive
582	so right down past the caves	caves   question
583	until you	directive
584	then go east until you get to the lighthouse	lighthouse you get  directive
585	right	right   feedback
586	okay	okay   commissive
587	right	right   feedback
588	that s the end	s end that s  inform
589	above or below	or   question
590	laugh	feedback
591	at the side	side   answer
592	laugh	feedback
593	now you re starting above the diamond mine	diamond mine you starting  directive
594	ehm	ehm   turnmanagement
595	mmhmm	mmhmm   feedback
596	and the desert is below to your left	and desert left desert is  inform
597	er	er   turnmanagement
598	uh huh	uh huh   feedback
599	right	right   interactionstructuring
600	now go south from the diamond mine	diamond mine   directive
601	go go	turnmanagement
602	until you are	you are  turnmanagement
603	go until you are still above the desert	desert you are  directive
604	okay	okay   correction
605	okay	okay   feedback
606	now if you tell me what s to your right	what s right you tell what s me directive
607	what s to your right	what right what s  question
608	ehm	ehm   turnmanagement
609	the canoes	canoes   answer
610	canoes	canoes   feedback
611	a fast running creek	a running creek   answer
612	a fast running creek	a running creek   feedback
613	um	um   turnmanagement
614	and do you have a graveyard	and a graveyard you have graveyard question
615	no	no   answer
616	do you have a carved wooden pole in this area	a pole area you have pole question
617	right away down the very bottom	bottom   answer
618	right okay	right okay   feedback
619	now go right from the diamond mine	diamond mine   directive
620	go go	turnmanagement
621	okay	okay   feedback
622	okay	okay   interactionstructuring
623	and ehm	and    turnmanagement
624	and now you ve got to pass	and you got  directive
625	there s actually a graveyard to the right of the diamond mine	a graveyard right diamond mine   inform
626	on my map	map   inform
627	below it	question
628	no	no   answer
629	on the same level as the diamond mine	level diamond mine   inform
630	mm	mm   feedback
631	and so you re gon na pass by the graveyard as well	and graveyard you gon  directive
632	you re pa you re gon na  pass	pa  pass you re you gon  correction
633	mm	mm   feedback
634	and then you re going to go up and over the top of the fa	and and top fa you going  directive
635	uh	uh   turnmanagement
636	what i ve got is a fast flowing river	what i a river i got what inform
637	mmhmm	mmhmm   feedback
638	you have a fast running creek	a running creek you have creek question
639	fast running creek	creek   commissive
640	where is that on a level with the diamond mine or is it _ slightly below	a level diamond mine or _ that is it is  question
641	its just slightly above	answer
642	slightly above	feedback
643	right	right   interactionstructuring
644	well i ve got a fast flowing river here	well i a river i got river inform
645	so what you d best to do is go along past the bottom	so what bottom  what directive
646	okay sorry	okay sorry   socialobligation
647	go along to your right and veer slightly upwards	right and   directive
648	as you reach the creek	creek you reach creek directive
649	mmhmm	mmhmm   feedback
650	and then go over and round the creek to your right	and and creek right  creek directive
651	and then ehm	and ehm   turnmanagement
652	do you have an apache camp	apache camp you have camp question
653	uh huh	uh huh   answer
654	right	right   interactionstructuring
655	see when you re over the top of the fast or your creek or the river that i ve got here when you re over the top of that and vertically in line with the apache camp go south	top or creek or river i top and line apache camp you re i got you re that directive
656	mmhmm	mmhmm   feedback
657	in line vertically in line	line line   correction
658	mmhmm	mmhmm   feedback
659	until just above the apache camp	apache camp   directive
660	okay	okay   feedback
661	right	right   interactionstructuring
662	ehm	ehm   turnmanagement
663	when you reach the apache camp do you have a walled city	apache camp a city you reach you have camp city question
664	right away on the far left	answer
665	right	right   feedback
666	well you re going to go from above the apache camp to the walled city	well apache camp city you going  directive
667	but you ve got to avoid a carved wooden pole	but a pole you got pole directive
668	which in my map is slightly above the level of the apache camp	map level apache camp which is  inform
669	no this is vertically in line with the walled city below it	no line city this is  correction
670	right	right   feedback
671	okay so	okay   interactionstructuring
672	right	right   interactionstructuring
673	i ve got one of them as well	i i got one inform
674	right	right   feedback
675	so but there s another one a carved wooden pole here which is halfway between the walled city and the apache camp	but one a pole city and apache camp which is  contradict
676	okay	okay   correction
677	mmhmm	mmhmm   feedback
678	but slightly above the level of the apache camp	but level apache camp   inform
679	so i d be better to go underneath it right	i d i be  question
680	uh huh	uh huh   commissive
681	so you ve got so you re going	you got you going  correction
682	so you re going from above the apache camp the carved wooden pole and over the top of the walled city	apache camp pole and top city you going pole directive
683	and then when you reach the far si your left hand side of the walled city travel southwards	and si  hand side city travel southwards you reach side directive
684	the far si your left hand side	si  hand side   correction
685	until you come to the level of some flat rocks	level rocks you come  directive
686	uh huh	uh huh   feedback
687	and go bel	and bel  bel directive
688	do you have a stone creek	a stone creek you have creek question
689	uh huh	uh huh   answer
690	right	right   interactionstructuring
691	so what i want you to do is go between the flat rocks and the stone creek	so what i rocks and stone creek i want you do what directive
692	but do you have anything between the walled city and the carved wooden pole	but anything city and pole you have anything question
693	ghost town	ghost town   answer
694	a ghost town	a ghost town   feedback
695	so you re going to	you going  directive
696	that s not on my map	s map that s  inform
697	you ve got to avoid that i think	i you got i think  directive
698	okay	okay   feedback
699	so go south down past the walled city underneath your ghost town	city ghost town   directive
700	and then slightly up	and   directive
701	sort of northeast direction between the flat rocks and the stone creek	direction rocks and stone creek   directive
702	between well it d be better if i between the walled city and the ghost town not to go underneath it	well i city and ghost town it be  directive
703	above it	directive
704	or have you got something else there	or something you got something question
705	i ve not got anything between the carved wooden pole and the walled city	i anything pole and city i got anything answer
706	but the map shows a c shaped curve	but map a c curve map shows curve contradict
707	a curve a c shaped curve	a curve a c curve   correction
708	right	right   commissive
709	score that out	that commissive
710	right	right   feedback
711	right	right   interactionstructuring
712	and then slightly up underneath the flat rocks and above the stone creek	and rocks and stone creek   directive
713	right	right   feedback
714	okay	okay   interactionstructuring
715	then go slightly to your right beyond the flat rocks	right rocks   directive
716	until you are above the level of the buffalo	level buffalo you are  directive
717	so i ll be avoiding the saloon bar	so i saloon bar i avoiding bar question
718	i do nt have a saloon bar	i a saloon bar i have bar inform
719	i ve got here	i i got  inform
720	right	right   interactionstructuring
721	okay	okay   interactionstructuring
722	so avoid the saloon bar	saloon bar  bar directive
723	right	right   feedback
724	and	and   turnmanagement
725	and ehm	and   turnmanagement
726	then right then 	interactionstructuring
727	ehm	ehm   turnmanagement
728	just straight down to the right of the buffalo	right buffalo   directive
729	to the right	right   feedback
730	so that you re on the right of the buffalo	right buffalo you re  directive
731	you re you re	you re you re  turnmanagement
732	right	right   feedback
733	okay	okay   interactionstructuring
734	and go underneath the buffalo	and buffalo   directive
735	now do you have a cattle ranch	a cattle ranch you have ranch question
736	no	no   answer
737	ehm	ehm   turnmanagement
738	do you have a fort	a fort you have fort question
739	mmhmm	mmhmm   answer
740	so you re goin go from the buffalo to the fort	go buffalo fort   directive
741	going go	correction
742	but you ve got to avoid the cattle ranch on the way	but cattle ranch way you got ranch directive
743	and you ll have to go up and over the top of the cattle ranch	and and top cattle ranch you have  directive
744	right	right   feedback
745	which on my map is halfway between the buffalo and the fort	map buffalo and fort which is  inform
746	okay	okay   correction
747	right	right   feedback
748	that on the level between the fort	level fort   question
749	ehm	ehm   turnmanagement
750	it s almost on level with the fort	level fort it s  commissive
751	but it s slightly higher than the fort	but fort it s  contradict
752	so	so   question
753	so you need to go up on a sort of hill	a sort hill you need  directive
754	be go up	correction
755	mmhmm	mmhmm   feedback
756	over the cattle ranch underneath buffalo or over the cattle ranch	cattle ranch buffalo or cattle ranch   directive
757	right	right   feedback
758	then underneath the fort	fort   directive
759	under the fort	fort   question
760	underneath the fort uh huh	fort uh    commissive
761	and come out at the left hand side of the fort	and hand side fort   directive
762	and finishing not beside but on the same level as the carved wooden pole	and but level pole   contradict
763	ehm	ehm   turnmanagement
764	the base of the carved wooden pole	base pole   directive
765	woode wooden	woode   correction
766	right	right   feedback
767	okay 	okay    inform
768	that s you finished	that s you finished  inform
769	okay	okay   feedback
770	good afternoon	afternoon   socialobligation
771	hello	hello   socialobligation
772	uh	uh   turnmanagement
773	what s your name	what s name name s  question
774	my name is gregor linn	name gregor name is  answer
775	nice to meet you	you feedback
776	nice to meet you	you socialobligation
777	uh	uh   turnmanagement
778	how are you doing today	today you doing  question
779	mh	turnmanagement
780	fine	answer
781	i m doing well too	i m i doing  inform
782	uh	uh   turnmanagement
783	lets play	lets  play directive
784	so first ill tell you the rules	rules ill tell rules interactionstructuring
785	i am a very famous person	i a person i am  inform
786	okay	okay   feedback
787	uh	uh   turnmanagement
788	you need to guess my name	name you need name directive
789	okay	okay   feedback
790	you can ask several questions except for one about my name	questions name you ask questions directive
791	okay	okay   feedback
792	you do not have to ask yes or no questions	yes or questions you have questions directive
793	you can also ask open ended questions	questions you ask questions directive
794	okay i understand	okay i i understand  feedback
795	you have ten tries	tries you have tries inform
796	and if after ten questions or earlier you guess my name correctly	and questions or name you guess name inform
797	you have won the game	game you won game inform
798	if not you ve lost the game	game you lost game inform
799	okay	okay   feedback
800	and	and   turnmanagement
801	you should	you should  directive
802	mhm	mhm   turnmanagement
803	what is it what you answer	what what it is you answer what question
804	uh is	uh   turnmanagement
805	is	correction
806	uhm	turnmanagement
807	could you repeat the questions	questions you repeat questions negativefeedback
