utterance	Sender	Addressee	communicativefunction
uhm 	p1	p2	turnKeep stalling
if you ask me a more open-ended question i will try to answer the question 	p1	p2	 inform 
uh 	p1	p2	turnKeep stalling
i wont always have an answer to your question though 	p1	p2	 inform 
okay 	p2	p1	autoPositive 
uhm 	p1	p2	turnKeep stalling
alright 	p1	p2	interactionStructuring
do you understand the rules 	p1	p2	 propositionalQuestion
yeah 	p2	p1	 confirm 
would you like me to repeat anything 	p1	p2	offer
would you 	p1	p2	selfCorrection 
no 	p2	p1	 declineOffer 
i think i understood everything 	p2	p1	 inform  
mh 	p2	p1	turnKeep stalling
alright 	p1	p2	autoPositive 
alright and one more important thing 	p1	p2	interactionStructuring
and one more important thing 	p1	p2	 inform
i will only be female famous people 	p1	p2	 inform
uh 	p1	p2	turnKeep stalling
ah okay 	p2	p1	autoPositive 
mhm 	p1	p2	alloPositive 
alright 	p1	p2	autoPositive  interactionStructuring
alright uh 	p1	p2	turnKeep
uh 	p1	p2	stalling
so lets start 	p1	p2	suggest
what is your first question 	p1	p2	setQuestion  request
are you still alive 	p2	p1	propositionalQuestion  addressRequest 
no i am not 	p1	p2	propositionalAnswer 
mhm 	p2	p1	autoPositive  turnTake
uhm 	p2	p1	turnKeep stalling
uh 	p1	p2	turnTake stalling
are you from germany 	p2	p1	propositionalQuestion
no i am not from germany 	p1	p2	propositionalAnswer 
uhm 	p2	p1	turnTake stalling
are you from america 	p2	p1	propositionalQuestion
no i am not from america 	p1	p2	propositionalAnswer 
uh 	p2	p1	turnTake stalling
what were you doing when you were alive 	p2	p1	setQuestion
ehm 	p1	p2	turnTake stalling
let me think for a minute 	p1	p2	pausing
uhm 	p1	p2	turnKeep stalling
i was 	p1	p2	setAnswer
i was a princess 	p1	p2	setAnswer 
i was 	p1	p2	selfCorrection 
when i was alive 	p1	p2	setAnswer 
and where are you from 	p2	p1	setQuestion
i am from england 	p1	p2	setAnswer 
okay 	p2	p1	autoPositive 
uhm 	p2	p1	turnKeep stalling
uh 	p2	p1	turnKeep stalling
where did you die 	p2	p1	setQuestion
just a second 	p1	p2	turnKeep pausing
uhm 	p1	p2	turnKeep stalling
i died in paris 	p1	p2	setAnswer 
mhm 	p2	p1	autoPositive 
uhm 	p2	p1	turnKeep stalling
uhm 	p2	p1	turnKeep stalling
you are princess diana 	p2	p1	inform
uh 	p2	p1	turnKeep stalling
yes 	p1	p2	confirm 
that is the correct answer 	p1	p2	inform 
good job 	p1	p2	alloPositive  closing congratulation
okay 	p2	p1	autoPositive  closing
okay 	p1	p2	turnTake opening contactManagement contactIndication
right 	p1	p2	autoPositive alloPositive turnKeep opening contactManagement contactIndication
im starting off from above the caravan park 	p1	p2	interactionStructuring
above 	p1	p2	selfCorrection 
mmhmm 	p2	p1	autoPositive 
okay 	p1	p2	autoPositive  turnTake
mmhmm 	p2	p1	autoPositive 
right 	p1	p2	autoPositive  turnTake
and were going to go straight down south 	p1	p2	instruct
straight 	p1	p2	selfCorrection 
with the caravan park on your right-hand side 	p1	p2	instruct 
okay 	p2	p1	acceptRequest  autoPositive 
okay 	p1	p2	autoPositive  turnTake
and youre going to go down and then youre going to do a u shape 	p1	p2	instruct
uh-huh 	p2	p1	acceptRequest  autoPositive 
and were going to come up 	p1	p2	instruct
and were going to have the old 	p1	p2	instruct 
ehm 	p2	p1	turnTake stalling
are we just going 	p2	p1	propositionalQuestion
are we going to go below the picket fence 	p2	p1	propositionalQuestion
are we going 	p2	p1	selfCorrection 
below what 	p1	p2	autoNegative  autoPositive 
the picket 	p2	p1	autoPositive  answer 
picket fence 	p1	p2	checkQuestion  PCM completion 
picket fence 	p2	p1	autoPositive  alloPositive 
i dont have one so 	p1	p2	inform
i would say 	p1	p2	inform
whereabouts is the picket fence 	p1	p2	setQuestion
picket fence is below the mill wheel 	p2	p1	answer 
which is below the caravan park 	p2	p1	inform 
right okay 	p1	p2	autoPositive  turnTake
well you want to have the old mill on your right-hand side so 	p1	p2	instruct
if that fence is below the old mill you want to keep that on your right-hand side 	p1	p2	instruct 
if that fence is below the old mill 	p1	p2	instruct 
okay 	p2	p1	acceptRequest 
okay 	p1	p2	autoPositive turnTake
so youre come up and then youre come above the old mill 	p1	p2	instruct 
and turn r-- 	p1	p2	instruct
old mill 	p2	p1	autoPositive 
old mill 	p1	p2	alloPositive 
oh right ive just got the mill wheel 	p2	p1	inform
mill 	p1	p2	correction  alloNegative 
youve only got a mill wheel 	p1	p2	autoPositive 
right okay 	p1	p2	autoPositive 
uh-huh 	p2	p1	alloPositive 
but continue past that 	p1	p2	instruct
so im going down below the picket fence 	p2	p1	propositionalQuestion
right 	p1	p2	autoPositive  turnTake
weve come down from a caravan park and were doing a u shape 	p1	p2	instruct 
mmhmm 	p2	p1	autoPositive 
mmhmm 	p2	p1	autoPositive 
okay 	p1	p2	autoPositive 
and then youre going to proceed north 	p1	p2	instruct
right 	p1	p2	feedbackElicitation 
hang on 	p2	p1	pausing
wheres the shape 	p2	p1	setQuestion
just underneath the mill 	p2	p1	propositionalQuestion 
just underneath the caravan park 	p2	p1	propositionalQuestion 
no no 	p1	p2	answer 
yeah 	p1	p2	answer 
right 	p2	p1	autoPositive 
the caravan park is directly above the base of the u 	p1	p2	inform 
above 	p1	p2	selfCorrection 
above 	p2	p1	autoPositive 
the 	p1	p2	selfCorrection 
right 	p2	p1	autoPositive 
okay right right right 	p2	p1	autoPositive 
right okay 	p1	p2	autoPositive 
and youre come up 	p1	p2	instruct
and the old mill 	p1	p2	inform
well my old mill is going to be on the right 	p1	p2	inform 
so your mill wheel and the picket fence is going to be on the right-hand side 	p1	p2	inform 
right 	p2	p1	agreement  autoPositive 
okay 	p1	p2	feedbackElicitation 
uh-huh 	p2	p1	autoPositive 
so you come up to above the old mill 	p1	p2	instruct
uh-huh 	p2	p1	acceptRequest 
just above the old mill 	p1	p2	instruct 
and then turn right 	p1	p2	instruct
slightly sort of ten degrees or something 	p1	p2	instruct 
and turn east 	p1	p2	instruct
right 	p2	p1	acceptRequest 
okay 	p1	p2	feedbackElicitation 
okay 	p2	p1	autoPositive 
s-- 	p2	p1	turnGrab
below 	p2	p1	propositionalQuestion turnGrab
eh 	p1	p2	stalling
do i go below the forest then 	p2	p1	propositionalQuestion  turnGrab
laugh 	p2	p1	autoPositive 
hombre 	p1	p2	autoPositive  
laugh 	p2	p1	autoPositive  
i dont have a forest 	p1	p2	inform
wheres abouts the forest 	p1	p2	setQuestion
ehm 	p2	p1	turnTake stalling
its below the abandoned cottage and above the fenced meadow 	p2	p1	answer 
below the abandoned cottage 	p1	p2	autoPositive 
cottage 	p2	p1	PCM completion 
okay 	p1	p2	autoPositive 
well you want to go round the outside of that 	p1	p2	instruct
you want to proceed to that east 	p1	p2	instruct
right 	p1	p2	feedbackElicitation 
uh-huh 	p2	p1	autoPositive 
from where youve got that forest turn up north with the forest on your left-hand side 	p1	p2	instruct
uh-huh 	p2	p1	autoPositive 
right 	p2	p1	autoPositive 
oh 	p2	p1	autoPositive  
so i go 	p2	p1	checkQuestion
so i go below the forest then 	p2	p1	checkQuestion
yeah 	p1	p2	confirm 
go below the forest yeah 	p1	p2	instruct 
right 	p2	p1	acceptRequest 
right 	p2	p1	acceptRequest 
and then turn and keep it on your left-hand side 	p1	p2	instruct
and the abandoned cottage 	p1	p2	inform interactionStructuring
right 	p2	p1	acceptRequest 
okay 	p1	p2	feedbackElicitation 
uh-huh 	p2	p1	autoPositive 
and then when you get to the abandoned cottage 	p1	p2	instruct
do a slight sort of c shape round the top of the abandoned cottage 	p1	p2	instruct
uh-huh 	p2	p1	autoPositive 
uh-huh 	p2	p1	autoPositive 
okay 	p1	p2	feedbackElicitation 
uh-huh 	p2	p1	autoPositive 
and then _ nonvocal _ 	p1	p2	instruct stalling
past the in between the monument and the cottage 	p2	p1	checkQuestion PCM completion
right 	p2	p1	acceptRequest 
uh-huh 	p1	p2	autoPositive 
mmhmm 	p2	p1	autoPositive 
right 	p1	p2	autoPositive  turnTake
and then turn that c shape right 	p1	p2	instruct
so youre coming down 	p1	p2	instruct 
come slightly down sort of south 	p1	p2	instruct 
mmhmm 	p2	p1	acceptRequest 
southwest or just slightly 	p1	p2	selfCorrection 
and then youre going to pass above a fenced meadow 	p1	p2	instruct
have a fenced meadow 	p1	p2	propositionalQuestion
and my fenced meadow is away down the right-hand corner below the forest 	p2	p1	answer 
so you only have one fenced meadow 	p1	p2	propositionalQuestion
uh-huh 	p2	p1	answer 
right okay 	p1	p2	autoPositive 
well just continue on that right youve done that c shape 	p1	p2	instruct
right 	p1	p2	turnKeep
and as if youre going to do a very wide u 	p1	p2	instruct 
now 	p1	p2	instruct 
okay 	p1	p2	feedbackElicitation 
right okay 	p2	p1	autoPositive 
and just ignore if youve not got a fenced meadow there 	p1	p2	instruct 
then thats okay 	p1	p2	instruct 
inbreath 	p2	p1	turnGrab
right theres nothing on my left 	p2	p1	inform
theres nothing to my left of the abandoned cottage 	p2	p1	inform 
theres 	p2	p1	selfCorrection 
right okay right 	p1	p2	autoPositive 
but just do that c 	p1	p2	instruct 
that c 	p1	p2	selfCorrection 
the c over the cottage 	p2	p1	propositionalQuestion
yeah 	p1	p2	answer 
right 	p2	p1	acceptRequest 
and then turn round and almost in a sort of big wide u and go back up again 	p1	p2	instruct
right 	p2	p1	acceptRequest 
uh-huh 	p2	p1	acceptRequest 
and youre come up and youre have a west lake 	p1	p2	instruct
right 	p2	p1	acceptRequest  turnAssign
uh-huh 	p2	p1	acceptRequest  turnAssign
right 	p1	p2	autoPositive 
so youre almost follow the course of that right that west lake to the east 	p1	p2	instruct
the east side of it 	p1	p2	instruct 
youre follow the course of it 	p1	p2	instruct 
the course 	p1	p2	selfCorrection 
just 	p2	p1	turnGrab
just coming in at the base of it then 	p2	p1	checkQuestion 
just 	p2	p1	selfCorrection 
yeah 	p1	p2	confirm 
just at the base and then follow the course of it round sort of an s shape 	p1	p2	instruct
an s 	p1	p2	selfCorrection 
as if its a very very big wide u 	p2	p1	checkQuestion 
so im avoid som-- 	p2	p1	checkQuestion
yeah 	p1	p2	confirm 
so that i 	p2	p1	checkQuestion
so im avoiding something at the p-- 	p2	p1	checkQuestion
well youve got a trig point 	p1	p2	checkQuestion
do you have a trig point 	p1	p2	propositionalQuestion
no 	p2	p1	answer 
no 	p1	p2	checkQuestion  
no 	p2	p1	answer 
right 	p1	p2	autoPositive 
so in between your west lake theres a trig point 	p1	p2	inform
ah 	p1	p2	selfError 
theres a trig point 	p1	p2	selfCorrection 
right 	p1	p2	feedbackElicitation 
right 	p2	p1	autoPositive 
so youre going to do a sort of 	p1	p2	instruct
and just follow the contour of that lake round 	p1	p2	instruct
okay 	p1	p2	feedbackElicitation 
mmhmm 	p2	p1	autoPositive 
until youre almost at the top of the east hand coast 	p1	p2	instruct 
right 	p1	p2	feedbackElicitation 
mmhmm 	p2	p1	autoPositive 
and then turn back round again in another sort of c or top of the u 	p1	p2	instruct
mmhmm 	p2	p1	acceptRequest 
right 	p1	p2	autoPositive  turnTake
and then youre come straight down at forty-five degrees 	p1	p2	instruct
mmhmm 	p2	p1	acceptRequest 
sort of southeast 	p1	p2	instruct 
see see 	p2	p1	request turnTake
sorry 	p2	p1	apology
where i leave the top the east of the west lake 	p2	p1	checkQuestion 
right 	p1	p2	confirm 
im doing a c shape 	p2	p1	checkQuestion
and am i going over the top of the farmed land 	p2	p1	propositionalQuestion
youre going over the 	p1	p2	instruct
no no no 	p1	p2	answer 
youre staying well below that 	p1	p2	instruct 
oh right 	p2	p1	autoPositive 
so in between it 	p1	p2	instruct 
would be in between farmed land and i have a trig point 	p1	p2	instruct 
okay 	p2	p1	acceptRequest 
right 	p1	p2	autoPositive 
okay 	p1	p2	autoPositive turnTake
so its just above the 	p1	p2	inform
just at the 	p1	p2	selfCorrection 
just before the tip of that west lake 	p1	p2	inform
just before the tip 	p1	p2	selfError 
but just at that east coast 	p1	p2	contradict
just at that east coast 	p1	p2	selfError 
right 	p1	p2	feedbackElicitation 
okay fine right 	p2	p1	autoPositive 
yeah 	p1	p2	feedbackElicitation 
uh-huh 	p2	p1	autoPositive 
and come round so youre between 	p1	p2	instruct
youre well a good wee distance below that farmed land 	p1	p2	instruct
okay 	p1	p2	feedbackElicitation 
alright 	p2	p1	autoPositive 
then youre come straight down at that forty-five degrees 	p1	p2	instruct
right okay 	p1	p2	feedbackElicitation 
and youre going to come to a monument 	p1	p2	instruct
right yeah uh-huh 	p2	p1	acceptRequest 
if you proceed straight down at like forty-five sort of an inverse relationship line 	p1	p2	instruct 
uh-huh 	p2	p1	autoPositive  turnRelease
uh-huh _ uh-huh 	p2	p1	autoPositive  turnRelease
okay 	p1	p2	feedbackElicitation 
right 	p2	p1	autoPositive  turnRelease
you come to that monument 	p1	p2	instruct 
right 	p2	p1	acceptRequest 
and turn round that monument in a u shape 	p1	p2	instruct
eh er 	p2	p1	turnTake stalling
just underneath it then 	p2	p1	propositionalQuestion
yeah 	p1	p2	answer 
right 	p2	p1	acceptRequest 
yeah 	p1	p2	answer 
keeping the monument on your inside 	p1	p2	instruct 
right okay 	p2	p1	acceptRequest 
okay 	p1	p2	autoPositive 
and then above the monument i have a nuclear test site 	p1	p2	inform
well 	p1	p2	selfError
i have 	p1	p2	selfCorrection 
no i dont 	p2	p1	disagreement  autoNegative 
no you dont 	p1	p2	autoPositive 
right okay 	p1	p2	autoPositive 
er 	p1	p2	turnTake stalling
what you want is a very slight s-shaped curve just above the monument 	p1	p2	instruct
right 	p1	p2	feedbackElicitation 
okay 	p2	p1	autoPositive 
well just curve round 	p1	p2	instruct
you have the monument dont you 	p1	p2	checkQuestion
yeah 	p2	p1	answer 
right well just come round that monument slightly then 	p1	p2	instruct
okay 	p2	p1	acceptRequest 
and then go straight up north 	p1	p2	instruct
straight up 	p1	p2	selfCorrection 
okay 	p2	p1	acceptRequest 
ive got a golf course 	p2	p1	inform
whereabouts 	p1	p2	setQuestion
ehm 	p2	p1	turnAccept stalling
above and to the left of the monument 	p2	p1	answer 
above and to the left 	p1	p2	autoPositive 
theres a s-- 	p2	p1	inform turnGrab
theres a space between the golf course and the monument 	p2	p1	inform
but its above and to the left just below east lake 	p2	p1	inform 
okay 	p1	p2	autoPositive 
you want to keep the golf course on your left-hand side 	p1	p2	instruct
okay 	p2	p1	acceptRequest 
well thats on my left-hand side 	p1	p2	inform 
uh-huh same here 	p2	p1	agreement 
yeah 	p1	p2	autoPositive 
duhhh laugh 	p1	p2	autoPositive 
laugh 	p2	p1	autoPositive 
right 	p1	p2	autoPositive   turnTake
so you want to keep that on your left-hand side 	p1	p2	instruct 
right 	p1	p2	autoPositive turnTake
and you come up to just below the 	p1	p2	instruct
see 	p2	p1	turnTake
see this nuclear station 	p2	p1	inform
yeah 	p1	p2	autoPositive 
ehm 	p2	p1	turnTake stalling
could you 	p2	p1	request
thatll be 	p1	p2	inform
youre going to come up north between the golf course and the nuclear test site 	p1	p2	instruct
going 	p1	p2	selfCorrection 
between those two 	p2	p1	autoPositive 
right 	p2	p1	acceptRequest 
yes so youre come between it 	p1	p2	instruct  autoPositive 
so is the nuclear thing slightly to the right of the monument 	p2	p1	propositionalQuestion
yeah 	p1	p2	answer 
slightly to the right of the monument 	p1	p2	autoPositive 
and above it 	p2	p1	propositionalQuestion
right okay 	p2	p1	autoPositive 
and above 	p1	p2	autoPositive 
im with you 	p2	p1	autoPositive 
right 	p2	p1	autoPositive 
right 	p1	p2	autoPositive 
right 	p2	p1	autoPositive 
and youre come up and then youve got the bottom of the east lake 	p1	p2	instruct
mmhmm 	p2	p1	addressRequest 
and then follow that to the left 	p1	p2	instruct
mmhmm 	p2	p1	addressRequest 
just until youre past the tip of the base 	p1	p2	instruct 
mmhmm 	p2	p1	addressRequest 
and thats you finished 	p1	p2	interactionStructuring
right 	p2	p1	agreement 
and it doesnt look as though it looks anything 	p1	p2	inform
what 	p2	p1	autoNegative 
no no 	p1	p2	alloPositive 
so where are you in china now 	p1	p2	setQuestion
ehm 	p2	p1	turnAccept stalling
mm 	p2	p1	answer 
er 	p2	p1	turnKeep stalling
is it i know its at the bottom of the east lake 	p2	p1	answer 
i dont know whether its 	p2	p1	inform autoNegative 
its actually kathmandu 	p1	p2	inform 
finished 	p1	p2	interactionStructuring
he only wants to 	p2	p1	inform
finito 	p1	p2	interactionStructuring
right 	p1	p2	turnTake opening contactManagement contactIndication
nonvocal 	p2	p1	autoPositive  alloPositive  contactManagement contactIndication
go south and youll pass some cliffs on your right 	p1	p2	instruct
okay 	p2	p1	acceptRequest 
yeah 	p2	p1	acceptRequest 
and keep going down south 	p1	p2	instruct
mmhmm 	p2	p1	acceptRequest 
past a forge on your right 	p1	p2	instruct 
past a what 	p2	p1	setQuestion 
a forge 	p1	p2	answer 
well 	p1	p2	turnKeep
nonvocal keep going down 	p1	p2	instruct
right 	p1	p2	autoPositive turnTake
and then loop towards the east 	p1	p2	instruct 
underneath what wheatfields 	p2	p1	checkQuestion
so i go straight 	p2	p1	checkQuestion 
not as far down as that 	p1	p2	disconfirm 
not as far down as that 	p2	p1	autoPositive 
no 	p1	p2	alloPositive 
right 	p2	p1	acceptRequest  autoPositive 
and do a loop 	p2	p1	autoPositive 
and do a loop 	p1	p2	alloPositive 
and then start going back up again 	p1	p2	instruct 
youre going northeast 	p1	p2	instruct
right 	p2	p1	acceptRequest 
right 	p1	p2	autoPositive 
you theres a 	p1	p2	checkQuestion
and am i come like between these cliffs and pine or 	p2	p1	choiceQuestion
oh 	p1	p2	autoPositive 
you past the pine 	p1	p2	answer 
pines on your right 	p1	p2	inform 
right 	p2	p1	autoPositive 
okay 	p2	p1	acceptRequest 
and go up past it 	p1	p2	instruct
til youre just above the top of the pine 	p1	p2	instruct 
right 	p2	p1	autoPositive 
okay 	p2	p1	acceptRequest 
and then east again 	p1	p2	instruct
east again 	p2	p1	autoPositive 
east again 	p1	p2	alloPositive 
right 	p2	p1	autoPositive 
okay 	p2	p1	acceptRequest 
right 	p2	p1	autoPositive  turnRelease
sorry 	p2	p1	apology
right 	p1	p2	autoPositive  alloPositive 
right 	p2	p1	autoPositive 
right 	p1	p2	autoPositive  alloPositive  turnTake
east 	p1	p2	instruct 
sort of for a wee bit 	p1	p2	inform 
um 	p1	p2	turnKeep stalling
and then start going southeast 	p1	p2	instruct
right 	p2	p1	autoPositive 
okay 	p2	p1	acceptRequest 
pine forest on your way 	p1	p2	inform 
ehm 	p2	p1	autoNegative  turnTake stalling
yeah thats right 	p2	p1	agreement 
uh-huh 	p2	p1	agreement 
right 	p1	p2	autoPositive  alloPositive 
right okay 	p2	p1	acceptRequest 
til you get to just underneath pine forest 	p1	p2	instruct 
right 	p2	p1	acceptRequest 
and then start going south 	p1	p2	instruct 
okay 	p2	p1	acceptRequest 
and then go east again 	p1	p2	instruct 
and 	p1	p2	turnKeep stalling
you loop round about a bakery 	p1	p2	instruct
yeah 	p2	p1	acceptRequest 
right 	p1	p2	autoPositive  alloPositive 
im going east underneath the bakery 	p2	p1	checkQuestion
underneath the bakery 	p1	p2	confirm 
right 	p2	p1	autoPositive 
uh-huh right 	p1	p2	alloPositive 
okay 	p2	p1	acceptRequest 
and coming back round towards the west 	p1	p2	instruct
whoa whoa 	p2	p1	autoNegative 
wait a minute 	p2	p1	pausing
right 	p2	p1	autoPositive 
im coming down by the pine forest 	p2	p1	inform
im going right straight down 	p2	p1	inform 
right 	p1	p2	agreement 
straight down 	p2	p1	selfCorrection 
and then you s-- 	p2	p1	checkQuestion
til youre not 	p1	p2	inform
til youre at the top of the bakery 	p1	p2	inform 
ah right 	p2	p1	autoPositive 
right 	p1	p2	alloPositive 
sorry 	p2	p1	apology
right 	p2	p1	autoPositive 
okay 	p2	p1	acceptRequest 
and loop round a bit until youre underneath it 	p1	p2	instruct
right 	p1	p2	autoPositive turnKeep
and then west 	p1	p2	instruct 
right 	p2	p1	autoPositive 
okay right got that 	p2	p1	acceptRequest 
right 	p1	p2	autoPositive 
and then down south 	p1	p2	instruct
okay 	p2	p1	acceptRequest 
and theres a crane bay 	p1	p2	inform
yeah 	p2	p1	agreement 
thats it 	p2	p1	checkQuestion
right 	p1	p2	confirm 
uh-huh 	p2	p1	autoPositive 
and its got a 	p1	p2	inform 
can you curve 	p1	p2	propositionalQuestion
follow the curve of crane bay 	p1	p2	instruct 
yeah 	p2	p1	answer 
right 	p2	p1	acceptRequest 
so youre going west 	p1	p2	checkQuestion
uh-huh 	p2	p1	acceptRequest 
yep 	p2	p1	confirm 
right 	p1	p2	autoPositive  alloPositive  turnTake
and then youre going southwest 	p1	p2	instruct
um 	p1	p2	turnKeep stalling
mmhmm 	p2	p1	acceptRequest 
between the wheatfields and the warehouse 	p1	p2	inform 
between the two of them 	p1	p2	inform 
right 	p2	p1	autoPositive 
okay 	p2	p1	acceptRequest 
right 	p1	p2	autoPositive 
youre going 	p1	p2	instruct
yep 	p2	p1	autoPositive  turnAssign
and then like go west 	p1	p2	instruct
right 	p2	p1	acceptRequest 
so youre between them 	p1	p2	checkQuestion
between them 	p1	p2	selfCorrection 
between them 	p2	p1	confirm  alloPositive 
um 	p1	p2	turnKeep stalling
right 	p2	p1	autoPositive 
mmhmm 	p1	p2	autoPositive  alloPositive 
okay 	p2	p1	acceptRequest 
and then southwest towards the edge of the map 	p1	p2	instruct
right 	p2	p1	autoPositive 
okay 	p2	p1	acceptRequest 
right 	p1	p2	autoPositive  alloPositive 
and then south 	p1	p2	instruct
mm 	p2	p1	autoPositive 
right 	p2	p1	acceptRequest 
and then youre going east 	p1	p2	instruct
um 	p1	p2	turnKeep stalling
you come to the lighthouse 	p1	p2	instruct 
so right down past the caves 	p2	p1	checkQuestion
until you 	p1	p2	instruct 
then go east until you get to the lighthouse 	p1	p2	instruct 
right 	p2	p1	autoPositive 
okay 	p2	p1	acceptRequest 
right 	p1	p2	autoPositive  alloPositive 
thats the end 	p1	p2	inform
above or below 	p2	p1	choiceQuestion
laugh 	p2	p1	autoPositive 
at the side 	p1	p2	answer 
laugh 	p1	p2	autoPositive  
now youre starting above the diamond mine 	p1	p2	instruct
ehm 	p1	p2	turnKeep stalling
mmhmm 	p2	p1	autoPositive 
and the desert is below to your left 	p1	p2	inform 
er 	p1	p2	turnKeep stalling
uh-huh 	p2	p1	autoPositive 
right 	p1	p2	interactionStructuring
now go south from the diamond mine 	p1	p2	instruct
go … go	p1	p2	stalling
until you are	p1	p2	stalling
go until you are still above the desert 	p1	p2	instruct 
okay 	p1	p2	feedbackElicitation 
okay 	p2	p1	autoPositive 
now if you tell me whats to your right 	p1	p2	request
what's to your right 	p1	p2	setQuestion 
ehm 	p2	p1	turnTake stalling
the canoes 	p2	p1	answer 
canoes 	p1	p2	autoPositive 
a fast running creek 	p2	p1	answer 
a fast running creek 	p1	p2	autoPositive 
um 	p1	p2	turnKeep stalling
and do you have a graveyard 	p1	p2	propositionalQuestion
no 	p2	p1	answer 
do you have a carved wooden pole in this area 	p1	p2	propositionalQuestion
right away down the very bottom 	p2	p1	answer 
right okay 	p1	p2	autoPositive 
now go right from the diamond mine 	p1	p2	instruct
go … go	p1	p2	stalling
okay 	p2	p1	autoPositive 
okay 	p1	p2	interactionStructuring
and … ehm			stalling turnKeep
and now youve got to pass 	p1	p2	instruct
there's actually a graveyard to the right of the diamond mine 	p1	p2	inform
on my map 	p1	p2	inform 
below it 	p2	p1	propositionalQuestion
no 	p1	p2	answer 
on the same level as the diamond mine 	p1	p2	inform 
mm 	p2	p1	autoPositive 
and so you're gonna pass by the graveyard as well 	p1	p2	instruct
you're pa-- you're gonna  pass 	p1	p2	selfCorrection
mm 	p2	p1	autoPositive 
and then you're going to go up and over the top of the fa--	p1	p2	instruct
uh 	p1	p2	turnKeep stalling
what I've got is a fast flowing river 	p1	p2	inform
mmhmm 	p2	p1	autoPositive 
you have a fast running creek 	p1	p2	checkQuestion
fast running creek 	p2	p1	confirm 
where is that on a level with the diamond mine or is it _ slightly below 	p1	p2	choiceQuestion
its just slightly above 	p2	p1	answer 
slightly above 	p1	p2	autoPositive 
right 	p1	p2	interactionStructuring
well I've got a fast flowing river here 	p1	p2	inform
so what you'd best to do is go along past the bottom 	p1	p2	suggest
okay sorry 	p1	p2	apology retraction
go along to your right and veer slightly upwards 	p1	p2	instruct
as you reach the creek 	p1	p2	instruct 
mmhmm 	p2	p1	autoPositive 
and then go over and round the creek to your right 	p1	p2	instruct
and then ehm 	p1	p2	turnKeep stalling
do you have an apache camp 	p1	p2	propositionalQuestion
uh-huh 	p2	p1	answer 
right 	p1	p2	interactionStructuring
see when youre over the top of the fast or your creek or the river that ive got here when you're over the top of that and vertically in line with the apache camp go south 	p1	p2	instruct
mmhmm 	p2	p1	autoPositive 
in line vertically in line 	p1	p2	selfCorrection
mmhmm 	p2	p1	autoPositive 
until just above the apache camp 	p1	p2	instruct 
okay 	p2	p1	autoPositive 
right 	p1	p2	interactionStructuring
ehm 	p1	p2	turnKeep stalling
when you reach the apache camp do you have a walled city 	p1	p2	propositionalQuestion
right away on the far left 	p2	p1	answer 
right 	p1	p2	autoPositive  interactionStructuring
well you're going to go from above the apache camp to the walled city 	p1	p2	instruct
but you've got to avoid a carved wooden pole 	p1	p2	instruct 
which in my map is slightly above the level of the apache camp 	p1	p2	inform 
no this is vertically in line with the walled city below it 	p2	p1	correction 
right 	p1	p2	autoPositive 
okay so 	p2	p1	interactionStructuring
right 	p1	p2	interactionStructuring
ive got one of them as well 	p1	p2	inform 
right 	p2	p1	autoPositive 
so but there's another one a carved wooden pole here which is halfway between the walled city and the apache camp 	p1	p2	contradict
okay 	p1	p2	feedbackElicitation 
mmhmm 	p2	p1	autoPositive 
but slightly above the level of the apache camp 	p1	p2	inform 
so id be better to go underneath it right 	p2	p1	checkQuestion
